order	bin	stim	mean	lo	hi	frac	observed	observed_sem
Risky first	20%	ips	0.29762144823011233	0.28178696541363385	0.31263447429414776	1.5665678719620628	0.2584724799010513	0.036567045304318806
Risky first	20%	vertex	0.29718358865249245	0.2813117431199726	0.31250460759810034	1.5665678719620628	0.2836734693877551	0.041133372494283886
Risky first	32%	ips	0.38040828212496336	0.3662502525792121	0.39407096473209297	1.7917489421720731	0.3686784643927501	0.03642217926503582
Risky first	32%	vertex	0.3821921114499586	0.3682394614043963	0.39580251543911504	1.7917489421720731	0.354472273757988	0.035641642081146646
Risky first	44%	ips	0.4973107231371943	0.4837605077351916	0.5101468133595748	2.073052865213882	0.5121933621933622	0.03579653297619387
Risky first	44%	vertex	0.49747434467719814	0.48405943575219795	0.5104951059915108	2.073052865213882	0.46737373737373733	0.04396740572766986
Risky first	56%	ips	0.5926609690069556	0.5789927251791296	0.6071808290687298	2.4073398299813396	0.61	0.038936578735248216
Risky first	56%	vertex	0.5930584050544154	0.5797207046749439	0.6071439161763997	2.4073398299813396	0.5798015873015873	0.04537523747575878
Risky first	68%	ips	0.6933390421549109	0.6779274022159489	0.7088873364810512	2.725272161741835	0.7213935574229692	0.040313220872796485
Risky first	68%	vertex	0.6925146867036917	0.6769387895965207	0.7082176770325442	2.725272161741835	0.7172385620915033	0.03806850840115315
Risky first	80%	ips	0.7639293827119215	0.7483552319657063	0.7816985093418871	3.1846923879040663	0.7862698412698413	0.03232222778649627
Risky first	80%	vertex	0.764166924695815	0.7486449593311598	0.7820433372808056	3.1846923879040663	0.7965079365079365	0.03339170559287082
Risky second	20%	ips	0.30999404283205706	0.29343584339951245	0.32687756313105465	1.5660812943962115	0.3364378478664193	0.03826142357915323
Risky second	20%	vertex	0.3096713068308454	0.2931029246724207	0.32660758810246554	1.5660812943962115	0.2806698063840921	0.03961877840403598
Risky second	32%	ips	0.41395159440793733	0.3999678363651705	0.42996417086613753	1.7942493946731235	0.48956154956154957	0.043604041586397545
Risky second	32%	vertex	0.4131747681288522	0.3990748782884478	0.42902828813578214	1.7942493946731235	0.3544671201814059	0.03531455769956919
Risky second	44%	ips	0.5535310116286399	0.5408539766281876	0.5680725951946101	2.069324784612302	0.5996536796536797	0.04155058653802237
Risky second	44%	vertex	0.5542950560018782	0.54166542980255	0.5689056243105348	2.069324784612302	0.5420596946912736	0.0368859701710249
Risky second	56%	ips	0.6639589772988072	0.6509384346277536	0.6781595947019549	2.407020408163265	0.6647222222222222	0.03658367974968331
Risky second	56%	vertex	0.6632146191070611	0.6499206876118415	0.6774712796385866	2.407020408163265	0.6701443001443002	0.039312021683299676
Risky second	68%	ips	0.7778485954884994	0.7662060814433863	0.7903061099017961	2.733065057008719	0.7888167388167389	0.034928820775869736
Risky second	68%	vertex	0.7776087754094386	0.7661105928728537	0.789787192180687	2.733065057008719	0.7550653594771242	0.03306912991990606
Risky second	80%	ips	0.8443124767482234	0.8344207539706843	0.8566962123405389	3.1878139151914366	0.8418253968253968	0.02722916288954559
Risky second	80%	vertex	0.8442937607641485	0.8343934601648877	0.856573200444527	3.1878139151914366	0.8135714285714286	0.02718097721217697
