subject	mu	sd	amp_ips	amp_vertex	pref_n	amp_diff
1	-3.1153662	9.539416	2.0051385e-13	0.33553362	0.04436226	-0.33553362
1	-4.6278753	3.0404842	2.5308001e-17	14.711362	0.009775507	-14.711362
1	1.9483445	0.015077117	0.61382806	1.8940322	7.0170608	-1.2802042
1	1.8784604	0.08412649	1.0511537	2.103988	6.5434227	-1.0528343
1	1.9630057	0.06726222	0.23531887	1.2739633	7.1206975	-1.0386444
1	1.9105533	0.07432578	0.4369337	1.5226008	6.7568264	-1.0856671
1	1.8664491	0.08245393	0.3631249	1.2103546	6.465298	-0.84722966
1	1.9656132	0.058865886	0.32931083	0.9190372	7.1392894	-0.5897264
1	1.9366485	0.06369445	0.37526447	0.9625447	6.9354677	-0.5872802
1	1.9775168	0.06270284	0.37709513	1.0077857	7.22478	-0.6306906
1	1.894237	0.07889382	0.74527997	1.2113798	6.647475	-0.4660998
1	1.8278097	0.16545881	0.6572911	2.0386305	6.2202473	-1.3813393
1	1.887478	0.08645784	0.55348057	1.4384904	6.6026955	-0.8850098
1	1.8906168	0.07613873	0.22627975	1.0681484	6.6234527	-0.84186864
1	1.8549035	0.08676181	0.56977504	2.130308	6.3910813	-1.5605328
1	1.8780569	0.0784256	0.36696222	0.9054035	6.540783	-0.5384413
1	1.9574201	0.041938484	0.4173455	0.98427427	7.081035	-0.56692874
1	1.9022222	0.07977438	0.65568924	0.846298	6.700768	-0.19060874
1	1.897979	0.08018338	0.5561331	1.0047635	6.672396	-0.4486304
1	1.8987336	0.088444434	0.8787164	1.6142689	6.677433	-0.7355525
1	1.5991014	0.29970774	1.042241	1.7643368	4.9485836	-0.72209585
1	2.0147176	0.12313032	0.947724	1.2223786	7.4986095	-0.27465463
1	2.022014	0.122258864	0.75580716	0.82303107	7.5535216	-0.06722391
1	2.0583053	0.116492175	0.45873156	1.0160086	7.832684	-0.5572771
1	2.0108128	0.115668304	0.6777061	1.4166175	7.4693856	-0.7389114
1	0.8685355	0.57296675	2.201867	4.006848	2.3834178	-1.8049808
1	0.851986	0.5842653	4.490628	5.6961436	2.344298	-1.2055159
1	0.24763756	0.8647562	3.83252	3.2766387	1.2809956	0.55588126
1	0.27200788	1.1584679	1.5954924	1.4844193	1.3125974	0.11107302
1	-3.930133	2.9500887	2.6313765	3.9145813e-16	0.019641059	2.6313765
1	-3.53178	2.6009052	3.8274002	7.590768e-15	0.0292528	3.8274002
1	-3.8810043	2.6614926	3.585155	1.210358e-13	0.020630095	3.585155
1	1.8628635	0.09345297	0.35424942	0.66122717	6.4421577	-0.30697775
1	2.0379598	0.1193082	0.499156	1.3820286	7.674935	-0.8828726
1	0.62474936	0.71573615	2.0974278	3.956355	1.8677777	-1.8589272
1	1.259915	0.4499613	2.4428828	3.7294426	3.525122	-1.2865598
1	1.6209599	0.52094036	0.6275127	0.671747	5.057943	-0.044234335
1	2.0407605	0.14862688	0.43471438	0.2638618	7.6964602	0.17085257
1	1.8497367	0.18548825	0.36215678	0.34163046	6.358145	0.02052632
1	-4.261544	8.020622	2.8516545	3.307051	0.014100512	-0.4553964
1	0.9933132	4.886878	1.5885501	1.5831198	2.7001657	0.0054303408
1	2.0739	0.1085055	0.55479103	0.46188742	7.95579	0.092903614
1	2.097608	0.114277266	1.7388428	3.0079775	8.146661	-1.2691346
1	2.0923395	0.11688881	0.9360112	1.6957792	8.103852	-0.759768
1	2.6558404	2.1688561	0.40060705	0.0043163146	14.236946	0.39629075
1	2.9222577	2.1521945	0.376304	0.6089674	18.583195	-0.23266342
1	2.0782986	0.12778221	0.73880273	1.0874294	7.9908614	-0.34862667
1	2.07939	0.11284753	0.48688075	0.4848498	7.999588	0.0020309389
1	2.050831	0.16709906	0.58243823	0.76552886	7.7743597	-0.18309063
1	2.0250595	0.18448131	0.47656962	0.49657366	7.5765615	-0.020004034
1	1.8835974	0.09543329	0.77548575	0.88318497	6.5771227	-0.107699215
1	1.8756919	0.08811425	0.49497673	0.46658933	6.5253325	0.028387398
1	-0.13940883	2.964138	0.46561435	0.81756496	0.86987233	-0.35195062
1	2.0381515	0.11923578	0.55429476	0.66123146	7.6764064	-0.10693669
1	2.0928307	0.10386706	0.54003745	0.65200245	8.107833	-0.111965
1	2.0832617	0.112168014	0.67964756	2.1751719	8.03062	-1.4955243
1	-2.2036426	7.401486	1.6650012	1.304043	0.11040028	0.3609581
1	2.0989718	0.11010747	0.8956534	2.4718008	8.157778	-1.5761473
1	2.0887604	0.113962635	2.1086283	3.7154567	8.074899	-1.6068285
1	1.2234513	5.408933	0.40842852	1.7331773e-15	3.398898	0.40842852
1	0.09912928	4.0206437	0.6147669	1.6861922e-16	1.1042091	0.6147669
1	-1.8386548	3.5810475	0.5542621	5.790019e-14	0.15903121	0.5542621
1	0.3956896	2.0105073	0.56916386	3.618035e-16	1.4854082	0.56916386
1	2.09207	0.11483412	1.6820462	2.521232	8.101669	-0.8391857
1	3.596785	8.517542	0.3899237	3.2244353e-16	36.480762	0.3899237
1	1.0516562	7.9661727	2.6760306	2.3259745	2.8623881	0.35005617
1	-2.7566578	4.6130967	0.690054	3.037322e-15	0.06350365	0.690054
1	-0.60882497	3.4835188	0.5875503	6.350667e-18	0.5439897	0.5875503
