n_safe	option	objective_ev	vertex	ips	delta	lo	hi
7.0	safe	7.0	6.027254582142811	5.75399493922629	-0.2732596429165211	-0.4836749976697903	-0.08965297642401168
7.0	risky	8.662994011976048	6.194398373252827	6.074695485833196	-0.11970288741963152	-0.2125106270860834	-0.04309603718330679
10.0	safe	10.0	6.918363849295331	6.5241966767868105	-0.39416717250852074	-0.6178350080674241	-0.1920972354097031
10.0	risky	12.505193236714977	7.042763113355484	6.830745760284177	-0.2120173530713066	-0.3582802628774392	-0.08055180189995825
14.0	safe	14.0	7.502383735695026	7.081625732807034	-0.4207580028879927	-0.674776840323363	-0.20917077481245772
14.0	risky	17.568458781362008	7.771111265250941	7.461935974090471	-0.3091752911604695	-0.5191817089595889	-0.10469242038149668
20.0	safe	20.0	8.334241798306373	7.799798361588739	-0.5344434367176338	-0.8835366690022909	-0.2588830457041092
20.0	risky	25.221241050119335	8.507468997965365	8.079562548340764	-0.4279064496246019	-0.7004152443586027	-0.14270989098942688
28.0	safe	28.0	9.159130808220683	8.48504891514925	-0.6740818930714312	-1.1285055848377312	-0.2977615931122827
28.0	risky	35.39642857142858	9.174362863104335	8.642980692771529	-0.531382170332807	-0.89770441977225	-0.152306517987125
