order	curve	x	p	delta
Risky second	Vertex	0.0	0.04866205580696238	0.0
Risky second	Vertex	0.006966303322210506	0.05049509106782386	0.0
Risky second	Vertex	0.013932606644421012	0.05238272002000326	0.0
Risky second	Vertex	0.020898909966631518	0.05432594627472091	0.0
Risky second	Vertex	0.027865213288842023	0.05632576687745212	0.0
Risky second	Vertex	0.03483151661105253	0.05838317114403421	0.0
Risky second	Vertex	0.041797819933263036	0.06049913947292242	0.0
Risky second	Vertex	0.04876412325547354	0.06267464213483183	0.0
Risky second	Vertex	0.055730426577684046	0.06491063804108332	0.0
Risky second	Vertex	0.06269672989989455	0.06720807349205023	0.0
Risky second	Vertex	0.06966303322210506	0.06956788090718016	0.0
Risky second	Vertex	0.07662933654431556	0.07199097753814353	0.0
Risky second	Vertex	0.08359563986652607	0.07447826416673577	0.0
Risky second	Vertex	0.09056194318873657	0.07703062378923421	0.0
Risky second	Vertex	0.09752824651094708	0.07964892028898213	0.0
Risky second	Vertex	0.10449454983315759	0.08233399709904315	0.0
Risky second	Vertex	0.11146085315536809	0.08508667585683566	0.0
Risky second	Vertex	0.1184271564775786	0.08790775505272236	0.0
Risky second	Vertex	0.1253934597997891	0.09079800867459298	0.0
Risky second	Vertex	0.1323597631219996	0.09375818485053566	0.0
Risky second	Vertex	0.1393260664442101	0.09678900449174932	0.0
Risky second	Vertex	0.14629236976642063	0.09989115993790132	0.0
Risky second	Vertex	0.15325867308863111	0.1030653136071848	0.0
Risky second	Vertex	0.16022497641084163	0.1063120966533706	0.0
Risky second	Vertex	0.16719127973305214	0.10963210763219444	0.0
Risky second	Vertex	0.17415758305526263	0.11302591117945204	0.0
Risky second	Vertex	0.18112388637747315	0.11649403670320929	0.0
Risky second	Vertex	0.18809018969968366	0.12003697709255778	0.0
Risky second	Vertex	0.19505649302189415	0.1236551874453738	0.0
Risky second	Vertex	0.20202279634410467	0.12734908381754828	0.0
Risky second	Vertex	0.20898909966631518	0.13111904199617375	0.0
Risky second	Vertex	0.21595540298852567	0.13496539629917603	0.0
Risky second	Vertex	0.22292170631073618	0.13888843840388143	0.0
Risky second	Vertex	0.2298880096329467	0.14288841620700388	0.0
Risky second	Vertex	0.2368543129551572	0.14696553271852675	0.0
Risky second	Vertex	0.2438206162773677	0.15111994499193832	0.0
Risky second	Vertex	0.2507869195995782	0.1553517630932552	0.0
Risky second	Vertex	0.2577532229217887	0.15966104911124246	0.0
Risky second	Vertex	0.2647195262439992	0.1640478162112034	0.0
Risky second	Vertex	0.27168582956620974	0.16851202773467172	0.0
Risky second	Vertex	0.2786521328884202	0.17305359634729361	0.0
Risky second	Vertex	0.2856184362106307	0.17767238323713308	0.0
Risky second	Vertex	0.29258473953284125	0.18236819736557913	0.0
Risky second	Vertex	0.29955104285505174	0.18714079477296258	0.0
Risky second	Vertex	0.30651734617726223	0.19198987794093064	0.0
Risky second	Vertex	0.31348364949947277	0.19691509521353912	0.0
Risky second	Vertex	0.32044995282168326	0.20191604027895144	0.0
Risky second	Vertex	0.32741625614389375	0.20699225171353952	0.0
Risky second	Vertex	0.3343825594661043	0.21214321259009222	0.0
Risky second	Vertex	0.3413488627883148	0.2173683501517379	0.0
Risky second	Vertex	0.34831516611052526	0.2226670355530861	0.0
Risky second	Vertex	0.3552814694327358	0.22803858366998353	0.0
Risky second	Vertex	0.3622477727549463	0.23348225297916736	0.0
Risky second	Vertex	0.3692140760771568	0.2389972455089841	0.0
