order	stake_bin	stim	mean	lo	hi	stake	observed	observed_sem
Risky first	0	ips	0.5615614937522058	0.52388383615009	0.595070313930995	12.667230248654299	0.5701588578014938	0.037434839565611305
Risky first	0	vertex	0.5651375126127006	0.5269434544152589	0.6023176990094283	12.667230248654299	0.5583628985884624	0.03999694366946201
Risky first	1	ips	0.5300235214660026	0.4984890717052371	0.5611701955104211	23.082450358562475	0.5165086959823803	0.03184365989712946
Risky first	1	vertex	0.531423954015418	0.49612948257452905	0.5654797561767929	23.082450358562475	0.5254879878586203	0.04008110266870922
Risky first	2	ips	0.5056760727576517	0.47024846206425147	0.5390995291258449	42.217878391198916	0.5142750816435027	0.043505527983834044
Risky first	2	vertex	0.5039095347548909	0.46865907862347495	0.5399562933626402	42.217878391198916	0.4978310750137376	0.04487004462729665
Risky second	0	ips	0.5357873401035055	0.49887777343792383	0.5714114344302313	12.667230248654299	0.5539721598368215	0.03971352066548918
Risky second	0	vertex	0.5373832335166921	0.4990345669368226	0.5698507469973636	12.667230248654299	0.4940239125953411	0.03709325563501315
Risky second	1	ips	0.5888910255011095	0.5563987572700532	0.6207202873174789	23.082450358562475	0.6600632980464913	0.03391213943664826
Risky second	1	vertex	0.5836192109060531	0.548128598010177	0.6125473152578416	23.082450358562475	0.5987324371534898	0.027772313209004338
Risky second	2	ips	0.6308213298397509	0.5971589390142023	0.6581862638197225	42.217878391198916	0.6336926732415454	0.03830221367395639
Risky second	2	vertex	0.6342647034252298	0.6033316624895573	0.6676038961038961	42.217878391198916	0.5966871724766462	0.04575468210792034
