model	param	quantity	stim	payoff	median	lo	hi
logflex2	memory	channel	vertex	7.0	0.8751288773168939	0.7153285158655784	1.4911067639044624
logflex2	memory	channel	vertex	7.515760138376831	0.8944864239280472	0.7326347355085377	1.3980020660654875
logflex2	memory	channel	vertex	8.069521493944878	0.915798688134569	0.7369755672578102	1.316170682350105
logflex2	memory	channel	vertex	8.664083997137995	0.9343228745049286	0.7299789267271546	1.2917567161573806
logflex2	memory	channel	vertex	9.302453877319765	0.9334939204368262	0.7245503638320554	1.2506814644512394
logflex2	memory	channel	vertex	9.987858862892699	0.9295226474483171	0.7165876561117671	1.2321070060920092
logflex2	memory	channel	vertex	10.723764501351814	0.9223179725691031	0.7067154578404835	1.2106124186715514
logflex2	memory	channel	vertex	11.513891681800072	0.9166216334973731	0.6968017591834564	1.2014630881072315
logflex2	memory	channel	vertex	12.36223544852308	0.9011283269978201	0.690080737317607	1.1762293094249485
logflex2	memory	channel	vertex	13.2730852007484	0.8882269844202684	0.680261255385422	1.1521865814374348
logflex2	memory	channel	vertex	14.251046380723466	0.883188209243417	0.6661435590138383	1.1290153694691802
logflex2	memory	channel	vertex	15.30106375977155	0.8772740526191307	0.6517355299068408	1.104586044790609
logflex2	memory	channel	vertex	16.42844644006477	0.8637895443251332	0.6419451193305958	1.0795046271716724
logflex2	memory	channel	vertex	17.638894698528226	0.8529938260813457	0.6307088162198238	1.0484540724346392
logflex2	memory	channel	vertex	18.93852880860355	0.8398593206927318	0.6196726143466161	1.0213304278741109
logflex2	memory	channel	vertex	20.33391998560055	0.8216096716837644	0.6094210734232592	0.9963459614854457
logflex2	memory	channel	vertex	21.832123612102944	0.804148310319101	0.6019988021167438	0.9734844761627256
logflex2	memory	channel	vertex	23.4407149114227	0.7894564793337501	0.6003540078905419	0.9499858442209043
logflex2	memory	channel	vertex	25.167827249475163	0.778002552153593	0.5942767099086477	0.9279374132075989
logflex2	memory	channel	vertex	27.02219325873709	0.770389339995162	0.5861594214162552	0.9049907161190114
logflex2	memory	channel	vertex	29.013188992218765	0.7621536882075876	0.5762457733809242	0.8869443400426924
logflex2	memory	channel	vertex	31.15088133070163	0.7553451420446019	0.5635127518032027	0.8703827736214912
logflex2	memory	channel	vertex	33.44607888294205	0.745191131233476	0.549294495949902	0.8572218841981802
logflex2	memory	channel	vertex	35.91038663620328	0.7361131677120238	0.5277569554421797	0.8504644205704786
logflex2	memory	channel	vertex	38.55626463343955	0.7235787988143284	0.5029911250819614	0.8421043567232179
logflex2	memory	channel	vertex	41.39709097381619	0.7131454593892258	0.47681723156632505	0.840433775850382
logflex2	memory	channel	vertex	44.44722945510958	0.7073201079234894	0.44597558760606243	0.836536962226038
logflex2	memory	channel	vertex	47.722102200000165	0.7038812713070062	0.42628616697775124	0.8376738594757481
logflex2	memory	channel	vertex	51.23826763347237	0.7023215934649407	0.38835578607629695	0.8411752444663406
logflex2	memory	channel	vertex	55.01350420559077	0.6986939881137395	0.35716650452287496	0.8415341083544756
logflex2	memory	channel	vertex	59.066900282972185	0.7046311764667775	0.3195309770922492	0.8470207719444175
logflex2	memory	channel	vertex	63.41895066346308	0.7092215452654698	0.27682050837666605	0.8590113712273479
logflex2	memory	channel	vertex	68.09166020202039	0.7155414384354037	0.2331862653219995	0.8825053655453159
logflex2	memory	channel	vertex	73.10865507174928	0.7222382677245573	0.19186757334756835	0.9095007247346772
logflex2	memory	channel	vertex	78.49530222265635	0.7289962203332233	0.1635252492964103	0.9525835380534406
logflex2	memory	channel	vertex	84.27883764212612	0.7355020064530398	0.13460320376310955	1.009310100063886
logflex2	memory	channel	vertex	90.48850406563214	0.755330736919369	0.10211447922189122	1.0760440754014675
logflex2	memory	channel	vertex	97.15569883397542	0.7735648105114596	0.08171559135112907	1.1678915986788319
logflex2	memory	channel	vertex	104.31413264464813	0.7875535883509666	0.05915040320753887	1.254023610831893
logflex2	memory	channel	vertex	112.0	0.8081184870548466	0.040155112977360116	1.3851193022835764
logflex2	perceptual	channel	vertex	7.0	0.17566404221166615	0.0829955193071792	0.22232521710381672
logflex2	perceptual	channel	vertex	7.515760138376831	0.17064084233374072	0.0891265601134603	0.2202870305250262
logflex2	perceptual	channel	vertex	8.069521493944878	0.16207061758535177	0.0969474516670378	0.22161597964215485
logflex2	perceptual	channel	vertex	8.664083997137995	0.1567293580275723	0.1010741617885212	0.22796694173571827
logflex2	perceptual	channel	vertex	9.302453877319765	0.154587032035931	0.1058421925956674	0.23480375033304357
logflex2	perceptual	channel	vertex	9.987858862892699	0.156879584890199	0.10836105897408302	0.2432353118568729
logflex2	perceptual	channel	vertex	10.723764501351814	0.15908397730574625	0.11185423734356828	0.252055185818305
logflex2	perceptual	channel	vertex	11.513891681800072	0.16171040416960256	0.11433835898283953	0.2608971517600442
logflex2	perceptual	channel	vertex	12.36223544852308	0.16678341303859967	0.11652018556264124	0.2712085386861857
logflex2	perceptual	channel	vertex	13.2730852007484	0.17131705954521598	0.11939341508524101	0.2818692515217722
logflex2	perceptual	channel	vertex	14.251046380723466	0.17064350870337897	0.12273781602970811	0.2931148152001736
logflex2	perceptual	channel	vertex	15.30106375977155	0.169436185277356	0.1253496764145782	0.3047276483342348
logflex2	perceptual	channel	vertex	16.42844644006477	0.17287531626858332	0.1292734558662174	0.3174589180944861
logflex2	perceptual	channel	vertex	17.638894698528226	0.1756507079557078	0.13324767918968425	0.32858110872343177
logflex2	perceptual	channel	vertex	18.93852880860355	0.17496913509454465	0.1370624708057388	0.3368127349047843
logflex2	perceptual	channel	vertex	20.33391998560055	0.17721590767209128	0.1411326929702354	0.34705152765312586
logflex2	perceptual	channel	vertex	21.832123612102944	0.18116608395066158	0.1440269934995219	0.35719788472439545
logflex2	perceptual	channel	vertex	23.4407149114227	0.18485579179294487	0.14785614859115406	0.3666919847252882
logflex2	perceptual	channel	vertex	25.167827249475163	0.18880470336888733	0.15103206354671095	0.3753346920159755
logflex2	perceptual	channel	vertex	27.02219325873709	0.19405029461772927	0.1546879887201908	0.3830957952222046
