model	subject	roi	voxel	r2	mu_vertex	sd_vertex	amplitude_vertex	baseline_vertex	mu_ips	sd_ips	amplitude_ips	baseline_ips	pref_n_ips	pref_n_vertex
0	1	NPCr2cm-cluster	48413	0.06462085	1.9464388	0.06812957	1.2376926	0.26393124	1.9464388	0.06812957	1.2376926	0.26393124	7.003701	7.003701
0	1	NPCr2cm-cluster	48443	0.011469781	1.8109666	0.10170874	0.54425734	0.1849773	1.8109666	0.10170874	0.54425734	0.1849773	6.116357	6.116357
0	1	NPCr2cm-cluster	48444	0.03333932	1.8275927	0.09608739	1.2003201	0.20913132	1.8275927	0.09608739	1.2003201	0.20913132	6.2188973	6.2188973
0	1	NPCr2cm-cluster	48445	0.052129865	1.8532635	0.08799643	1.2717644	0.13394699	1.8532635	0.08799643	1.2717644	0.13394699	6.3806086	6.3806086
0	1	NPCr2cm-cluster	48446	0.07564652	1.872934	0.08625569	1.2507198	0.150547	1.872934	0.08625569	1.2507198	0.150547	6.507361	6.507361
0	1	NPCr2cm-cluster	48478	0.0045936108	1.792779	0.1046204	0.39837563	0.217145	1.792779	0.1046204	0.39837563	0.217145	6.0061197	6.0061197
0	1	NPCr2cm-cluster	48479	0.010027289	1.8113947	0.1015086	0.53954977	0.20491765	1.8113947	0.1015086	0.53954977	0.20491765	6.118975	6.118975
0	1	NPCr2cm-cluster	48480	0.013971031	1.7962292	0.10176909	0.7782087	0.13988376	1.7962292	0.10176909	0.7782087	0.13988376	6.0268784	6.0268784
0	1	NPCr2cm-cluster	48481	0.04080814	1.8229007	0.09918353	1.0671065	0.068214394	1.8229007	0.09918353	1.0671065	0.068214394	6.1897864	6.1897864
0	1	NPCr2cm-cluster	48515	0.008814633	4.2732325	0.041750524	0.5907316	0.21168387	4.2732325	0.041750524	0.5907316	0.21168387	71.7532	71.7532
0	1	NPCr2cm-cluster	48516	0.00013870001	2.5378993	0.6931472	0.021216413	0.18580383	2.5378993	0.6931472	0.021216413	0.18580383	12.653063	12.653063
0	1	NPCr2cm-cluster	48518	0.016558051	1.8252349	0.09850408	0.57656854	-0.033034127	1.8252349	0.09850408	0.57656854	-0.033034127	6.2042522	6.2042522
0	1	NPCr2cm-cluster	48556	0.00026792288	6.0305047	3.6287258	0.079689726	0.10002869	6.0305047	3.6287258	0.079689726	0.10002869	415.92487	415.92487
0	1	NPCr2cm-cluster	50416	0.052140832	1.8382965	0.10989773	1.6851025	0.78776824	1.8382965	0.10989773	1.6851025	0.78776824	6.2858214	6.2858214
0	1	NPCr2cm-cluster	50442	0.0075947046	3.1507506	0.19110961	0.17099974	0.061976373	3.1507506	0.19110961	0.17099974	0.061976373	23.353588	23.353588
0	1	NPCr2cm-cluster	50445	0.07027125	1.8406783	0.10141941	1.3585458	0.49095005	1.8406783	0.10141941	1.3585458	0.49095005	6.300811	6.300811
0	1	NPCr2cm-cluster	50446	0.06228453	1.8101858	0.12439518	1.1781337	0.29347035	1.8101858	0.12439518	1.1781337	0.29347035	6.1115828	6.1115828
0	1	NPCr2cm-cluster	50473	0.024766505	3.3244371	0.01848806	0.33032352	0.080468	3.3244371	0.01848806	0.33032352	0.080468	27.783356	27.783356
