	rank	elpd_loo	p_loo	elpd_diff	weight	se	dse	warning	scale	name	max_rhat	min_ess	divergences	bauer_commit	prior	converged
flexible2_noisefix_perception_prior	0	-4154.490884720868	251.00066879166297	0.0	0.6492400503876999	47.56269608949655	0.0	True	log	flexible2_noisefix_perception_prior	1.01	420.0	70	e05f73a	full	True
flexible2_noisefix_perception	1	-4157.651639897151	247.6264524078947	3.1607551762821444	1.677995569953546e-12	47.60426798138458	2.5972024354430028	True	log	Flexible PMC (cTBS on perceptual noise only)	1.0	745.0	86	e05f73a	full	True
flexible2_noisefix	2	-4159.693768147248	266.34266000889784	5.202883426380094	0.24221913886561203	47.69268873557037	4.690362131233835	True	log	Flexible PMC (cTBS on perceptual and memory noise)	1.01	353.0	28	e05f73a	full	False
flexible2_noisefix_prior	3	-4179.175299660947	218.88467989166656	24.684414940079066	0.07145698515879162	47.37640812479711	7.4382369367724	True	log	flexible2_noisefix_prior	1.0	779.0	0	e05f73a	full	True
flexible2_noisefix_memory	4	-4217.518629434529	250.51355229051296	63.027744713660944	0.03708382558879355	47.38414938233933	12.436907504543381	True	log	Flexible PMC (cTBS on memory noise only)	1.01	386.0	739	e05f73a	full	False
flexible2_noisefix_null	5	-4273.208315868183	192.50019298807456	118.71743114731434	0.0	46.82623004103542	14.56500779930506	True	log	Flexible PMC null model	1.02	109.0	664	e05f73a	full	False
