order	bin	channel	delta	lo	hi
Risky first	20%	bias_only	-0.01663076711531215	-0.03321812285135991	0.0010131205838989825
Risky first	32%	bias_only	-0.010257845911229295	-0.027352020394714082	0.00722511319459929
Risky first	44%	bias_only	-0.005019140573311332	-0.02405873542951371	0.012970572224372253
Risky first	56%	bias_only	0.0028671953827022374	-0.017880667168777127	0.023063040375346573
Risky first	68%	bias_only	0.008286178462978832	-0.017864397817800037	0.03278593174984288
Risky first	80%	bias_only	0.0196601298707651	-0.009935927513702859	0.049909094916546125
Risky second	20%	bias_only	0.027866053038479003	0.007936753518964201	0.05000418330242129
Risky second	32%	bias_only	0.0317895980666791	0.009240455831769082	0.052153472184504536
Risky second	44%	bias_only	0.02556606828474563	0.0030874290787415506	0.04541886531340866
Risky second	56%	bias_only	0.028369047086880785	0.008429734110168386	0.04955007163926661
Risky second	68%	bias_only	0.023143826103605627	0.0028140235637374848	0.04256010343072252
Risky second	80%	bias_only	0.02749443436570397	0.008472566513993631	0.04692346696278137
Risky first	20%	bias_risky_percept_only	-0.014342876056006211	-0.03359197566032961	0.0011328600401131776
Risky first	32%	bias_risky_percept_only	-0.010889593462349006	-0.029168519531448583	0.007295007713961795
Risky first	44%	bias_risky_percept_only	-0.006331935309253034	-0.028292361932183194	0.013325139086018914
Risky first	56%	bias_risky_percept_only	-0.0022756851231968546	-0.03209521616420889	0.0225435308895605
Risky first	68%	bias_risky_percept_only	0.006251599645531561	-0.02491900210590899	0.03490079177454327
Risky first	80%	bias_risky_percept_only	0.016837042351919684	-0.016377742902268008	0.04917419309829831
Risky second	20%	bias_risky_percept_only	0.003413414372334968	-0.014865733994904748	0.02268808193861798
Risky second	32%	bias_risky_percept_only	0.0030057461049856136	-0.017893076003764212	0.02366796526739966
Risky second	44%	bias_risky_percept_only	0.00233648747521093	-0.021971033101431767	0.023079731855029702
Risky second	56%	bias_risky_percept_only	0.006034934328820408	-0.01803006841182923	0.02837549356230866
Risky second	68%	bias_risky_percept_only	0.006761441371057645	-0.016955202812037835	0.02805734910518589
Risky second	80%	bias_risky_percept_only	0.014965570564161184	-0.00907630809976955	0.03738195615068257
Risky first	20%	bias_safe_percept_only	1.0109504914257183e-05	-0.01427022877748529	0.017760511684173034
Risky first	32%	bias_safe_percept_only	0.002213423659938705	-0.014414504113581854	0.020523096181477334
Risky first	44%	bias_safe_percept_only	0.002029681487282739	-0.01630097022452113	0.023658255247612055
Risky first	56%	bias_safe_percept_only	0.004988913659185623	-0.012356455902221607	0.024181780538269318
Risky first	68%	bias_safe_percept_only	0.0014280184497093174	-0.014513452955029104	0.020000167165262858
Risky first	80%	bias_safe_percept_only	0.0024182324082260443	-0.009608530726893744	0.014577882792378202
Risky second	20%	bias_safe_percept_only	0.024925799812163797	0.002764197216026508	0.053217142601715214
Risky second	32%	bias_safe_percept_only	0.02813445584459511	0.005543474399794501	0.05618918622369627
Risky second	44%	bias_safe_percept_only	0.02127212812763598	0.0008625861812647606	0.04598687528857565
Risky second	56%	bias_safe_percept_only	0.019975351583811148	0.002121490773877723	0.04180742795292603
Risky second	68%	bias_safe_percept_only	0.014201152674579049	-0.00036922540636926776	0.030871402018794243
Risky second	80%	bias_safe_percept_only	0.01099088687447295	-0.0003998912754026226	0.025642425881639102
Risky first	20%	full	-0.011905776827411906	-0.03218509925130829	0.007904657683095933
Risky first	32%	full	-0.007340240063413867	-0.027240793725061288	0.010756693721053647
Risky first	44%	full	-0.005948848858699885	-0.023087583090214477	0.012609474498941254
Risky first	56%	full	-0.001943689042571455	-0.024595807451108332	0.017801584445309538
Risky first	68%	full	0.0032607919876887796	-0.02209598766185276	0.02898889100803609
Risky first	80%	full	0.016436793678298804	-0.015041073491588137	0.04692903139173818
Risky second	20%	full	0.02926886586491213	0.008409190526489013	0.0539137136858606
Risky second	32%	full	0.03143540217086994	0.009960808171918682	0.05348692744035956
Risky second	44%	full	0.024490078316051496	0.00037448872727157903	0.04457540154006579
Risky second	56%	full	0.028290393585404146	0.005817930246771547	0.05188261232067033
Risky second	68%	full	0.025245392738479346	0.0007896549715789616	0.049324910608855806
Risky second	80%	full	0.031225158374549363	0.006485798045422986	0.0545232388298566
Risky first	20%	noise_only	0.0050077866751037335	-0.0030429154162806803	0.011510218167757434
Risky first	32%	noise_only	0.0023437212046215038	-0.004381679708836681	0.008749430389685483
Risky first	44%	noise_only	-0.004336417287564026	-0.010032471650165447	0.0010067764115395876
Risky first	56%	noise_only	-0.00968238407876837	-0.015979498015778967	-0.003152668596254611
Risky first	68%	noise_only	-0.011472119885587845	-0.01901057983917518	-0.0033254112372842694
Risky first	80%	noise_only	-0.009382619049688784	-0.01805430117038531	-0.0014305429218331575
Risky second	20%	noise_only	0.004087697697511963	-0.004696198167801708	0.011557083016723221
Risky second	32%	noise_only	0.0013624636333315178	-0.004902664405970175	0.0068701556757212
Risky second	44%	noise_only	-0.0032015556185554677	-0.009652068410104991	0.0021724241798477878
Risky second	56%	noise_only	-0.004358505130091542	-0.010854310952763502	0.002577092672282259
Risky second	68%	noise_only	-0.004178962179360316	-0.012555094561507442	0.0037854615267252875
Risky second	80%	noise_only	-0.0023420459604605263	-0.010497938902630123	0.00708432226236855
