stimulation_condition	n_safe	frac	mean	lo	hi	source
ips	7.0	1.15	0.15042563941694445	0.06743506681103156	0.2642841576897512	model
ips	7.0	1.248	0.20096569815643514	0.10219964312616463	0.32974094936033216	model
ips	7.0	1.3459999999999999	0.25538773796235603	0.14275502059599227	0.394700004330902	model
ips	7.0	1.444	0.3113924068143682	0.18812382770651834	0.4575735610839701	model
ips	7.0	1.5419999999999998	0.3672076725276441	0.2349065389299345	0.5153241001278039	model
ips	7.0	1.64	0.4215355355173752	0.2839980556488441	0.5686621059382361	model
ips	7.0	1.738	0.4734517796535267	0.3338931052380301	0.6178469838741419	model
ips	7.0	1.8359999999999999	0.5223247647153577	0.38290040548314846	0.6616182134755744	model
ips	7.0	1.934	0.567758602817684	0.4302397585510608	0.7005672258803305	model
ips	7.0	2.032	0.6095506234273936	0.47614548840774557	0.7348151781115653	model
ips	7.0	2.13	0.6476544523637457	0.5199963775127697	0.7650382047111014	model
ips	7.0	2.2279999999999998	0.682144889886573	0.5614392165971218	0.791991512135685	model
ips	7.0	2.326	0.7131844830716875	0.5988149502330966	0.8155832979368953	model
ips	7.0	2.424	0.7409933304090968	0.6327646745488178	0.8357936476013711	model
ips	7.0	2.5220000000000002	0.7658236918494326	0.6634208031627394	0.8534954350047482	model
ips	7.0	2.62	0.7879402137850898	0.6907937800743955	0.8693057500353771	model
ips	7.0	2.718	0.8076056858156843	0.715015375454483	0.8832874663771693	model
ips	7.0	2.816	0.8250715944491808	0.7369271653030189	0.8955672202324242	model
ips	7.0	2.9139999999999997	0.840573095808673	0.7568186468886907	0.9062670164338974	model
ips	7.0	3.012	0.8543359520197199	0.7750170956204435	0.9156326852020332	model
ips	7.0	3.11	0.8665725743700371	0.7914082595659858	0.9238416691463419	model
ips	7.0	3.208	0.8774731240158803	0.8061699048869065	0.9309202113315747	model
ips	7.0	3.306	0.8872060077489877	0.8197513112621942	0.9372588540970077	model
ips	7.0	3.404	0.8959192487761495	0.8320680242537153	0.9429483166779052	model
ips	7.0	3.5020000000000002	0.9037421940681899	0.8429061818122805	0.9480871993912368	model
ips	7.0	3.6	0.9107873616429871	0.8527117411523538	0.9526319907241673	model
ips	10.0	1.15	0.16773599504672754	0.08895628209778492	0.2730668842022415	model
ips	10.0	1.248	0.21847740093750248	0.12614429936901464	0.33355306757389735	model
ips	10.0	1.3459999999999999	0.27131628017715903	0.16871323365564475	0.39264462835983616	model
ips	10.0	1.444	0.32456226494190693	0.2141926343121409	0.44933770253413025	model
