order	n_safe	vertex	ips	delta	sem	n_subjects
Risky first	7.0	0.6302308802308803	0.6266666666666667	-0.003564213564213565	0.03609656059327895	35
Risky first	10.0	0.5952813852813853	0.6142857142857143	0.019004329004329006	0.031872359979577984	35
Risky first	14.0	0.5228138528138528	0.5181818181818182	-0.004632034632034642	0.041446960759510966	35
Risky first	20.0	0.4872294372294373	0.4597402597402597	-0.027489177489177494	0.042985399933987666	35
Risky first	28.0	0.405974025974026	0.45	0.04402597402597404	0.04149585065705767	35
Risky second	7.0	0.540909090909091	0.6367965367965368	0.09588744588744588	0.04111927498400671	35
Risky second	10.0	0.579004329004329	0.59	0.010995670995671003	0.0347801248700301	35
Risky second	14.0	0.5867965367965369	0.6595238095238095	0.07272727272727272	0.042458333277957935	35
Risky second	20.0	0.5761904761904763	0.622943722943723	0.04675324675324675	0.04130364313616211	35
Risky second	28.0	0.5333333333333333	0.5714285714285714	0.03809523809523809	0.03959748120196977	35
