label	elpd_loo	se	p_loo	bad_k	max_rhat	min_ess	divergences	bauer	delta_best	dse_best	delta_null	dse_null
power1_full	-4200.721336176246	46.41880386667546	190.0406423818854	7	1.0568510908536832	48.82817591982894	1965	7e2bcea	0.0	0.0	86.89645621030716	13.012392743189276
power1_exp	-4203.552878449987	46.240222828701256	177.88941734234595	3	1.0415361879378193	73.46039267786858	1505	7e2bcea	-2.8315422737405243	4.647739962904655	84.06491393656685	12.708934408027146
power2_full	-4206.985970077593	46.31609106509418	171.41115827037174	0	1.0030421114068508	1495.1410341676792	86	7e2bcea	-6.264633901347224	7.169419428995581	86.11536599934423	13.009760489586737
power1	-4208.51852344599	46.548175372923886	192.9262343104724	8	1.0223590655659212	180.01423608504766	1704	7e2bcea	-7.797187269743517	4.03450531893028	79.09926894056353	12.370385936796827
power2_exp	-4209.0272683659	46.11909057000687	162.84758988418162	0	1.0110650673910477	542.7417753568125	87	7e2bcea	-8.305932189654413	7.723823121386682	84.0740677110375	12.679431155981607
power2	-4213.477583738901	46.261089752350216	171.36716637755308	1	1.2116093613518022	13.193369297862056	122	7e2bcea	-12.756247562654607	8.43325679296039	79.62375233803644	13.118194215756901
power1_null	-4287.6177923865525	45.85375031332062	141.78366319142424	0	1.0062106245275757	967.7564298270688	734	7e2bcea	-86.8964562103065	13.012392743189276		
power2_null	-4293.1013360769375	45.761099986146306	128.21774541184368	0	1.0007690470164763	5813.662983568398	80	7e2bcea	-92.37999990069147	13.930016661049155		
power2_flat	-4934.575129696434	36.77512001294361	103.64983172409939	3	1.002081618332343	1510.3671023695485	3	7e2bcea	-733.8537935201875	33.888272812624066	64.55344263393076	8.48273125992741
power2_flat_exp	-4935.028681886893	36.71548660945732	101.06238043969279	11	1.001364079351307	2077.0535564261963	6	7e2bcea	-734.3073457106466	33.80591009568075	64.09989044347108	8.50828608514732
power2_flat_full	-4935.37690418545	36.880931897589406	104.39613749432829	31	1.0038446034841506	1095.8866567037162	14	7e2bcea	-734.6555680092042	33.94254556187588	63.75166814491404	9.10675243110639
power1_flat_exp	-4968.017291032743	35.76312632456569	96.00296301963044	2	1.0051067890391263	751.1409905412451	254	7e2bcea	-767.2959548564968	34.477174904998435	49.70338943876605	8.244650526082445
power1_flat_full	-4978.76135369281	35.7018358695314	96.66260628873624	2	1.006677767034064	385.27915596468864	1	7e2bcea	-778.0400175165641	34.713417272380084	38.95932677869794	8.351681163873948
power1_flat	-4979.2064300176835	35.45586128602809	96.99622191790422	3	1.0179504140430184	283.5330210558428	419	7e2bcea	-778.4850938414374	34.651323005442556	38.51425045382505	7.963655572432866
power2_flat_null	-4999.1285723303645	35.868645009095744	80.13023726896154	3	1.0329546953000708	111.77335567913538	1897	7e2bcea	-798.4072361541184	34.43840316966982		
power1_flat_null	-5017.720680471509	34.83291100512346	62.885730332373896	1	1.0114148829375509	470.5888916675698	521	7e2bcea	-816.9993442952627	35.261987710966686		
