neural	behav	abs_r	p_fwer	n	r	p
d_amp_median	d_consistency_rsecond	0.5333267111196178	0.24737526247375263	35	0.5333267111196176	0.0009703807446472447
d_amp_w14	d_consistency_rsecond	0.5224609444656068	0.28927107289271076	35	0.5224609444656068	0.0012836827162943547
d_amp_w10	d_consistency_rsecond	0.4876740096268169	0.45435456454354567	35	0.487674009626817	0.0029624158923328716
d_amp_w20	d_consistency_rsecond	0.4683637437688786	0.5558444155584441	35	0.4683637437688784	0.004545260255217944
d_amp_w7	d_consistency_rsecond	0.4512966176229769	0.6548345165483451	35	0.45129661762297696	0.00650580166332514
d_amp_rel_w20	d_p_risky_orderdiff	0.42742162349065804	0.7778222177782221	35	-0.42742162349065765	0.010436168464870362
d_r_En1	d_indifference_rsecond	0.4266080766846111	0.7811218878112188	35	0.42660807668461104	0.010599532430391672
d_amp_rel_w28	d_p_risky_orderdiff	0.41454880239372977	0.833016698330167	35	-0.41454880239372977	0.013287195512025651
d_amp_mean	d_consistency_rsecond	0.40742477859876414	0.8601139886011399	35	0.40742477859876414	0.01512942669390207
d_amp_rel_median	d_consistency_rsecond	0.40517760563795857	0.8694130586941305	35	0.4051776056379587	0.015753233450146058
d_amp_mean	d_consistency_orderdiff	0.4033440190289412	0.877012298770123	35	0.40334401902894096	0.016278077796972584
d_amp_w28	d_consistency_rsecond	0.396746419107011	0.8971102889711029	35	0.39674641910701086	0.018289317998632044
d_post_spread_lowminushigh	d_indifference_rsecond	0.3951245670989006	0.9012098790120988	35	-0.3951245670989007	0.01881428341192018
d_amp_median	d_consistency_orderdiff	0.39449348425263175	0.9026097390260974	35	0.3944934842526317	0.01902192121254003
d_amp_w20	d_consistency_orderdiff	0.3737051415815803	0.9531046895310469	35	0.3737051415815802	0.027008789421136492
d_amp_rel_w14	d_consistency_rsecond	0.3697754120017392	0.9583041695830417	35	0.369775412001739	0.0287919028520429
d_amp_rel_w14	d_p_risky_orderdiff	0.36671243357263894	0.9632036796320368	35	-0.3667124335726389	0.030247776864130455
d_log_abs_err_high	d_indifference_orderdiff	0.36492476689291126	0.966003399660034	35	0.36492476689291126	0.031124984251820982
d_amp_w10	d_consistency_orderdiff	0.36484457383424546	0.966003399660034	35	0.36484457383424534	0.0311648175955256
d_amp_rel_w10	d_consistency_rsecond	0.36131835226791903	0.9703029697030296	35	0.36131835226791903	0.0329580340881267
d_log_abs_err_high	d_p_risky_orderdiff	0.3593555217302071	0.9725027497250275	35	-0.3593555217302072	0.033992137176154555
d_amp_w7	d_consistency_orderdiff	0.3564273454696154	0.9762023797620238	35	0.35642734546961546	0.0355838402930237
d_amp_w14	d_consistency_orderdiff	0.3562188676650704	0.9763023697630236	35	0.3562188676650704	0.035699437961676114
d_log_abs_err	d_consistency_rfirst	0.35162516540431576	0.9813018698130187	35	0.3516251654043158	0.03832505335264335
d_amp_w28	d_consistency_orderdiff	0.34926428415950506	0.9829017098290171	35	0.349264284159505	0.039734124236167734
d_log_abs_err_low	d_consistency_rfirst	0.3374528321819375	0.9901009899010099	35	0.3374528321819375	0.047425949232655945
d_amp_rel_mean	d_indifference_rsecond	0.33189476275405444	0.9932006799320068	35	0.33189476275405455	0.051436782125135805
d_amp_rel_w7	d_consistency_rsecond	0.3311832619242241	0.9935006499350065	35	0.33118326192422415	0.05196919440356161
d_log_abs_err	d_consistency_orderdiff	0.32545681432731083	0.9949005099490051	35	-0.32545681432731094	0.056416056235041985
d_amp_rel_median	d_p_risky_orderdiff	0.324437201793106	0.9951004899510049	35	-0.3244372017931058	0.05723859805374711
d_amp_rel_w10	d_p_risky_orderdiff	0.32342766845366233	0.9953004699530047	35	-0.3234276684536622	0.05806234994808557
d_r_En1	dnu_flexible1nf_slope	0.3226122967607338	0.9955004499550045	35	-0.3226122967607337	0.05873450423521467
d_amp_rel_mean	d_consistency_rsecond	0.32073322237610224	0.9959004099590041	35	0.3207332223761023	0.060306987872953736
d_post_spread_lowminushigh	d_indifference	0.31854908469308196	0.9962003799620038	35	-0.3185490846930819	0.06217637625191103
d_amp_rel_w7	d_p_risky_orderdiff	0.3179310739830856	0.9964003599640036	35	-0.31793107398308557	0.0627135399131622
d_log_abs_err_low	d_consistency_orderdiff	0.3172902848104853	0.9964003599640036	35	-0.3172902848104853	0.06327435894852645
d_amp_rel_w20	d_consistency_orderdiff	0.3151306795693359	0.9966003399660034	35	0.3151306795693358	0.06519359728575724
d_amp_rel_median	d_consistency_orderdiff	0.3122089192748198	0.9972002799720028	35	0.3122089192748197	0.06786268624003496
d_amp_w14	d_consistency	0.3115511294324079	0.9975002499750025	35	0.3115511294324078	0.0684752461481914
d_amp_rel_mean	d_p_risky_orderdiff	0.31151605311864783	0.9975002499750025	35	-0.3115160531186479	0.06850803189364692
d_amp_rel_w20	d_consistency_rsecond	0.3105209617312668	0.9977002299770023	35	0.3105209617312667	0.06944327723994292
d_amp_rel_mean	d_indifference_orderdiff	0.30997203919973054	0.9977002299770023	35	0.30997203919973065	0.06996344825477496
d_amp_rel_w28	d_consistency_orderdiff	0.3071385697822898	0.998000199980002	35	0.3071385697822896	0.07269716746296519
d_amp_mean	d_indifference_rsecond	0.2974398105551302	0.999000099990001	35	0.2974398105551302	0.0826895632328015
d_amp_w7	d_indifference_rsecond	0.29681855730041434	0.9991000899910009	35	0.2968185573004145	0.08336407111732093
d_post_spread_lowminushigh	d_indifference_orderdiff	0.2952686609793917	0.9991000899910009	35	-0.2952686609793916	0.08506535175196453
d_amp_rel_mean	d_consistency_orderdiff	0.2917090326907902	0.9993000699930007	35	0.29170903269079007	0.0890739457141264
d_amp_rel_w7	d_indifference_rsecond	0.2913130429019026	0.9993000699930007	35	0.2913130429019027	0.08952869847256642
d_post_spread_lowminushigh	dnu_flexible1nf_10	0.28966212345120423	0.9994000599940006	35	0.2896621234512042	0.09144383823700078
d_amp_rel_w7	d_p_risky_rsecond	0.2889453804908783	0.9994000599940006	35	-0.2889453804908784	0.092285001024712
d_amp_w20	d_p_risky_orderdiff	0.28893515636746236	0.9994000599940006	35	-0.2889351563674625	0.09229704267730142
d_post_spread_lowminushigh	dnu_flexible1nf_7	0.2849862727938791	0.9995000499950005	35	0.28498627279387917	0.09703856309843784
d_amp_rel_w28	dnu_flexible1nf_28	0.2846891985542021	0.9995000499950005	35	0.284689198554202	0.09740263909900575
d_amp_w28	d_p_risky_orderdiff	0.2831865186062506	0.9997000299970003	35	-0.28318651860625066	0.09926020472853263
d_amp_rel_mean	d_p_risky_rsecond	0.28219117133298643	0.9997000299970003	35	-0.2821911713329865	0.10050538136289539
d_amp_rel_w20	d_p_risky_rsecond	0.28209655804840006	0.9997000299970003	35	-0.28209655804839984	0.10062435733604783
d_amp_rel_w20	dnu_flexible1nf_28	0.2805892262698346	0.9997000299970003	35	0.2805892262698345	0.10253429077475414
d_amp_w28	d_indifference_rsecond	0.279847823132895	0.9997000299970003	35	0.27984782313289497	0.10348374997571798
d_amp_median	d_consistency	0.27881706451458405	0.9997000299970003	35	0.278817064514584	0.10481481815639723
d_r_En1	d_indifference	0.27809669852585206	0.9997000299970003	35	0.278096698525852	0.10575272753619923
d_amp_w20	d_indifference_rsecond	0.27759737572843884	0.9997000299970003	35	0.2775973757284389	0.10640655639545651
d_amp_w14	d_p_risky_rsecond	0.2767942792883598	0.9997000299970003	35	-0.2767942792883597	0.10746455934977718
d_amp_w20	d_p_risky_rsecond	0.27647572508746904	0.9997000299970003	35	-0.276475725087469	0.1078864175876659
d_amp_rel_w14	d_p_risky_rsecond	0.27266946205279224	0.9999000099990001	35	-0.27266946205279224	0.113024197624973
d_amp_w14	d_p_risky_lowsafe	0.27009310453655766	0.9999000099990001	35	-0.2700931045365577	0.11660474086099877
d_amp_rel_w14	d_consistency_orderdiff	0.2691480083752184	0.9999000099990001	35	0.26914800837521846	0.11793928413396239
d_amp_w7	d_p_risky_lowsafe	0.26603190951253414	0.9999000099990001	35	-0.2660319095125342	0.12242042553453258
d_amp_rel_w28	d_p_risky_rsecond	0.26404208015508024	1.0	35	-0.2640420801550802	0.1253475489731539
d_amp_w28	d_p_risky_rsecond	0.262145576633579	1.0	35	-0.262145576633579	0.12818549800999732
d_amp_w7	d_p_risky_rsecond	0.2617380938680044	1.0	35	-0.26173809386800445	0.1288014270104961
d_amp_w10	d_consistency	0.2610845282598335	1.0	35	0.2610845282598335	0.1297938965644559
d_post_spread_high	d_consistency	0.2609488283023328	1.0	35	0.2609488283023329	0.1300006710237978
d_amp_rel_w7	d_consistency_orderdiff	0.2600727746175547	1.0	35	0.26007277461755457	0.13134144001412307
d_amp_rel_w10	d_consistency_orderdiff	0.25874381472139985	1.0	35	0.2587438147213998	0.13339484234565413
d_amp_rel_w10	d_indifference_orderdiff	0.25862532024976875	1.0	35	0.25862532024976875	0.13357907420148496
d_amp_rel_w14	d_indifference_orderdiff	0.25858194658562583	1.0	35	0.2585819465856258	0.1336465572623091
d_amp_rel_w10	d_p_risky_rsecond	0.2557655890854767	1.0	35	-0.2557655890854767	0.13808243570059298
