lo	hi	p_perceptual	p_memory
7	14	0.94605	0.6917
7	20	0.9428	0.6378
7	28	0.9426	0.5996
10	30	0.9885	0.71465
28	112	0.9172	0.0272
7	112	0.86935	0.01995
