model	order	rmse	max_abs	covered
Flexible 1 · PUBLISHED (ecc6454)	Risky first	0.01998939617366792	0.033855259605931665	0.5833333333333334
Flexible 1 · PUBLISHED (ecc6454)	Risky second	0.0250773999281238	0.055915358736493226	0.6666666666666666
Flexible 1 · both options	Risky first	0.01588721623567906	0.0261773818600588	0.6666666666666666
Flexible 1 · both options	Risky second	0.01818454625577831	0.03595888877297898	0.5833333333333334
Flexible 1 · first option only	Risky first	0.01892953796385512	0.03585169588949605	0.5833333333333334
Flexible 1 · first option only	Risky second	0.021332597197596007	0.0430301832852093	0.6666666666666666
Flexible 1 · null	Risky first	0.016242570226184076	0.028704451018227717	0.3333333333333333
Flexible 1 · null	Risky second	0.03398943287680898	0.07196343503165187	0.3333333333333333
Flexible 1 · second option only	Risky first	0.016667252629715006	0.0318536653045397	0.8333333333333334
Flexible 1 · second option only	Risky second	0.03363163719788023	0.07467387995698138	0.5
Flexible 2 · df = 9 spline	Risky first	0.015860671526721343	0.02847092201010043	0.8333333333333334
Flexible 2 · df = 9 spline	Risky second	0.019476939608620868	0.04022521983824279	0.6666666666666666
Flexible 2 · perceptual + memory	Risky first	0.018154405741622723	0.03280436507936518	1.0
Flexible 2 · perceptual + memory	Risky second	0.01840624110994161	0.039994841269841264	1.0
Flexible 2 · memory noise only	Risky first	0.020303219190897136	0.03636439129968255	0.5833333333333334
Flexible 2 · memory noise only	Risky second	0.020670606000124072	0.041287149444080795	0.6666666666666666
Flexible 2 · null	Risky first	0.01720824702891288	0.029963416480307314	0.3333333333333333
Flexible 2 · null	Risky second	0.03408358119767548	0.07336926118688658	0.4166666666666667
Flexible 2 · perceptual noise only	Risky first	0.01896677850928096	0.035148339518871474	0.5833333333333334
Flexible 2 · perceptual noise only	Risky second	0.023465026611384547	0.05502091844854928	0.6666666666666666
Objective prior · perceptual noise	Risky first	0.08451002936765678	0.1225128785126593	0.0
Objective prior · perceptual noise	Risky second	0.05217144548037685	0.10157199020082669	0.08333333333333333
Weber · perceptual + memory	Risky first	0.024163331588495787	0.03437095959595965	1.0
Weber · perceptual + memory	Risky second	0.03371801025036353	0.0754723344116201	0.8333333333333334
Weber · memory noise only	Risky first	0.0249711775622172	0.034064212780602066	0.08333333333333333
Weber · memory noise only	Risky second	0.03175252602302323	0.07164885132721882	0.4166666666666667
Weber · null	Risky first	0.024441138070590177	0.03914896832906095	0.25
Weber · null	Risky second	0.03489027529844991	0.07560995515361224	0.4166666666666667
Weber · perceptual noise only	Risky first	0.02276681662204176	0.033370801692859275	0.3333333333333333
Weber · perceptual noise only	Risky second	0.036242747311088536	0.08177952405550881	0.5
