bin	observed_ips	observed_vertex	frac	probit_vertex	probit_vertex_lo	probit_vertex_hi	probit_ips	probit_ips_lo	probit_ips_hi	order	stake
20%	0.3036394557823129	0.3352535559678417	1.5561637953882852	0.32094330423076384	0.28756554132810136	0.3556467929696993	0.34374971729049236	0.3086787666512739	0.3819854665630476	Risky first	Low stake
32%	0.424671201814059	0.39197278911564626	1.7830069236170203	0.42627307509995044	0.39506706695311156	0.4607190394367785	0.4438456735673155	0.4113825844907419	0.47880437626376504	Risky first	Low stake
44%	0.5777210884353742	0.5308503401360545	2.0695427713472827	0.5572765772621932	0.5270014895342513	0.5875858144070387	0.5663811181547831	0.5371556161622223	0.5958168187470303	Risky first	Low stake
56%	0.780952380952381	0.6809523809523809	2.3819630709426627	0.675138432451945	0.6461163147730392	0.7041385410261731	0.6773059303702638	0.6496351410650931	0.7071694026827381	Risky first	Low stake
68%	0.7426470588235294	0.8063725490196079	2.7067383771690494	0.7659433261249893	0.7371851813190111	0.7970156811546731	0.7618537222042128	0.7321606406071806	0.7932384210783847	Risky first	Low stake
80%	0.8761904761904762	0.8714285714285714	3.17	0.8503586356381702	0.8257728265527028	0.8779434317750856	0.8423606396700961	0.8133582206071671	0.8702372335360681	Risky first	Low stake
20%	0.1880952380952381	0.2	1.5791933916423713	0.2313517366610025	0.19686236648456223	0.26348626349907367	0.22179937421837137	0.18930684155993666	0.2523447161941741	Risky first	High stake
32%	0.2857142857142857	0.2976190476190476	1.8005539358600582	0.30781349942198166	0.2746343484071169	0.3396769517001709	0.3000423445280947	0.26810714466644225	0.3302500880576191	Risky first	High stake
44%	0.39785714285714285	0.3851473922902494	2.0781050585647796	0.40933970785545504	0.38019955136101397	0.4358021569618902	0.40634271341368305	0.37820891314682303	0.43188796882256275	Risky first	High stake
56%	0.49166666666666664	0.526470588235294	2.396502419149478	0.5073819859434416	0.48031015005087624	0.5338655280369885	0.5093427593824049	0.4839499443123768	0.5376670560260378	Risky first	High stake
68%	0.6827731092436975	0.6424019607843137	2.7373402088107968	0.6245540044042692	0.5968794632329778	0.6513148959827417	0.6316068134391827	0.6054703397204327	0.6604323654396924	Risky first	High stake
80%	0.7364285714285714	0.7558163265306123	3.192060915275201	0.7286675912322529	0.6967694681799026	0.7578101219780473	0.7399527533427426	0.7092237861992151	0.7705101726606489	Risky first	High stake
20%	0.31755102040816324	0.2753968253968254	1.5569210526315789	0.25651414649386306	0.22659446894792828	0.28874851772854593	0.3670139792299017	0.3290080614980552	0.40792488452282977	Risky second	Low stake
32%	0.4646938775510204	0.3085714285714286	1.7817353123067408	0.36971735174432874	0.33719168030170893	0.4009557825646428	0.4726139729065178	0.43853269513592796	0.50705579832954	Risky second	Low stake
44%	0.6423314780457637	0.5510204081632653	2.0677052471338184	0.5203816100110052	0.49163737312187555	0.5505525720364612	0.5942856778834552	0.5642648172472592	0.6200876685265135	Risky second	Low stake
56%	0.7019047619047619	0.6690476190476191	2.3800136054421768	0.658043233972711	0.6273890391158718	0.6877015272538629	0.6973220455120622	0.6677885214300152	0.7263787649029444	Risky second	Low stake
68%	0.7929292929292929	0.7769607843137255	2.703671468587435	0.7589541181041821	0.7258270438198858	0.7891861655118799	0.7773247273915516	0.745985951170398	0.8091935943493369	Risky second	Low stake
80%	0.8642857142857143	0.8857142857142857	3.17	0.8558019172650094	0.826307015021422	0.8804430100621924	0.8512234107241063	0.8187484473366499	0.8785010687044372	Risky second	Low stake
20%	0.35	0.2833333333333333	1.5791496598639456	0.3508667955055442	0.3087242009404108	0.39252648481277613	0.40907707990341263	0.3669078346494997	0.45364553334452024	Risky second	High stake
32%	0.5261904761904762	0.42142857142857143	1.800466472303207	0.43293914640819653	0.3953603753790368	0.4683572376103438	0.488831455297934	0.4529641039993328	0.5265525998181384	Risky second	High stake
44%	0.5404761904761906	0.5414285714285714	2.0784852010979833	0.5303418821047784	0.4995884844951266	0.5596646497150655	0.5795578840846797	0.5504842384456241	0.6095689364048448	Risky second	High stake
56%	0.6627450980392157	0.667156862745098	2.396878660555131	0.619361877864765	0.5939587866590884	0.6466001678997398	0.6606546741535319	0.6353378668453649	0.6853105057442013	Risky second	High stake
68%	0.7661064425770308	0.7220588235294118	2.7393837535014005	0.7152502232693397	0.6883658222445364	0.7425453119792823	0.746554942922175	0.7197469515794702	0.7689190646732613	Risky second	High stake
80%	0.8273809523809523	0.789795918367347	3.192079468150897	0.794018799765	0.7636103223579211	0.8247917433140397	0.8148572984489347	0.7836681999522609	0.8413447165785785	Risky second	High stake
