label	elpd	rhat	converged	bauer	group_sd	safe_n	dir
lfx2-bs3-sd2-dp-t	-4255.1	1.53	False	dd6feab	HalfCauchy	BUGGY (safe_n = risky_n)	cogmodels.lfxgrid
lfx2-bs3-sd3-dp-t	-4255.9	1.56	False	dd6feab	HalfCauchy	BUGGY (safe_n = risky_n)	cogmodels.lfxgrid
lfx2-bs3-m2-dp-null-p2-i-fp	-4256.4	1.01	True	34e64a6	HalfCauchy	fixed	cogmodels.lfxgrid
lfx2-pl-m2-dp-m-p2-i-fx	-4258.1	1.54	False	34e64a6	HalfCauchy	fixed	cogmodels.lfxgrid
lfx2-bs3-sm-tp-null	-4259.7	1.01	False	dd6feab	HalfCauchy	BUGGY (safe_n = risky_n)	cogmodels.lfxgrid
lfx2-bs3-m2-dp-null-p2-fx	-4259.9	1.53	False	dd6feab	HalfCauchy	BUGGY (safe_n = risky_n)	cogmodels.lfxgrid
lfx2-bs3-sm-dp-null	-4260.4	1.01	True	dd6feab	HalfCauchy	BUGGY (safe_n = risky_n)	cogmodels.lfxgrid
lfx2-bs2-m2-dp-null	-4262.2	1.53	False	dd6feab	HalfCauchy	BUGGY (safe_n = risky_n)	cogmodels.lfxgrid
lfx2-bs3-fm-dp-null	-4262.4	1.73	False	dd6feab	HalfCauchy	BUGGY (safe_n = risky_n)	cogmodels.lfxgrid
lfx2-bs2-sm-tp-null	-4262.5	1.01	True	dd6feab	HalfCauchy	BUGGY (safe_n = risky_n)	cogmodels.lfxgrid
lfx2-bs2-sm-dp-null	-4262.7	1.01	True	dd6feab	HalfCauchy	BUGGY (safe_n = risky_n)	cogmodels.lfxgrid
lfx2-bs3-sd3-dp-null	-4263.5	2.32	False	dd6feab	HalfCauchy	BUGGY (safe_n = risky_n)	cogmodels.lfxgrid
lfx2-bs3-w-dp-null	-4264.2	1.0	True	dd6feab	HalfCauchy	BUGGY (safe_n = risky_n)	cogmodels.lfxgrid
lfx2-cr3-sm-dp-null	-4264.9	1.02	False	dd6feab	HalfCauchy	BUGGY (safe_n = risky_n)	cogmodels.lfxgrid
