n_safe	option	objective_ev	vertex	ips	delta	lo	hi
7.0	safe	7.0	6.176964620744006	5.964121900277496	-0.21284272046651048	-0.36451199442116317	-0.045324431738200624
7.0	risky	8.662994011976048	6.354226568892813	6.259386358848969	-0.09484021004384299	-0.15707682660733963	-0.03639234185439604
10.0	safe	10.0	7.028424086091663	6.678177707737367	-0.35024637835429684	-0.531319838785749	-0.18247147455623972
10.0	risky	12.505193236714977	7.149325084805484	6.963850516362978	-0.18547456844250731	-0.29195279078214137	-0.0755727102566078
14.0	safe	14.0	7.596855499653068	7.195464805465024	-0.40139069418804446	-0.6024013530753728	-0.2131770109527756
14.0	risky	17.568458781362008	7.821367451975035	7.545874479270768	-0.27549297270426687	-0.4252051526632178	-0.1199860576612469
20.0	safe	20.0	8.357964083763546	7.857246097885011	-0.5007179858785338	-0.7957540979704475	-0.2642992675651778
20.0	risky	25.221241050119335	8.477963264123463	8.096196710080175	-0.38176655404328935	-0.5962001653777412	-0.1780123179265288
28.0	safe	28.0	9.092531469835246	8.496189330859595	-0.5963421389756504	-0.9768985791748105	-0.31611014107017776
28.0	risky	35.39642857142858	9.062616171956977	8.589238017881026	-0.4733781540759518	-0.784288655029888	-0.2154853276818877
