term	scale	hi_x	p_larger_at_7	e7	ehi
perceptual	absolute	28	0.9566666666666667	0.4433108908281221	0.024060517601055674
perceptual	absolute	56	0.98075	0.4433108908281221	-0.14804519089561993
perceptual	absolute	112	0.8295	0.4433108908281221	-0.2031075504084522
perceptual	relative	28	0.9751666666666666	1.712969628932557	0.01252117407484572
perceptual	relative	56	0.9819166666666667	1.712969628932557	-0.04049022395615848
perceptual	relative	112	0.9760833333333333	1.712969628932557	-0.026400299228559115
memory	absolute	28	0.18708333333333332	-0.07684212734185628	0.027217999694715778
memory	absolute	56	0.5243333333333333	-0.07684212734185628	-0.0838568028063979
memory	absolute	112	0.711	-0.07684212734185628	-0.33485838179507404
memory	relative	28	0.18775	-0.07303199931471804	0.01914031599193362
memory	relative	56	0.37033333333333335	-0.07303199931471804	-0.04051062879801745
memory	relative	112	0.5828333333333333	-0.07303199931471804	-0.10654783226351852
