term	payoff	delta	lo	hi	p_increase
n1_evidence_sd	7	-0.1381627515016752	-0.5619190608743765	0.2688722804311523	0.2519
n1_evidence_sd	10	0.045444864017385816	-0.28825227268594	0.3492554886724814	0.62335
n1_evidence_sd	14	0.17418122623020044	-0.2230323453149716	0.5226479175623772	0.83415
n1_evidence_sd	20	0.1632714458315152	-0.17864467320551972	0.46462739604434294	0.84835
n1_evidence_sd	28	0.08847056542851332	-0.19528938232899354	0.3490281133205367	0.75115
n1_evidence_sd	56	-0.13539091347553128	-0.5006058411762715	0.19485544348842387	0.22355
n1_evidence_sd	112	-0.45957214373829036	-1.783448868185987	0.6546654775890847	0.2182
n2_evidence_sd	7	0.40117361464464985	0.009463215505010744	0.8561019671316283	0.97695
n2_evidence_sd	10	0.38804315916473275	0.07438364796741057	0.7379845400372546	0.99365
n2_evidence_sd	14	0.27252864668653676	-0.022356747604264503	0.6182365339168571	0.9643
n2_evidence_sd	20	0.14270195199902264	-0.11147392053370994	0.43408694235133277	0.8586
n2_evidence_sd	28	0.023664192377019316	-0.19448784435076058	0.24827689328466165	0.58205
n2_evidence_sd	56	-0.1367649909970206	-0.4794401414136624	0.17085504196005827	0.19855
n2_evidence_sd	112	-0.182927717108516	-1.489522114871904	1.1243544237418828	0.384
