param	regressor	mean	lo	hi
memory_noise_sd_spline1	Intercept	0.6310494499433539	0.44432337612082107	0.860135667931043
memory_noise_sd_spline2	Intercept	0.014518327501900227	-0.1434017947929595	0.18496985120038714
perceptual_noise_sd_spline1	Intercept	-1.9773063111796099	-2.150648268240131	-1.8111074859803282
perceptual_noise_sd_spline2	Intercept	-1.3230277940872441	-1.510307924748646	-1.1317228278077343
risky_prior_mu	Intercept	2.866502259938633	2.6519869599216355	3.0850252111532974
risky_prior_sd	Intercept	-0.8080664569167301	-1.1117371239523286	-0.48078702131278944
safe_prior_mu	Intercept	2.231951511967228	1.8930651824218203	2.568906669327488
safe_prior_sd	Intercept	-0.48327470431916225	-0.9267467792173881	0.0738608733263211
