subject	cond	b_lr	b_q	b_lr_x_q
1	ips	5.201873352139697	-1.0211425833395267	0.8129314237347861
1	vertex	8.197394284233054	1.8804989582260172	-2.577586475493777
2	ips	1.3039423855457035	-0.9825785228831866	0.8916247247378383
2	vertex	4.0515727701901385	-1.2071044202124617	1.456052993929595
3	ips	7.20570313425265	-1.1206717504744539	1.8574284739855877
3	vertex	7.591686931460481	-0.21572361681826796	0.2573532628143238
4	ips	4.332222330168482	-1.8814494978583354	2.3211313491373007
4	vertex	4.744106562084708	-1.3200300994645031	2.5197109142289364
5	ips	7.483669415053257	-3.80821088031745	5.8217491362917615
5	vertex	5.919916526649095	1.2397021378090232	-1.0799074848233094
6	ips	4.903382520577262	0.41327277547081737	-1.3106660922371243
6	vertex	3.6417298044410993	-0.651250308096021	0.23862196644721184
7	ips	0.3863790422147026	-0.04144098819770392	0.42639989700718894
7	vertex	4.14143724153496	-1.2491813391234978	2.3104090838087985
9	ips	7.005320632740515	-2.0977933054632465	2.1321812486737275
9	vertex	0.8193382167282853	0.6592336742311975	-0.5252770675496381
10	ips	3.6506550355904817	0.030481730592250938	0.472161734357213
10	vertex	3.933554792498352	1.4978093375409776	-2.6636553571165695
11	ips	8.596905324992152	0.533924094001401	-1.857320891476259
11	vertex	7.713303234192432	-0.7273752317212173	0.68319105999223
18	ips	7.869363146644094	-0.2849387053272523	0.6148507588915431
18	vertex	7.007327400189133	-1.4201590574680456	4.69050369232624
19	ips	1.3730786432252717	-5.69388294657894	4.743964723874417
19	vertex	3.1330243982922727	-1.6980019496220335	1.2988647876213406
21	ips	1.8635887510548277	-0.464813622090437	-0.02603723703419955
21	vertex	3.3432088052217765	-1.0310816747744969	1.4230419603003022
25	ips	5.884179605670666	-1.602999913372545	2.339374745379781
25	vertex	14.26970431802231	-0.16104649420859038	1.3936469958898632
26	ips	7.692060639563158	-0.014362523658234178	-0.3860427410800695
26	vertex	5.422477242935671	-0.28868857687172006	-0.7766381320077013
29	ips	1.9312965159748792	0.34062843350287053	-0.021499143913053725
29	vertex	1.4247231342029394	0.8916854685574993	-1.9914144563703247
30	ips	4.915899151799818	-2.3840643478501384	3.291089702665391
30	vertex	1.9891179431547135	0.8794421886341154	-0.7542270686333513
31	ips	4.020094479473634	-2.472147114050841	3.4968597044693652
31	vertex	3.612087468135723	0.631796433170892	-0.34155066268110745
34	ips	2.2091246807431317	1.3603016288689487	-1.4419980760298519
34	vertex	6.027828379289851	-1.5818729048451858	3.352475924720051
35	ips	4.843193952467651	-4.001330801402361	4.259339489862773
35	vertex	4.039243469169741	-2.156916918640138	2.2422174755226543
36	ips	4.876399622302156	-0.607047181169248	0.34109097041100817
36	vertex	4.497079890945572	0.3616477970044198	-0.7401026353022343
37	ips	5.797351120870866	-1.3101193356918936	3.147244869612637
37	vertex	5.546989180033674	0.30508012131134965	0.48380222684272023
45	ips	3.0666965510173454	-0.18037593527312057	0.487427762445993
45	vertex	2.645883003417164	10.240826011425519	-8.619981540946208
46	ips	3.2086338466811766	0.456067956816325	-0.4417201215408237
46	vertex	5.393802450993765	-0.07203611740709533	0.6202627752237072
47	ips	6.127893421176063	0.2841673161533204	-0.18830780306269249
47	vertex	4.541074687424065	-0.4867527366041287	1.8393975411899164
50	ips	5.280422609038134	-1.3408047904937752	0.9693885216193147
50	vertex	1.7109723431719064	0.8828771199140228	-0.6595670572159035
53	ips	3.6483845032051994	2.361070484737136	-3.1088476304343664
53	vertex	5.710180715898704	-3.438741444886619	4.079480673400598
56	ips	4.472358699863387	0.5514664421612743	-0.649104553468008
56	vertex	6.52377138757268	1.4061314097866364	-1.4798330265426745
59	ips	1.9664366975116665	-0.1278249313068233	0.28919670237607
59	vertex	2.6615636859522374	0.7822511396872488	-0.5731439151055391
62	ips	1.3915677145620242	-1.2387350440320233	1.5975360875829738
62	vertex	6.181275064870136	1.614943803833998	-3.078891073136266
63	ips	4.139510799072437	0.23642608248129218	-0.8424466373937995
63	vertex	4.347203260864029	-0.7419624440975521	0.9080358168123126
67	ips	4.2249077359342335	-2.1214058158231786	1.8503119348604058
67	vertex	4.7619675722547266	-2.23212226045188	1.8216941255650478
69	ips	4.963250549288722	0.8702156775730052	-0.8255737773842104
69	vertex	4.538893871541158	0.8559153092906637	-1.9911881878438167
72	ips	5.864067911846732	0.14771881726613809	-0.5364896592690138
72	vertex	7.6117332962911615	-0.7967749687028353	0.381418241693365
74	ips	3.2639789497777576	-1.3411580029395342	1.2617605657008208
74	vertex	6.091653853629384	-1.3692944251271582	1.5438794738562331
