subject	mu_ips	mu_vertex	sd_ips	sd_vertex	amplitude_ips	amplitude_vertex	baseline_ips	baseline_vertex
1	4.1780996	3.8222315	3.152838	3.5637395	1.8534514	2.7905651e-19	-1.847773	0.069696665
1	4.066916	2.2419844	3.6475508	3.5810645	1.8916693	6.8481997e-22	-1.878886	0.1540077
1	4.3800774	2.2433465	0.061060246	3.5860507	1.3712752	2.3813645e-21	-0.1796947	0.12203693
1	4.168628	2.25358	4.5747576	3.576643	1.3225672	3.2628462e-21	-1.3265884	0.15522505
1	6.210444	3.5626879	6.1176267	3.585757	1.6056436	1.2344948e-19	-1.4393283	0.19438756
1	1.6095501	2.9779692	0.69339925	3.570764	2.6083354e-12	4.4787255e-20	-0.027116368	0.1722276
1	4.355389	3.8323631	0.06534956	3.5485353	0.7975302	6.852336e-20	-0.011926291	0.23856507
1	10.530303	3.1791618	4.674017	3.6152792	2.2707176	2.1865171e-18	-0.8082502	0.2554125
1	5.6175737	1.8730555	0.8964634	0.13896365	1.3408153	1.7912507	-0.15290299	0.16479176
1	6.227445	2.952711	3.5050442	3.5666258	1.0737842	4.1666308e-19	-0.8357812	0.094957426
1	6.086239	2.2432287	3.1136773	3.5997338	1.047074	9.127699e-20	-0.6900038	0.1659047
1	4.3887687	2.2455933	0.04866304	3.5401974	3.4927127	2.2359675e-21	-0.22800484	0.38492373
1	3.5921185	2.8911242	0.74037933	3.5769439	0.37658316	1.4621062e-19	-0.3473969	0.046935976
1	4.385277	2.2396123	0.04338926	3.6021276	2.6130931	1.3810076e-20	-0.10117659	0.21392111
1	4.382715	2.7370842	0.03991551	3.6122627	2.759378	1.3907365e-18	-0.17918555	0.41245002
1	4.3519883	3.6181395	0.6446117	3.5801396	1.0245699e-17	3.2028631e-21	-0.044908706	0.15453109
1	4.3722396	2.265533	0.039167736	3.5943637	2.4103203	7.272716e-19	-0.18312368	0.28681964
1	4.3481584	3.05139	0.063292295	3.5483925	0.9219476	1.7099231e-19	-0.063189805	0.22926451
1	6.434868	2.793284	5.1887403	3.5970018	1.3898921	5.494448e-19	-1.2015762	0.19060011
1	4.363095	1.8986081	0.061966658	0.075955644	2.0702894	1.5699508	-0.07040651	-0.048480444
1	4.383902	1.3143418	0.0481096	3.5712621	2.3111908	6.0875756e-20	-0.10646067	0.123019464
1	4.3517933	1.8654519	0.0861655	0.090869434	1.1359997	1.6470475	-0.14575414	0.15406689
1	4.3752527	1.8608361	0.06592679	0.09444442	2.6956549	1.9120758	-0.14535561	0.3297141
1	1.8138648	1.8651814	0.11635501	0.083843306	2.1136925	2.953576	-0.16969797	0.55118555
1	4.3769455	2.2407165	0.056882184	3.543044	2.5702422	3.0424313e-22	-0.09781661	0.417716
1	1.9413716	1.939086	0.015551831	0.06911485	1.0606576	1.8452522	-0.07945729	0.57490087
1	4.3839726	2.2384598	0.040655173	3.5720153	2.376369	2.0374166e-22	0.018780796	0.3411833
1	1.8836288	1.9747458	0.08477876	0.062680796	1.0928023	1.8252909	0.035520975	0.4921832
1	1.488151	1.9219729	0.66809684	0.043039728	0.91422665	1.8056004	0.14569245	0.34659198
1	1.609438	2.2389102	0.6931472	3.582021	1.388828e-14	2.46853e-22	0.102772236	0.31230277
1	1.9163923	2.2394178	0.07320413	3.5852137	0.25790125	2.028414e-21	0.049926165	0.45703346
1	1.7494982	1.8985652	0.13099414	0.06323509	1.0647376	1.5781199	0.02017642	0.24679835
1	1.9015499	1.924994	0.08770207	0.06654014	0.55088717	1.3281856	0.055751517	0.24534975
1	1.8620842	1.9012765	0.12326135	0.07602087	1.080952	1.717162	-0.22509195	0.10126441
1	1.8772129	1.8903147	0.08295123	0.07885161	0.25585783	1.034536	0.11480577	0.021540187
1	4.320701	1.8931221	0.041020297	0.07574252	1.5525733	1.1297671	0.04000576	0.0012562207
1	4.294726	1.9035534	0.04494143	0.08114949	2.1696901	1.2070252	0.10904995	-0.085549004
1	4.3246145	1.9164195	0.075018324	0.06583776	1.1743664	1.0130112	0.08359693	0.02940847
1	1.8192551	1.9532149	0.14680876	0.023014762	0.82651913	1.0613171	0.12937899	0.06706253
1	5.6192207	1.8188771	1.2556595	0.14659825	0.5051337	0.9351987	-0.12584539	0.13987485
1	1.7163218	1.9092032	0.8209279	0.0786134	0.49339738	1.0006628	0.18795763	0.26320758
1	3.2270465	1.934264	0.32471514	0.04654977	0.1540247	0.45029223	0.054322794	0.2701022
1	4.31736	1.8795065	0.06752496	0.08073333	0.99015677	1.1788422	0.14505395	0.11537232
1	4.7977424	1.919727	0.59387726	0.04613904	0.5738358	1.6812075	0.23626709	0.0133220535
1	4.2730885	1.8939399	0.03853165	0.07525819	2.1854196	1.1841699	0.30895206	0.112476975
