order	stake_bin	stim	mean	lo	hi	observed	stake
Risky first	0	ips	0.5677685958593964	0.5312338412238898	0.603336118498436	0.5701588578014938	12.667230248654299
Risky first	0	vertex	0.5422395970988076	0.5046402857793835	0.5815777973071206	0.5583628985884624	12.667230248654299
Risky first	1	ips	0.5454684042356974	0.5118560443316083	0.5826050841389186	0.5165086959823803	23.082450358562475
Risky first	1	vertex	0.5220187082488498	0.48651248250496365	0.5579592722256367	0.5254879878586203	23.082450358562475
Risky first	2	ips	0.5128834700387331	0.48012123110807325	0.5495210944026733	0.5142750816435027	42.217878391198916
Risky first	2	vertex	0.4846867801187461	0.4511047896032416	0.5218112694838701	0.4978310750137376	42.217878391198916
Risky second	0	ips	0.5418463477416485	0.5050128622421856	0.5747660954333886	0.5539721598368215	12.667230248654299
Risky second	0	vertex	0.5129463162777073	0.47293339680369756	0.5506124673154748	0.4940239125953411	12.667230248654299
Risky second	1	ips	0.632669353802127	0.595477793350195	0.6681914604757374	0.6600632980464913	23.082450358562475
Risky second	1	vertex	0.6020137350953141	0.5653239348370926	0.6400994911521227	0.5987324371534898	23.082450358562475
Risky second	2	ips	0.636014679284792	0.5994172986579002	0.6756472403953606	0.6336926732415454	42.217878391198916
Risky second	2	vertex	0.606961266803372	0.5698591364775575	0.6426376357560568	0.5966871724766462	42.217878391198916
