n_safe	bin	stimulation_condition	mean	sem	frac	source
7.0	20%	ips	0.34047619047619043	0.06449287091474683	1.5450097847358122	observed
7.0	20%	vertex	0.19285714285714287	0.05431556012809599	1.5450097847358122	observed
7.0	32%	ips	0.5075757575757576	0.0773042864846915	1.7802197802197803	observed
7.0	32%	vertex	0.24242424242424243	0.06104833886850833	1.7802197802197803	observed
7.0	44%	ips	0.6722222222222223	0.07301364195444356	2.046082949308756	observed
7.0	44%	vertex	0.5583333333333333	0.06530579410201685	2.046082949308756	observed
7.0	56%	ips	0.6470588235294118	0.06430560033019014	2.3740601503759398	observed
7.0	56%	vertex	0.6862745098039216	0.06740702460316947	2.3740601503759398	observed
7.0	68%	ips	0.85	0.05440376930822467	2.71900826446281	observed
7.0	68%	vertex	0.8166666666666667	0.050760499923566765	2.71900826446281	observed
7.0	80%	ips	0.8823529411764706	0.04252934149889536	3.176470588235294	observed
7.0	80%	vertex	0.8676470588235294	0.04381955143509752	3.176470588235294	observed
10.0	20%	ips	0.24285714285714285	0.05565284265478471	1.5609271523178807	observed
10.0	20%	vertex	0.32142857142857145	0.06918753331277509	1.5609271523178807	observed
10.0	32%	ips	0.3515625	0.06434707642900085	1.784848484848485	observed
10.0	32%	vertex	0.3359375	0.0669855836906646	1.784848484848485	observed
10.0	44%	ips	0.5931372549019608	0.06829240853496853	2.0860759493670886	observed
10.0	44%	vertex	0.5392156862745098	0.06403326199547492	2.0860759493670886	observed
10.0	56%	ips	0.75	0.05560034037182116	2.4212121212121214	observed
10.0	56%	vertex	0.6370967741935484	0.06940483319352392	2.4212121212121214	observed
10.0	68%	ips	0.7758620689655172	0.05864965960488008	2.755652173913043	observed
10.0	68%	vertex	0.7666666666666667	0.052156557722015766	2.755652173913043	observed
10.0	80%	ips	0.8714285714285714	0.042716857234080106	3.1799999999999997	observed
10.0	80%	vertex	0.8571428571428571	0.043826570791278316	3.1799999999999997	observed
14.0	20%	ips	0.37142857142857144	0.0659222139746393	1.5694305694305692	observed
14.0	20%	vertex	0.30714285714285716	0.06488978558840738	1.5694305694305692	observed
14.0	32%	ips	0.5098039215686274	0.06774644588767281	1.8029556650246306	observed
14.0	32%	vertex	0.35294117647058826	0.0607418919301348	1.8029556650246306	observed
14.0	44%	ips	0.6911764705882353	0.05976299701404073	2.0678314491264134	observed
14.0	44%	vertex	0.5588235294117647	0.06596569721912061	2.0678314491264134	observed
14.0	56%	ips	0.7272727272727273	0.05258880067013189	2.4020408163265308	observed
14.0	56%	vertex	0.7348484848484849	0.05323283834301211	2.4020408163265308	observed
14.0	68%	ips	0.8333333333333334	0.05179846337567176	2.7153762268266086	observed
14.0	68%	vertex	0.7727272727272727	0.057943403563554374	2.7153762268266086	observed
14.0	80%	ips	0.8857142857142857	0.04143291776679344	3.1973278520041113	observed
14.0	80%	vertex	0.8285714285714286	0.04557225836287815	3.1973278520041113	observed
20.0	20%	ips	0.37142857142857144	0.05554488359549829	1.5763888888888888	observed
20.0	20%	vertex	0.2857142857142857	0.06886143157605337	1.5763888888888888	observed
20.0	32%	ips	0.5882352941176471	0.0614391726902463	1.8022222222222224	observed
20.0	32%	vertex	0.5	0.05585185395327379	1.8022222222222224	observed
20.0	44%	ips	0.55	0.06936082734330595	2.058333333333333	observed
20.0	44%	vertex	0.6214285714285714	0.06512062867103943	2.058333333333333	observed
20.0	56%	ips	0.6893939393939394	0.05221230587912963	2.432857142857143	observed
20.0	56%	vertex	0.5984848484848485	0.07374213005277191	2.432857142857143	observed
20.0	68%	ips	0.7121212121212122	0.0616621992276504	2.7192592592592595	observed
20.0	68%	vertex	0.6590909090909091	0.06690727929036247	2.7192592592592595	observed
20.0	80%	ips	0.8142857142857143	0.05056701305321137	3.192857142857143	observed
20.0	80%	vertex	0.7714285714285715	0.0626543711810376	3.192857142857143	observed
28.0	20%	ips	0.35714285714285715	0.060012003601200424	1.579591836734694	observed
28.0	20%	vertex	0.3	0.06546536707079771	1.579591836734694	observed
28.0	32%	ips	0.45714285714285713	0.0691224360426178	1.8020408163265305	observed
28.0	32%	vertex	0.32857142857142857	0.06780736785670316	1.8020408163265305	observed
28.0	44%	ips	0.5285714285714286	0.07083789383431126	2.083011583011583	observed
28.0	44%	vertex	0.45714285714285713	0.06275009984065369	2.083011583011583	observed
28.0	56%	ips	0.5909090909090909	0.07035672583714662	2.408613445378151	observed
28.0	56%	vertex	0.6515151515151515	0.07045861832476619	2.408613445378151	observed
28.0	68%	ips	0.7549019607843137	0.06021816731411363	2.7570385818561003	observed
28.0	68%	vertex	0.7352941176470589	0.06753652909259406	2.7570385818561003	observed
28.0	80%	ips	0.7571428571428571	0.05174041774407443	3.1921891058581706	observed
28.0	80%	vertex	0.7428571428571429	0.06275009984065368	3.1921891058581706	observed
