order	n_safe	ratio	p_vertex	cause	leverage	effect	noise_vertex	noise_ips	ratio_vertex	ratio_ips	ev_risky_vertex	ev_risky_ips	ev_safe_vertex	ev_safe_ips
Risky first	7.0	1.0	0.05337815439724317	1.053824424361033	0.11672861083184163	0.03891092518046111	0.7776389347699125	0.7959421778498837	0.7416351928362052	0.7815532801764976	4.242194375168039	4.35301669493949	5.7546639304170935	5.599481000489297
Risky first	8.4	1.0	0.05695817256412182	1.041120584752821	0.12405375177854093	0.031566720957091954	0.8008590351056447	0.8076725771616786	0.7649206185184525	0.7963746016414208	4.791701083462191	4.827255541301614	6.305670300572531	6.093563599949617
Risky first	9.8	1.0	0.059360529421166854	1.0318430969588428	0.1287197482883865	0.024463346405732438	0.8119628748083864	0.8104717315588225	0.7804496081833971	0.8053015407282719	5.239803169319802	5.213064413867547	6.759482445809523	6.505874540683515
Risky first	11.2	1.0	0.059336273115188035	1.0256390413852043	0.1291144256119247	0.01835445960232754	0.8139264125179689	0.8068422795515529	0.7899889253094227	0.810243484059284	5.6004771334458345	5.52629797450914	7.138937323248043	6.853263977703774
Risky first	12.6	1.0	0.057436607309066356	1.0216987756314255	0.12639183243897578	0.013623634757062367	0.810020997967758	0.7991880282486645	0.7956101039873973	0.812873869123915	5.89431164975914	5.784614204617552	7.462801131037189	7.150015657601695
Risky first	14.0	1.0	0.05470195198860954	1.0192480268981179	0.12219125986601682	0.010171219953816688	0.80282269240647	0.7893207780971505	0.7989777571064499	0.8143565024662327	6.14024570486634	6.00291594198842	7.744569184056506	7.407017398613181
Risky first	15.399999999999999	1.0	0.05184250832842865	1.017718308039511	0.11767177648151428	0.007758850698251635	0.793993536738556	0.778407914699615	0.8012037136066763	0.8153996878067594	6.352638637449961	6.1922159100938785	7.993473962102142	7.632165124426425
Risky first	16.799999999999997	1.0	0.04917882254372815	1.0167372086080317	0.11344910331691886	0.006158883285837656	0.7844888223400359	0.7671305035040946	0.8029592507645269	0.8163985472483217	6.54149589380342	6.360199988434983	8.215939805839866	7.831199596929748
Risky first	18.2	1.0	0.04681739138331405	1.0160747256325644	0.10978461284988969	0.005180366385880111	0.7748168769081009	0.7558592739678489	0.8046197988957896	0.8175538414015685	6.7134948332233115	6.512105070077037	8.416617019687173	8.008415150573128
Risky first	19.6	1.0	0.044789264791106356	1.0155965462361085	0.10676835610885205	0.004666250813391823	0.7652241470262077	0.7447803493015521	0.8063718273297477	0.8189484428181915	6.87288663562765	6.651418663906899	8.598958277709656	8.167107129561987
Risky first	21.0	1.0	0.04311007213289202	1.0152327660115283	0.10442097888318405	0.0044889927923572395	0.755806358487007	0.7339718122394192	0.8082796179133442	0.8205919522049058	7.022114386607375	6.780348880799735	8.76549824604025	8.309817008675457
Risky first	22.4	1.0	0.041788725125374314	1.014958636323775	0.10272376690054093	0.004547786304163699	0.7465708380555639	0.7234473518807808	0.8103244322795798	0.8224457807663195	7.162202133278587	6.9001243150651	8.917971745408634	8.43845946254776
