term	spline	regressor	mean	lo	hi	p_gt0
n1_evidence_sd	1	Intercept	1.1315742593773166	0.7563371309423148	1.5605850336400464	1.0
n1_evidence_sd	1	stimulation_condition[T.vertex]	-0.39488201319069355	-0.6942117581704775	-0.12443971570814553	0.00305
n1_evidence_sd	2	Intercept	2.2091899049133352	1.892221333697233	2.540389380708344	1.0
n1_evidence_sd	2	stimulation_condition[T.vertex]	-0.24022115158779583	-0.43349832672120403	-0.06325848156927488	0.00435
n1_evidence_sd	3	Intercept	4.579841074565913	4.158393791450331	5.031537483120939	1.0
n1_evidence_sd	3	stimulation_condition[T.vertex]	-0.39607307108699136	-0.7761343616018695	-0.022342356817490867	0.01795
n1_evidence_sd	4	Intercept	4.795913197088951	4.213736036352182	5.400910034413782	1.0
n1_evidence_sd	4	stimulation_condition[T.vertex]	-0.1656447841288239	-0.6800761360266734	0.35259024627599433	0.2623
n1_evidence_sd	5	Intercept	5.67806943748253	5.130035781945399	6.2462134872200945	1.0
n1_evidence_sd	5	stimulation_condition[T.vertex]	-0.2746444048896565	-0.7393429310731687	0.2089289378617083	0.131
n2_evidence_sd	1	Intercept	1.4774287463341502	1.0274662503605099	2.0068281446769576	1.0
n2_evidence_sd	1	stimulation_condition[T.vertex]	-0.24880741789839075	-0.5667937542242257	0.05132846251277886	0.0503
n2_evidence_sd	2	Intercept	2.021274227677167	1.754862076701931	2.3020904020851702	1.0
n2_evidence_sd	2	stimulation_condition[T.vertex]	-0.1584303366496819	-0.33480612828536294	0.01309942009345885	0.0352
n2_evidence_sd	3	Intercept	4.446252300240383	4.024834483215353	4.897746955477287	1.0
n2_evidence_sd	3	stimulation_condition[T.vertex]	-0.2869678001621733	-0.6486117389092396	0.06670704247030644	0.05355
n2_evidence_sd	4	Intercept	5.015920605975952	4.446502165394937	5.616885106651901	1.0
n2_evidence_sd	4	stimulation_condition[T.vertex]	-0.5215192137955664	-1.0370583708121885	-0.015000823194569045	0.0213
n2_evidence_sd	5	Intercept	5.6791931842448236	5.1183423525946194	6.256121302474006	1.0
n2_evidence_sd	5	stimulation_condition[T.vertex]	-0.33238508647460363	-0.790802902650754	0.14267362292023142	0.08165
