subject	term	payoff	d_nu	lo	hi	p_pos
1	perceptual	7.0	0.2935975079527132	-0.10900436989650317	0.8337724784349511	0.92265
2	perceptual	7.0	0.12027811826174056	-0.2871903619781091	0.5871536516607427	0.714
3	perceptual	7.0	0.1826496328449396	-0.24881514546841385	0.6710141436803148	0.811
4	perceptual	7.0	-0.03181032613691201	-0.5049623895318542	0.46030813943343585	0.4289
5	perceptual	7.0	-0.0966396468526714	-0.6576425952217096	0.40198065574149383	0.36365
6	perceptual	7.0	0.32643374956131227	-0.09215443865396963	0.8563470560024806	0.9409
7	perceptual	7.0	0.16987594822460436	-0.213934760082413	0.6149830101272468	0.81155
9	perceptual	7.0	0.406296979404917	-0.010709195381519496	0.9922588860740126	0.97165
10	perceptual	7.0	0.29157348634607566	-0.11840582686890438	0.7889376556542271	0.9177
11	perceptual	7.0	-0.09013941699063316	-0.6389741612320721	0.3892732878267613	0.3636
18	perceptual	7.0	0.28944633322785146	-0.051655299598207485	0.7595019414849392	0.94655
19	perceptual	7.0	0.19842438157438214	-0.26523901570903496	0.6962347198880776	0.82455
21	perceptual	7.0	0.3242849097531877	-0.07393786979507262	0.8251774633904255	0.9433
25	perceptual	7.0	0.07958831319936059	-0.32670604067363473	0.5535896749326342	0.6438
26	perceptual	7.0	0.19689369776237142	-0.19539291758966726	0.6573140147215176	0.84455
29	perceptual	7.0	0.43502837817988227	0.0574349610305612	0.9545822377705816	0.9898
30	perceptual	7.0	0.3031998174608264	-0.06218217069599557	0.7963962197383634	0.94525
31	perceptual	7.0	0.1811603807626881	-0.2005915678816396	0.6373949411337148	0.8268
34	perceptual	7.0	0.31857357368742173	-0.08719041286800612	0.8263441663971021	0.9403
35	perceptual	7.0	0.16333577100598154	-0.26368633518579226	0.7080962186383333	0.81625
36	perceptual	7.0	-0.0749236604894506	-0.5664335503229251	0.4135048756642852	0.3636
37	perceptual	7.0	0.040964125424698974	-0.4470530684410877	0.5016121697758291	0.58585
