lo	hi	p_perceptual	p_memory
7	14	0.9202	0.8184
7	20	0.9114	0.76515
7	28	0.90955	0.73815
10	30	0.9598	0.8084
28	112	0.8342	0.0289
7	112	0.78045	0.021
