subject	d_amp_mean	d_amp_median	d_amp_rel_mean	d_amp_rel_median	d_amp_low	d_amp_high	d_amp_rel_low	d_amp_rel_high	d_amp_lowminushigh	d_amp_rel_lowminushigh	d_amp_w7	d_amp_rel_w7	d_amp_w10	d_amp_rel_w10	d_amp_w14	d_amp_rel_w14	d_amp_w20	d_amp_rel_w20	d_amp_w28	d_amp_rel_w28	d_amp_wslope	d_amp_rel_wslope	n_voxels	pref_n_median	d_r_En1	d_log_abs_err	d_post_spread	d_log_abs_err_low	d_log_abs_err_high	d_post_spread_low	d_post_spread_high	d_log_abs_err_lowminushigh	d_post_spread_lowminushigh	d_p_risky	d_p_risky_rfirst	d_p_risky_rsecond	d_p_risky_lowsafe	d_p_risky_highsafe	d_consistency	d_indifference	d_consistency_rfirst	d_indifference_rfirst	d_consistency_rsecond	d_indifference_rsecond	d_p_risky_orderdiff	d_consistency_orderdiff	d_indifference_orderdiff	dnu_flexible2nf_slope	dnu_flexible2nf_7	dnu_flexible2nf_10	dnu_flexible2nf_14	dnu_flexible2nf_20	dnu_flexible2nf_28	dnu_flexible1nf_slope	dnu_flexible1nf_7	dnu_flexible1nf_10	dnu_flexible1nf_14	dnu_flexible1nf_20	dnu_flexible1nf_28
1	-0.6462899352054794	-0.4486303999999999	-0.4860020483211388	-0.45763304267244	-0.461607185		-0.451101889787909				-0.5390591982295665	-0.5138608704145999	-0.481115234497821	-0.3367787483404615	-0.2195065252945399	-0.2275460367089697	-0.1634670914834879	-0.2386223576569254	-0.1412813321671377	-0.2439135917759378	-0.3977778660624288	-0.2699472786386621	73	7.1206975	-0.0532441995970164	-0.028756571567156053	-1.3405461379508985	-0.09342438040544732	0.040371086156534786	-0.9479041239609494	-1.760266911526351	-0.1337954665619821	0.8123627875654016	0.09558823529411764	0.08333333333333337	0.10734463276836159	0.1598200312989046	0.0	-0.0361212860225244	-0.08954489328573678	1.6616099971085712	-0.07200582238834863	-1.85168453020629	-0.12310232350588712	0.02401129943502822	-3.5132945273148612	-0.051096501117538495	0.18669812440607	0.2935975079527132	0.2391995099445257	0.1795723037759109	0.1333420614779197	0.1068993835466432	0.0618440796335555	0.2772554390503853	0.2345615472890309	0.1973582302339779	0.1949838604014003	0.2154113594168298
2	-0.23529768675	-0.309947745	-1.03158313359362	-1.275708002853199							-0.2459902797975566	-1.0758819638162185	-0.2352713082952213	-1.0297496951850689	-0.2783122205692024	-1.2376823738762228	-0.3418137767998007	-1.5618028186989037	-0.3710690453436052	-1.73622719064067	0.1250787655460485	0.6603452268244514	4	8.66525575	-0.28588464739814257	-0.0005407476876746475	-0.4495406062544056	0.05860306764991852	-0.0681336795020665	-0.2530701572168077	-0.6740782622973853	0.12673674715198502	0.4210081050805776	0.0267857142857143	-0.12962962962962965	0.18103448275862066	0.06517094017094016	-0.0328014184397164	-0.5792159962038204	-0.08958257458427465	1.7060037019628278	0.24976426987361677	-2.3401877117821535	-0.8168372021004764	0.3106641123882503	-4.046191413744982	-1.066601471974093	0.1699237305352821	0.1202781182617405	0.1013937174002156	0.0617460503532516	0.0017943566907714	-0.0496456122735416	0.1010149842386218	0.1648763746786328	0.0796834617134552	0.0116171112669364	0.0165672116526682	0.0638613904400109
3	0.0535768060900799	-0.1977915000000001	0.0316496749787692	-0.1520749942916407							-0.0548726240732634	-0.0735400464819159	-0.0716990331896738	-0.0668576896905714	-0.1325279111327561	-0.1072096009163246	-0.130660122632726	-0.085295766854431	-0.1347093037686376	-0.0784096040592425	0.0798366796953741	0.0048695575773266	15	11.7131195	0.18003308603202592	0.003103084441322901	0.8877630243154755	-0.00504639910425464	0.01306356433036232	-0.36689922389970064	2.421239105467354	-0.01810996343461696	-2.7881383293670545	0.050000000000000044	-0.016666666666666607	0.11666666666666659	0.05555555555555558	0.04166666666666663	-0.9295802561016533	-0.04526218941227844	-1.82481501226557	0.0014119497078839416	-0.6956304490412455	-0.09942458409190646	0.1333333333333332	1.1291845632243245	-0.1008365337997904	-0.0515731414218236	0.1826496328449396	0.1556209835775371	0.148810805118165	0.1802674136249642	0.2342227742667632	-0.1022482508773509	0.0936575379504164	0.1094030426306135	0.1277095275085954	0.1558804232771324	0.1959057888277673
4	0.219881109047619	0.1290293599999999	0.3833919436961065	0.2566472392111927	0.1308704899999999		0.2567363196352173				0.2076681300636709	0.433846712426998	0.2060458584710446	0.4428993185792702	0.2188160455596484	0.4947245594421046	0.2194075695212964	0.4826137687005199	0.2042526443336093	0.4210871372747476	0.0034154857300616	0.0127595751522504	42	8.0153725	-0.022463866691526904	0.008751909291040194	-1.7375399572986545	-0.007201319665429029	0.026984170955576703	-2.4612303268965654	-0.9104652491867569	-0.03418549062100573	-1.5507650777098085	-0.06578947368421051	-0.08181818181818179	-0.04293785310734466	-0.02941176470588236	-0.12137681159420283	0.008701462067561394	0.10973501903830385	0.788008068654289	0.08089969959850407	-0.7201013540256205	0.04330365528086422	0.03888032871083713	-1.5081094226799094	-0.037596044317639854	-0.1151377085746605	-0.031810326136912	0.0053780238647035	0.0367826730460427	0.0564805677792077	0.0833273824377485	-0.189166383372478	0.0069097500758418	0.054175537552508	0.0982617416486162	0.1425938807428248	0.1960761334483198
5	-0.388777617755102	-0.36194206	-0.3443403068489361	-0.195288849574117	-0.4509598999999999	-0.26335176	-0.231464779077439	-0.1231062784180782	-0.1876081399999999	-0.1083585006593607	-0.3963365872453617	-0.3366224882032771	-0.3828390023133264	-0.3222564751911168	-0.3872032346605417	-0.3259501581732242	-0.3839859521068825	-0.3145759777082993	-0.3823204281260458	-0.3010277888273942	-0.0140161591193159	-0.0355946993758828	49	9.790265	-0.1822248394424181	0.08724069937703793	3.9960893544012066	0.2075644490141606	-0.0330830502600844	4.401756207849445	3.5904225009529718	0.240647499274245	0.8113337068964732	0.033333333333333326	-0.016666666666666607	0.08333333333333337	0.0	0.08333333333333337	0.5271777764017553	-0.02017966733183918	2.1597478128314753	0.4248808156478431	-0.9870074236253128	-0.12379100526338183	0.09999999999999998	-3.146755236456788	-0.5486718209112249	-0.3155104867129538	-0.0966396468526714	0.0788004437178167	0.1944639669312235	0.2213271846549881	0.2188708398602823	-0.206890185750788	-0.0102707623150199	0.0524684309509561	0.1039239793845497	0.1467584191275501	0.1966194234357681
6	-0.4942525624545454	-0.2470460999999999	-0.6058423335305406	-0.5027995673894143							-0.5511298759141108	-0.7875749953432699	-0.3165492524012431	-0.264867364707676	-0.2121220648557416	-0.1309043813407972	-0.0828680923848863	0.0099921852509161	-0.1303556823777145	-0.1068977753047197	-0.4207741935363962	-0.6806772200385501	11	7.702391	-0.1733838811613754	0.12516854738423577	1.4431929987526857	0.1360854935957283	0.11269203742824452	2.7055351173860522	0.0005162917431285052	0.023393456167483784	2.7050188256429237	0.06666666666666671	0.1	0.033333333333333326	0.08333333333333337	0.041666666666666685	0.37656704158312415	-0.13689338647891602	0.009413385906472449	-0.22573505731429755	0.6735554928030245	-0.056781303351507995	-0.06666666666666668	0.6641421068965521	0.16895375396278955	0.0857368055677256	0.3264337495613122	0.2102392119009699	0.1416421193856545	0.1686530988556114	0.2406969439935866	0.0146576926096495	0.3126338216582308	0.2608146274482086	0.2304548230622129	0.2504613188150136	0.2979761290485813
7	-0.4045414813793103	-0.2658664100000001	-0.2621202885214626	-0.2302043591876565	-0.2551597999999999		-0.2422449964488816				-0.2476267453620348	-0.1939109935354912	-0.1817387426822125	-0.0987996667352318	-0.2010179045976614	-0.0998909406462128	-0.256754850063324	-0.1250403400504026	-0.2920026740428529	-0.1350409327388759	0.044375928680818	-0.0588700607966153	58	4.51389715	-0.33316423950661767	-0.005075196855579778	-2.73336150931301	0.016110876221453463	-0.03473569916342634	-0.7352805931673778	-5.530674791916894	0.0508465753848798	4.795394198749516	0.0030884148531207245	-0.005552308591466937	0.011581920903954823	0.005511328842620955	0.0	-2.616595293031679	-0.3771315827222094	-2.3726752049836803	-0.1522214801311777	-2.801807872946353	-1.6823203936541753	0.01713422949542176	-0.4291326679626728	-1.5300989135229977	0.0910450828013691	0.1698759482246043	0.0496533827033016	-0.0251063108202602	0.0013488546430256	0.0788308654232352	0.2324095552040723	0.3236574518052064	0.1431598860149918	0.00957506414219	0.0157678831624751	0.091247896601134
9	-0.1431483661333214	0.1644409999999998	-0.2494372945204806	0.0583862668095115	-0.7862967700000001	0.2277603999999997	-1.1361360838954184	0.0979365939896027	-1.0140571699999998	-1.234072677885021	-0.0410850587947207	-0.1660548957256793	0.0624504577999292	-0.0409737196898159	0.1914479467345773	0.1088042866632933	0.1957088976346094	0.1199555064346814	0.1995480990906949	0.1303889842854798	-0.2406331578854157	-0.2964438800111592	28	26.2583195	-0.2079983465371922	0.04821403105793265	-0.00030887540866331165	0.0937367376513496	0.0026913244645152545	1.3411935593714581	-1.3418113101887812	0.09104541318683435	2.6830048695602393	0.20833333333333331	0.1333333333333333	0.2833333333333334	0.19444444444444448	0.2291666666666666	2.457146687147728	-1.001940675595629	0.02400169838133137	-0.43494036832399874	5.955416711021787	-1.38195432771909	0.15000000000000008	5.931415012640455	-0.9470139593950913	-0.0023952718182505	0.406296979404917	0.5040835174446131	0.550851230202535	0.5061363015227102	0.4086922512231675	0.1036471472469094	0.4878707403732511	0.4854015419874471	0.4638444064565369	0.4293828525744401	0.3842235931263417
10	-0.0005524172727272	-0.0575229350000003	-0.0404650491201758	-0.0222908320547911		-0.1593319599999999		-0.1411348001737295			-0.0119896492823912	-0.0353989797211773	-0.0189905589013317	-0.0465747491459651	-0.0355071699065293	-0.0995191187689239	-0.0444517262431491	-0.1338765652127517	-0.0387826124344615	-0.1224288805352076	0.0267929631520703	0.0870299008140302	22	15.63468	-0.19858813621181529	0.22205842688710098	4.8849422369531705	0.2836614476983028	0.14676584589563252	5.803783452734724	3.7619140843312753	0.1368956018026703	2.0418693684034483	0.033333333333333326	0.033333333333333326	0.033333333333333326	0.19444444444444453	-0.20833333333333326	-0.14793539311182036	-0.06409634620685417	-0.3835177051847678	-0.08187969865385641	0.04508221702209969	-0.051108364298142805	0.0	0.4285999222068675	0.03077133435571361	0.3978858254185867	0.2915734863460756	0.1025297019212125	-0.0411349832744542	-0.100990228937323	-0.106312339072511	0.1305346682640731	0.2388206680385447	0.0993893328373039	0.0192612406858758	0.0376654847808869	0.1082859997744716
11	-0.0624567959425894	-0.0759977699999999	-0.1571952966240061	-0.0920551214777606	-0.0732041999999999		-0.0912503825818884				-0.0570546111136547	-0.1435774222084872	-0.0556879805353104	-0.1457444493633552	-0.0765845178921735	-0.2103440123501192	-0.133486285802834	-0.3444699371991765	-0.1767826151388778	-0.399664466067776	0.1197280040252231	0.2560870438592887	132	9.430098	-0.16819177027739762	0.1528330263430998	4.814802595675207	0.23390791392282384	0.071758138763376	5.499917514167498	4.129687677182915	0.16214977515944784	1.3702298369845831	-0.06351540616246498	-0.1166666666666667	-0.009322033898304993	-0.1341940532081377	0.04166666666666663	0.3098790187657361	0.0674464071688442	-0.2912626655465562	0.12525965323603577	0.920336617917906	0.014918196899695257	0.1073446327683617	1.2115992834644622	-0.11034145633634052	-0.2237715607456784	-0.0901394169906331	-0.037249103702828	0.0140930386608371	0.0688942661070566	0.1336321437550452	-0.2538622280400859	-0.0952405860207527	0.0007324848983155	0.0727692919421826	0.1167004504756911	0.1586216420193333
