lo	hi	p_perceptual	p_memory
7	14	0.9575833333333333	0.18066666666666667
7	20	0.8479166666666667	0.17141666666666666
7	28	0.5944166666666667	0.14183333333333334
10	30	0.48391666666666666	0.43425
28	112	0.0405	0.017
7	112	0.03791666666666667	0.0026666666666666666
