term	scale	hi_x	p_larger_at_7	e7	ehi
perceptual	absolute	28	0.35435	0.15983373122333924	0.193492244902716
perceptual	absolute	56	0.1202	0.15983373122333924	0.3111497720825414
perceptual	absolute	112	0.34935	0.15983373122333924	0.24890429509604373
perceptual	relative	28	0.72945	0.11672015495599303	0.06885934393377204
perceptual	relative	56	0.6644	0.11672015495599303	0.08063182487667332
perceptual	relative	112	0.80345	0.11672015495599303	0.04612633684391501
memory	absolute	28	0.7521	0.07184495960959682	0.029109202289015024
memory	absolute	56	0.9381	0.07184495960959682	-0.028755041880606232
memory	absolute	112	0.7174	0.07184495960959682	-0.011714961432339036
memory	relative	28	0.7917	0.14885259466402642	0.039989807300509383
memory	relative	56	0.93	0.14885259466402642	-0.03807272837677939
memory	relative	112	0.74575	0.14885259466402642	0.004418689628195946
