model	elpd_loo	se	p_loo	bad_k	delta_best	dse_best
flexible2 (TMS perception)	-4157.529923470823	47.60104618782721	246.8536835060122	2	0.0	0.0
flexible2 (TMS both)	-4161.048898306392	47.637224220819206	269.50025973229776	5	-3.5189748355696793	4.110485969213402
power2_full	-4206.985970077593	46.31609106509418	171.41115827037174	0	-49.45604660677054	17.274593874971938
power2_exp	-4209.0272683659	46.11909057000687	162.84758988418162	0	-51.49734489507773	17.197824572977886
flexible2 (TMS memory)	-4217.548870397328	47.37922258504977	250.2530478570461	1	-60.01894692650512	12.389846922640366
flexible2 (null)	-4271.424275769227	46.81329373954022	191.59785115843988	1	-113.89435229840456	14.399020506510412
power2_null	-4293.1013360769375	45.761099986146306	128.21774541184368	0	-135.5714126061148	19.64003022854702
power2_flat_full	-4935.37690418545	36.880931897589406	104.39613749432829	31	-777.8469807146275	35.293196242744465
