term	spline	regressor	mean	lo	hi	p_gt0
memory_noise_sd	1	Intercept	-0.2413365636120149	-0.5615030266611967	-0.05768522011682868	0.00335
memory_noise_sd	2	Intercept	0.08749087483282449	-0.0008503541682609924	0.2172052633637026	0.9738
memory_noise_sd	3	Intercept	0.15012169255433078	-0.10326089057221936	0.391465641943895	0.8859
memory_noise_sd	4	Intercept	-0.08409481313574221	-0.47968860716533784	0.3145553295500083	0.33345
memory_noise_sd	5	Intercept	0.014530592897758262	-0.2850014859291727	0.34097278147339566	0.5245
perceptual_noise_sd	1	Intercept	0.8793311907594059	0.4222879596487279	1.735140417292209	1.0
perceptual_noise_sd	2	Intercept	1.6257983765882953	1.2212860566732573	2.204691309158428	1.0
perceptual_noise_sd	3	Intercept	4.212780982637377	3.6831005256592526	4.772336684394081	1.0
perceptual_noise_sd	4	Intercept	4.411774696745997	3.630019341469051	5.341737878520819	1.0
perceptual_noise_sd	5	Intercept	5.611964783034991	4.868896302087376	6.405403495720178	1.0
