order	stake_bin	stim	mean	lo	hi	stake	observed	observed_sem
Risky first	0	ips	0.5503296470741407	0.5137883491514629	0.5859315062548145	12.667230248654299	0.5701588578014938	0.037434839565611305
Risky first	0	vertex	0.5558251928522605	0.5235237498508175	0.5962370970716835	12.667230248654299	0.5583628985884624	0.03999694366946201
Risky first	1	ips	0.5392724929206133	0.5039506667100653	0.5716975908385682	23.082450358562475	0.5165086959823803	0.03184365989712946
Risky first	1	vertex	0.5415544737193123	0.506736037158085	0.5733976445442611	23.082450358562475	0.5254879878586203	0.04008110266870922
Risky first	2	ips	0.5192964988228147	0.4771252373357637	0.5609955570745044	42.217878391198916	0.5142750816435027	0.043505527983834044
Risky first	2	vertex	0.49003725445521107	0.4523896997395449	0.5316880157166535	42.217878391198916	0.4978310750137376	0.04487004462729665
Risky second	0	ips	0.5442247035337261	0.5032801131616921	0.5772788790157211	12.667230248654299	0.5539721598368215	0.03971352066548918
Risky second	0	vertex	0.5320550212110363	0.4973648515227463	0.5657982754505312	12.667230248654299	0.4940239125953411	0.03709325563501315
Risky second	1	ips	0.5997381321268539	0.5673166569658167	0.6361780678778689	23.082450358562475	0.6600632980464913	0.03391213943664826
Risky second	1	vertex	0.5941481582744741	0.5645420938710413	0.6277905749221538	23.082450358562475	0.5987324371534898	0.027772313209004338
Risky second	2	ips	0.63319483774371	0.5959995361781076	0.6761162158643362	42.217878391198916	0.6336926732415454	0.03830221367395639
Risky second	2	vertex	0.6152076972734868	0.5778623642439432	0.6490446191235665	42.217878391198916	0.5966871724766462	0.04575468210792034
