order	bin	channel	delta	lo	hi
Risky first	20%	bias_only	0.014188348374433597	-0.014274025862315704	0.03813135991983178
Risky first	32%	bias_only	0.013370950462169871	-0.016004062355321758	0.03799868818871805
Risky first	44%	bias_only	0.0107280821498862	-0.0153213222617448	0.03308541857609488
Risky first	56%	bias_only	0.004237358660880366	-0.020407460897552958	0.027004517058819056
Risky first	68%	bias_only	0.007214358111620094	-0.01722290788648801	0.03213987541249047
Risky first	80%	bias_only	0.006837038783695209	-0.01873248583728816	0.03251047115103196
Risky second	20%	bias_only	0.0741822912862686	0.044422950092518405	0.10270550210440291
Risky second	32%	bias_only	0.06996927726444505	0.04280419714983673	0.09653655150436528
Risky second	44%	bias_only	0.056115363184312504	0.027166212026688116	0.08390513995842105
Risky second	56%	bias_only	0.038787985824232825	0.013108075603269528	0.06381163835754779
Risky second	68%	bias_only	0.030958130257402672	0.005063242340059251	0.05446303206567684
Risky second	80%	bias_only	0.02223299188559856	-0.003234465996278499	0.04637380942428555
Risky first	20%	bias_risky_percept_only	-0.06340683956309431	-0.09141155197638991	-0.034782449349259496
Risky first	32%	bias_risky_percept_only	-0.08526311663095285	-0.12263952023222427	-0.04849020511216592
Risky first	44%	bias_risky_percept_only	-0.1109318097095458	-0.16853278065194013	-0.05654338023360846
Risky first	56%	bias_risky_percept_only	-0.12157594709762078	-0.18972088786553734	-0.06069826284214876
Risky first	68%	bias_risky_percept_only	-0.12405919755878418	-0.20809371529566523	-0.0454193769651744
Risky first	80%	bias_risky_percept_only	-0.11431137629409165	-0.20374900343287222	-0.03420436550973766
Risky second	20%	bias_risky_percept_only	-0.0717502937478307	-0.10475415416898867	-0.03529894676305079
Risky second	32%	bias_risky_percept_only	-0.09773643654309341	-0.14312300378770126	-0.04744618148229067
Risky second	44%	bias_risky_percept_only	-0.12795968509953734	-0.1911760093268555	-0.061956092805358465
Risky second	56%	bias_risky_percept_only	-0.13711479710672866	-0.20924767687125534	-0.06775441444305769
Risky second	68%	bias_risky_percept_only	-0.14492692751272046	-0.22993422703179284	-0.06871378594866988
Risky second	80%	bias_risky_percept_only	-0.1277927686076187	-0.2165264975338388	-0.05510026900780549
Risky first	20%	bias_safe_percept_only	0.10247390474899154	0.04252860136883693	0.16710294400044812
Risky first	32%	bias_safe_percept_only	0.12089475498527984	0.056871900898605755	0.19442051754562245
Risky first	44%	bias_safe_percept_only	0.13020546651149703	0.05997278704160881	0.20022795035793964
Risky first	56%	bias_safe_percept_only	0.12360063140851295	0.06408014354599957	0.19515083257950422
Risky first	68%	bias_safe_percept_only	0.1124510634862737	0.05475953062787209	0.16911871437506418
Risky first	80%	bias_safe_percept_only	0.09212046425900701	0.044232930093564056	0.13116334163794605
Risky second	20%	bias_safe_percept_only	0.16548730517142166	0.09976888462135902	0.23136080678288318
Risky second	32%	bias_safe_percept_only	0.17663711014325156	0.10978461559782217	0.23958000070078503
Risky second	44%	bias_safe_percept_only	0.17020689758734261	0.10500642267295536	0.23030087412500286
Risky second	56%	bias_safe_percept_only	0.14755993736194156	0.09388259633217581	0.19622927542465984
Risky second	68%	bias_safe_percept_only	0.12709494673405305	0.08127256009276186	0.1659290647975576
Risky second	80%	bias_safe_percept_only	0.09584131839835665	0.06842227062523216	0.12107601685570055
Risky first	20%	full	0.01096192787162417	-0.017718532522940707	0.03301304377592545
Risky first	32%	full	0.010972459905442015	-0.018088468889858073	0.03575684098720689
Risky first	44%	full	0.010802414415754677	-0.016156985675256204	0.034420464476011194
Risky first	56%	full	0.005479715835979908	-0.018601125884809916	0.02866305754518714
Risky first	68%	full	0.010558014307013258	-0.01352585376019365	0.03599662373152162
Risky first	80%	full	0.010776152306148907	-0.014472322427487454	0.036629265006308476
Risky second	20%	full	0.07249587103473139	0.04414516951066536	0.10219558701530426
Risky second	32%	full	0.06994569485940022	0.040636334698091345	0.09837234065567604
Risky second	44%	full	0.058914389343444	0.029026230086279237	0.0853892967596855
Risky second	56%	full	0.04219408769133981	0.016628165544406787	0.0663329422833018
Risky second	68%	full	0.036027998830341926	0.009245615518492446	0.05973447438278637
Risky second	80%	full	0.027241473953254762	0.0035304111210090927	0.05234534766952917
Risky first	20%	noise_only	-0.0032083109263445412	-0.006975355754555031	-0.00012902353319061132
Risky first	32%	noise_only	-0.0029000027757034607	-0.005865009311282471	-0.0005819715120954867
Risky first	44%	noise_only	-0.0009840596747537002	-0.002732004923905843	0.00041698653324515555
Risky first	56%	noise_only	0.000123730133401063	-0.0019417917235640902	0.0020315886900141413
Risky first	68%	noise_only	0.0018934562048565997	-0.0010014004239120508	0.00550944870483543
Risky first	80%	noise_only	0.002782123028712909	-0.00047327118963090493	0.007154566889037311
Risky second	20%	noise_only	-0.0031809108843085764	-0.006455497798094876	0.0005709551730187103
Risky second	32%	noise_only	-0.0017787865321034432	-0.004357532856935725	0.0008771391905718517
Risky second	44%	noise_only	0.0013764160593726065	-0.00031073049338955594	0.00301297843284311
Risky second	56%	noise_only	0.0026404477821901228	-3.288853886652596e-05	0.005030302766367777
Risky second	68%	noise_only	0.0041088273875298014	-0.00021229929722074047	0.008248690211004337
Risky second	80%	noise_only	0.003924454899963885	-2.8795533856891177e-05	0.00784158600390085
