stimulation_condition	risky_first	bin	median	lo	hi	model	agg	ratio
ips	False	0	0.30780248594568305	0.24918223387288338	0.39970871933217955	flexible2_tmsboth	by_stim	1.2894442090905116
ips	False	1	0.5139906264986334	0.4538856861558901	0.598027247801722	flexible2_tmsboth	by_stim	1.6506585414473256
ips	False	2	0.6218931930138827	0.5689810668258943	0.6669204358859532	flexible2_tmsboth	by_stim	1.9642084587509023
ips	False	3	0.7010607224316902	0.6499220313736443	0.742035563003305	flexible2_tmsboth	by_stim	2.32629424098063
ips	False	4	0.7582573180787466	0.7150690579262008	0.7984423314780458	flexible2_tmsboth	by_stim	2.8132953338672264
ips	False	5	0.765343315184513	0.7223203122749403	0.8250906000633769	flexible2_tmsboth	by_stim	3.586722993546796
ips	True	0	0.2525962208289795	0.17927528273587387	0.3100029588637963	flexible2_tmsboth	by_stim	1.2894442090905116
ips	True	1	0.4237523013385082	0.363327859879584	0.4951883365676469	flexible2_tmsboth	by_stim	1.6506585414473256
ips	True	2	0.5276340996168583	0.48978516694033936	0.5807676518883416	flexible2_tmsboth	by_stim	1.9642084587509023
ips	True	3	0.6161625402849311	0.5717395560374687	0.6607346164272161	flexible2_tmsboth	by_stim	2.32629424098063
ips	True	4	0.6990395021645022	0.6434253246753247	0.742550505050505	flexible2_tmsboth	by_stim	2.8132953338672264
ips	True	5	0.700900669593784	0.6510281840631308	0.745202822110154	flexible2_tmsboth	by_stim	3.586722993546796
vertex	False	0	0.2417121212121212	0.18058333333333335	0.2999570707070707	flexible2_tmsboth	by_stim	1.2894442090905116
vertex	False	1	0.4179045092838196	0.3625257883878573	0.47369584438549955	flexible2_tmsboth	by_stim	1.6506585414473256
vertex	False	2	0.5400090809573568	0.49739824351893314	0.5971985868537593	flexible2_tmsboth	by_stim	1.9642084587509023
vertex	False	3	0.6486701918153531	0.6056156209382016	0.6990005514199062	flexible2_tmsboth	by_stim	2.32629424098063
vertex	False	4	0.7296652752009896	0.6804499072356215	0.775453514739229	flexible2_tmsboth	by_stim	2.8132953338672264
vertex	False	5	0.7404723014432633	0.6922657217757037	0.7804548728142194	flexible2_tmsboth	by_stim	3.586722993546796
vertex	True	0	0.2526161616161616	0.18749910873440284	0.3041625074272133	flexible2_tmsboth	by_stim	1.2894442090905116
vertex	True	1	0.4041363730098117	0.34832504363837774	0.4585873620703342	flexible2_tmsboth	by_stim	1.6506585414473256
vertex	True	2	0.5142116982634224	0.4626635816290989	0.5552041349455143	flexible2_tmsboth	by_stim	1.9642084587509023
vertex	True	3	0.5965107920753081	0.5573634251053606	0.6450450982709047	flexible2_tmsboth	by_stim	2.32629424098063
vertex	True	4	0.6876790867862297	0.6352891156462585	0.737137961245104	flexible2_tmsboth	by_stim	2.8132953338672264
vertex	True	5	0.6851209857926894	0.6408785000051868	0.7417331848021109	flexible2_tmsboth	by_stim	3.586722993546796
	False	0	0.27316041561531257	0.236421445822219	0.3208750670864073	flexible2_tmsboth	pooled	1.2894442090905116
	False	1	0.4673808590711014	0.42135925491855886	0.5099923998637568	flexible2_tmsboth	pooled	1.6506585414473256
	False	2	0.5793467849408629	0.5499564205992242	0.6188520323171748	flexible2_tmsboth	pooled	1.9642084587509023
	False	3	0.6728080356942061	0.6430725111841572	0.7086638565906086	flexible2_tmsboth	pooled	2.32629424098063
	False	4	0.7422144582470669	0.710018272790012	0.770649585921325	flexible2_tmsboth	pooled	2.8132953338672264
	False	5	0.7526282300579034	0.7186265952236914	0.7865577737447066	flexible2_tmsboth	pooled	3.586722993546796
	True	0	0.25271456601184517	0.21175362568594056	0.2938355921261809	flexible2_tmsboth	pooled	1.2894442090905116
	True	1	0.4151786747817199	0.36954360596379443	0.4588575912154174	flexible2_tmsboth	pooled	1.6506585414473256
	True	2	0.5195213131216347	0.4835074395759514	0.5585194871236061	flexible2_tmsboth	pooled	1.9642084587509023
	True	3	0.6062723826641621	0.5743471394485963	0.642389180942771	flexible2_tmsboth	pooled	2.32629424098063
	True	4	0.692658235404946	0.6568655722932039	0.7252782487979857	flexible2_tmsboth	pooled	2.8132953338672264
	True	5	0.6939343781327537	0.6542385541884062	0.7242419534598685	flexible2_tmsboth	pooled	3.586722993546796
