subject	dp_first	dp_second	dslope_first	dslope_second
1	0.08333333333333333	0.10701754385964912	0.2520868810491488	-0.40396183483781023
2	-0.13680033416875523	0.18496240601503758	0.2733425361553856	-0.4725177438585816
3	-0.016666666666666646	0.11666666666666668	-0.16589570414819943	-0.19184545169171985
4	-0.08304093567251461	-0.03784461152882205	0.10843957981548186	-0.10854830535910587
5	-0.01666666666666668	0.0833333333333333	0.2896857891640299	-0.31035245305928905
6	0.09999999999999999	0.033333333333333326	0.10587236026890223	0.07170832700122098
7	-0.002631578947368448	0.01257309941520468	-0.3896151855817391	-0.5571511326947622
9	0.13333333333333333	0.2833333333333333	0.11852825719983268	1.0958247202681513
10	0.03333333333333329	0.033333333333333326	-0.11734396035301309	-0.031997810566659624
11	-0.11695906432748537	-0.007894736842105269	0.10323209063953542	0.09592909905191371
18	-0.06274018379281533	0.10019165560961224	-0.8436408205955972	-0.0027494202299713777
19	0.04736842105263159	-0.11537176274018379	-0.6441662561265561	-0.5150532803118877
21	0.10252525252525253	0.06616161616161619	-0.1876967685008547	-0.20911947983343698
25	-0.20555555555555557	0.14711779448621554	-0.3536557543784975	-1.035526318222124
26	0.01666666666666668	0.16666666666666666	-0.14294551538040423	0.0065737968496070165
29	0.25775401069518716	0.2861457714398891	0.10529499754841715	0.07398859876299702
30	0.31666666666666665	0.17192982456140352	-0.3674621713837014	-0.13413713959007828
31	0.04999999999999997	0.1403091060985798	0.8225382580158601	-0.23737344960555595
34	-0.016666666666666673	0.09999999999999998	-0.7915782196344883	-0.4751265691164562
35	-0.14736842105263157	-0.16666666666666663	-0.5317534673158133	0.08133910578645698
36	-0.04999999999999997	-3.700743415417188e-17	0.6162664617578579	0.03549728265474483
37	0.0	-0.08333333333333336	-0.33007406929801886	0.04607691759645105
45	-0.34970760233918136	-0.3639515455304929	0.7754073808120718	0.47236781604940603
46	0.11367597544068131	0.01966152755626434	-0.2978427621627714	-0.2720062782063728
47	0.0025898078529657345	-0.06403508771929822	0.2989522265307133	0.23623950407661887
50	-0.3	-0.09999999999999998	0.8215366770306285	0.9717444703501439
53	0.10154553049289894	-0.00877192982456143	0.12260485563474455	-0.05268126253011396
56	-0.13333333333333336	-0.007017543859649145	0.3741544824704245	-0.2843615348000248
59	-0.046365914786967395	-0.014912280701754396	0.02324295106475638	-0.05932285177787805
62	0.08651776500073712	0.1857142857142857	-0.31363539845519695	-0.7912354859634775
63	-0.09865841073271414	0.1474658869395711	-0.5875280226857008	-0.21535202171790235
67	0.31512746512746515	0.29612794612794613	0.25752296854153744	0.03005753163453473
69	-0.03333333333333329	0.01666666666666672	-0.3142806007744472	0.08021782316394865
72	0.23070175438596494	0.11077694235588974	0.25721282220599795	-0.0545964849223739
74	0.05252525252525253	0.010774410774410778	0.3003212853086962	-0.1537025356614931
