order	n_safe	median	lo	hi	obs	obs_sem
Risky first	7.0	0.00038239538239531745	-0.07564213564213562	0.04772005772005772	-0.003564213564213565	0.03609656059327895
Risky first	10.0	-0.011103896103896171	-0.06489177489177489	0.05428571428571427	0.019004329004329006	0.031872359979577984
Risky first	14.0	-0.01852813852813845	-0.084025974025974	0.04294372294372306	-0.004632034632034642	0.041446960759510966
Risky first	20.0	-0.01255411255411254	-0.06636363636363629	0.053982683982683966	-0.027489177489177494	0.042985399933987666
Risky first	28.0	0.0138095238095238	-0.04922077922077922	0.08277056277056277	0.04402597402597404	0.04149585065705767
Risky second	7.0	0.039177489177489255	-0.020779220779220786	0.12186147186147178	0.09588744588744588	0.04111927498400671
Risky second	10.0	0.028246753246753242	-0.05047619047619045	0.0841558441558441	0.010995670995671003	0.03478012487003009
Risky second	14.0	0.025649350649350644	-0.030519480519480502	0.08939393939393947	0.07272727272727272	0.042458333277957935
Risky second	20.0	0.02023809523809522	-0.043939393939393834	0.08484848484848484	0.04675324675324675	0.04130364313616211
Risky second	28.0	0.023809523809523836	-0.030952380952380953	0.09761904761904772	0.03809523809523809	0.03959748120196977
