order	stake_grp	rung	label	where	variant	over_subjects	quantity	value	n_safe
Risky first	0.0	1.0	log-power-n1n2	trials	integrate/mean	mean	dp	-0.013112983258500088	
Risky first	0.0	2.0	log-power-n1n2	trials	integrate/mean	mean	dp	-0.011589475378439911	
Risky first	0.0	3.0	log-power-n1n2	trials	integrate/mean	mean	dp	-0.008692996152780033	
Risky first	0.0	4.0	log-power-n1n2	trials	integrate/mean	mean	dp	-0.006302852911699074	
Risky first	0.0	5.0	log-power-n1n2	trials	integrate/mean	mean	dp	-0.005568810284855858	
Risky first	0.0	6.0	log-power-n1n2	trials	integrate/mean	mean	dp	-0.005026047595136193	
Risky first	1.0	1.0	log-power-n1n2	trials	integrate/mean	mean	dp	-0.01355201310853771	
Risky first	1.0	2.0	log-power-n1n2	trials	integrate/mean	mean	dp	-0.00802384198810544	
Risky first	1.0	3.0	log-power-n1n2	trials	integrate/mean	mean	dp	0.0009261020327786285	
Risky first	1.0	4.0	log-power-n1n2	trials	integrate/mean	mean	dp	0.010591498163375195	
Risky first	1.0	5.0	log-power-n1n2	trials	integrate/mean	mean	dp	0.01789153460555679	
Risky first	1.0	6.0	log-power-n1n2	trials	integrate/mean	mean	dp	0.02643428711052286	
Risky second	0.0	1.0	log-power-n1n2	trials	integrate/mean	mean	dp	0.02012816188767489	
Risky second	0.0	2.0	log-power-n1n2	trials	integrate/mean	mean	dp	0.02179741978812345	
Risky second	0.0	3.0	log-power-n1n2	trials	integrate/mean	mean	dp	0.015926568882971632	
Risky second	0.0	4.0	log-power-n1n2	trials	integrate/mean	mean	dp	0.008440808430997433	
Risky second	0.0	5.0	log-power-n1n2	trials	integrate/mean	mean	dp	0.007899249431925697	
Risky second	0.0	6.0	log-power-n1n2	trials	integrate/mean	mean	dp	0.004760883472196997	
Risky second	1.0	1.0	log-power-n1n2	trials	integrate/mean	mean	dp	-0.004690445127819672	
Risky second	1.0	2.0	log-power-n1n2	trials	integrate/mean	mean	dp	-0.0006342160995010899	
Risky second	1.0	3.0	log-power-n1n2	trials	integrate/mean	mean	dp	0.005961817915046543	
Risky second	1.0	4.0	log-power-n1n2	trials	integrate/mean	mean	dp	0.018312901974557906	
Risky second	1.0	5.0	log-power-n1n2	trials	integrate/mean	mean	dp	0.029547955389174086	
Risky second	1.0	6.0	log-power-n1n2	trials	integrate/mean	mean	dp	0.04064777084091657	
Risky first	0.0	1.0	log-power-n1n2	trials	integrate/median	mean	dp	-0.012681160131270776	
Risky first	0.0	2.0	log-power-n1n2	trials	integrate/median	mean	dp	-0.011338749512547965	
Risky first	0.0	3.0	log-power-n1n2	trials	integrate/median	mean	dp	-0.008285483613798519	
Risky first	0.0	4.0	log-power-n1n2	trials	integrate/median	mean	dp	-0.0064647435644333345	
Risky first	0.0	5.0	log-power-n1n2	trials	integrate/median	mean	dp	-0.005600590528461775	
Risky first	0.0	6.0	log-power-n1n2	trials	integrate/median	mean	dp	-0.005368066720063812	
Risky first	1.0	1.0	log-power-n1n2	trials	integrate/median	mean	dp	-0.013297790733653753	
Risky first	1.0	2.0	log-power-n1n2	trials	integrate/median	mean	dp	-0.00837950144862755	
Risky first	1.0	3.0	log-power-n1n2	trials	integrate/median	mean	dp	0.0005699173110285739	
Risky first	1.0	4.0	log-power-n1n2	trials	integrate/median	mean	dp	0.010071624806452902	
Risky first	1.0	5.0	log-power-n1n2	trials	integrate/median	mean	dp	0.017850164544877194	
Risky first	1.0	6.0	log-power-n1n2	trials	integrate/median	mean	dp	0.026231545226722944	
Risky second	0.0	1.0	log-power-n1n2	trials	integrate/median	mean	dp	0.0203052016036912	
Risky second	0.0	2.0	log-power-n1n2	trials	integrate/median	mean	dp	0.021922143998714665	
Risky second	0.0	3.0	log-power-n1n2	trials	integrate/median	mean	dp	0.01551100919639696	
Risky second	0.0	4.0	log-power-n1n2	trials	integrate/median	mean	dp	0.008216291172311575	
Risky second	0.0	5.0	log-power-n1n2	trials	integrate/median	mean	dp	0.007622108135750821	
Risky second	0.0	6.0	log-power-n1n2	trials	integrate/median	mean	dp	0.004970520570963151	
Risky second	1.0	1.0	log-power-n1n2	trials	integrate/median	mean	dp	-0.004680854244341341	
Risky second	1.0	2.0	log-power-n1n2	trials	integrate/median	mean	dp	-0.0010931338685331734	
Risky second	1.0	3.0	log-power-n1n2	trials	integrate/median	mean	dp	0.005335497615851771	
Risky second	1.0	4.0	log-power-n1n2	trials	integrate/median	mean	dp	0.01808798633340691	
Risky second	1.0	5.0	log-power-n1n2	trials	integrate/median	mean	dp	0.02999184124450125	
