order	stake_grp	rung	label	where	variant	over_subjects	quantity	value	n_safe
Risky first	0.0	6.0	log-power-n1n2pmusd	trials	integrate/mean	median	dp	0.002750060411570463	
Risky first	1.0	1.0	log-power-n1n2pmusd	trials	integrate/mean	median	dp	0.019812632682019053	
Risky first	1.0	2.0	log-power-n1n2pmusd	trials	integrate/mean	median	dp	0.025253550753907592	
Risky first	1.0	3.0	log-power-n1n2pmusd	trials	integrate/mean	median	dp	0.02535759209239563	
Risky first	1.0	4.0	log-power-n1n2pmusd	trials	integrate/mean	median	dp	0.022952563706598532	
Risky first	1.0	5.0	log-power-n1n2pmusd	trials	integrate/mean	median	dp	0.007248313828555608	
Risky first	1.0	6.0	log-power-n1n2pmusd	trials	integrate/mean	median	dp	-0.0027378382973807435	
Risky second	0.0	1.0	log-power-n1n2pmusd	trials	integrate/mean	median	dp	0.035581476706394846	
Risky second	0.0	2.0	log-power-n1n2pmusd	trials	integrate/mean	median	dp	0.042221907944420295	
Risky second	0.0	3.0	log-power-n1n2pmusd	trials	integrate/mean	median	dp	0.04041636216888993	
Risky second	0.0	4.0	log-power-n1n2pmusd	trials	integrate/mean	median	dp	0.03759180966173531	
Risky second	0.0	5.0	log-power-n1n2pmusd	trials	integrate/mean	median	dp	0.0222907271823084	
Risky second	0.0	6.0	log-power-n1n2pmusd	trials	integrate/mean	median	dp	0.00901433411637934	
Risky second	1.0	1.0	log-power-n1n2pmusd	trials	integrate/mean	median	dp	0.02331897312780987	
Risky second	1.0	2.0	log-power-n1n2pmusd	trials	integrate/mean	median	dp	0.02530842711748625	
Risky second	1.0	3.0	log-power-n1n2pmusd	trials	integrate/mean	median	dp	0.021146581047879923	
Risky second	1.0	4.0	log-power-n1n2pmusd	trials	integrate/mean	median	dp	0.016100708865288214	
Risky second	1.0	5.0	log-power-n1n2pmusd	trials	integrate/mean	median	dp	0.011005638113216224	
Risky second	1.0	6.0	log-power-n1n2pmusd	trials	integrate/mean	median	dp	0.007734198992289351	
Risky first	0.0	1.0	log-power-n1n2pmusd	trials	integrate/median	median	dp	0.03239335233462472	
Risky first	0.0	2.0	log-power-n1n2pmusd	trials	integrate/median	median	dp	0.04060228047440712	
Risky first	0.0	3.0	log-power-n1n2pmusd	trials	integrate/median	median	dp	0.03632795809276167	
Risky first	0.0	4.0	log-power-n1n2pmusd	trials	integrate/median	median	dp	0.02710183142192346	
Risky first	0.0	5.0	log-power-n1n2pmusd	trials	integrate/median	median	dp	0.01228591207002383	
Risky first	0.0	6.0	log-power-n1n2pmusd	trials	integrate/median	median	dp	0.0024267008065082946	
Risky first	1.0	1.0	log-power-n1n2pmusd	trials	integrate/median	median	dp	0.018566045476471206	
Risky first	1.0	2.0	log-power-n1n2pmusd	trials	integrate/median	median	dp	0.02449285866553849	
Risky first	1.0	3.0	log-power-n1n2pmusd	trials	integrate/median	median	dp	0.026056290504181578	
Risky first	1.0	4.0	log-power-n1n2pmusd	trials	integrate/median	median	dp	0.023192822611463215	
Risky first	1.0	5.0	log-power-n1n2pmusd	trials	integrate/median	median	dp	0.006019410221569738	
Risky first	1.0	6.0	log-power-n1n2pmusd	trials	integrate/median	median	dp	-0.0030733183281882828	
Risky second	0.0	1.0	log-power-n1n2pmusd	trials	integrate/median	median	dp	0.0343775805521635	
Risky second	0.0	2.0	log-power-n1n2pmusd	trials	integrate/median	median	dp	0.04318781388430769	
Risky second	0.0	3.0	log-power-n1n2pmusd	trials	integrate/median	median	dp	0.039741953461756185	
Risky second	0.0	4.0	log-power-n1n2pmusd	trials	integrate/median	median	dp	0.03752374358211759	
Risky second	0.0	5.0	log-power-n1n2pmusd	trials	integrate/median	median	dp	0.021352115693569595	
Risky second	0.0	6.0	log-power-n1n2pmusd	trials	integrate/median	median	dp	0.009583761541296587	
Risky second	1.0	1.0	log-power-n1n2pmusd	trials	integrate/median	median	dp	0.02274021134930334	
Risky second	1.0	2.0	log-power-n1n2pmusd	trials	integrate/median	median	dp	0.026046553398469632	
Risky second	1.0	3.0	log-power-n1n2pmusd	trials	integrate/median	median	dp	0.022183223947099234	
Risky second	1.0	4.0	log-power-n1n2pmusd	trials	integrate/median	median	dp	0.01608096712593038	
Risky second	1.0	5.0	log-power-n1n2pmusd	trials	integrate/median	median	dp	0.010606817622583956	
Risky second	1.0	6.0	log-power-n1n2pmusd	trials	integrate/median	median	dp	0.007213186432895813	
Risky first	0.0	1.0	log-power-n1n2pmusd	trials	integrate/mean	mean	num_shift	0.021175507108218205	
Risky first	0.0	2.0	log-power-n1n2pmusd	trials	integrate/mean	mean	num_shift	0.02088506233785462	
Risky first	0.0	3.0	log-power-n1n2pmusd	trials	integrate/mean	mean	num_shift	0.02282204769136946	
Risky first	0.0	4.0	log-power-n1n2pmusd	trials	integrate/mean	mean	num_shift	0.02344491359358342	
Risky first	0.0	5.0	log-power-n1n2pmusd	trials	integrate/mean	mean	num_shift	0.020494041085878326	
Risky first	0.0	6.0	log-power-n1n2pmusd	trials	integrate/mean	mean	num_shift	0.021094891271809288	
Risky first	1.0	1.0	log-power-n1n2pmusd	trials	integrate/mean	mean	num_shift	0.04213001550013873	
Risky first	1.0	2.0	log-power-n1n2pmusd	trials	integrate/mean	mean	num_shift	0.039682495952641214	
Risky first	1.0	3.0	log-power-n1n2pmusd	trials	integrate/mean	mean	num_shift	0.03849476890458715	
Risky first	1.0	4.0	log-power-n1n2pmusd	trials	integrate/mean	mean	num_shift	0.03774258734328224	
Risky first	1.0	5.0	log-power-n1n2pmusd	trials	integrate/mean	mean	num_shift	0.03399367319249438	
Risky first	1.0	6.0	log-power-n1n2pmusd	trials	integrate/mean	mean	num_shift	0.032865264525378225	
Risky second	0.0	1.0	log-power-n1n2pmusd	trials	integrate/mean	mean	num_shift	0.043187762519513014	
Risky second	0.0	2.0	log-power-n1n2pmusd	trials	integrate/mean	mean	num_shift	0.04075241229540804	
Risky second	0.0	3.0	log-power-n1n2pmusd	trials	integrate/mean	mean	num_shift	0.03718885444265224	
Risky second	0.0	4.0	log-power-n1n2pmusd	trials	integrate/mean	mean	num_shift	0.03605481281651902	
Risky second	0.0	5.0	log-power-n1n2pmusd	trials	integrate/mean	mean	num_shift	0.033943058010681565	
Risky second	0.0	6.0	log-power-n1n2pmusd	trials	integrate/mean	mean	num_shift	0.03440614989523245	
Risky second	1.0	1.0	log-power-n1n2pmusd	trials	integrate/mean	mean	num_shift	0.03887710110085584	
Risky second	1.0	2.0	log-power-n1n2pmusd	trials	integrate/mean	mean	num_shift	0.03883292883731051	
Risky second	1.0	3.0	log-power-n1n2pmusd	trials	integrate/mean	mean	num_shift	0.04045516414414225	
Risky second	1.0	4.0	log-power-n1n2pmusd	trials	integrate/mean	mean	num_shift	0.0413705845456479	
Risky second	1.0	5.0	log-power-n1n2pmusd	trials	integrate/mean	mean	num_shift	0.04227402024195598	
Risky second	1.0	6.0	log-power-n1n2pmusd	trials	integrate/mean	mean	num_shift	0.047413500796310695	
Risky first	0.0	1.0	log-power-n1n2pmusd	trials	integrate/median	mean	num_shift	0.02182901261614178	
Risky first	0.0	2.0	log-power-n1n2pmusd	trials	integrate/median	mean	num_shift	0.021061128638143793	
Risky first	0.0	3.0	log-power-n1n2pmusd	trials	integrate/median	mean	num_shift	0.023444616932979858	
Risky first	0.0	4.0	log-power-n1n2pmusd	trials	integrate/median	mean	num_shift	0.024300217586611828	
Risky first	0.0	5.0	log-power-n1n2pmusd	trials	integrate/median	mean	num_shift	0.020507797124405647	
Risky first	0.0	6.0	log-power-n1n2pmusd	trials	integrate/median	mean	num_shift	0.021057059113042467	
Risky first	1.0	1.0	log-power-n1n2pmusd	trials	integrate/median	mean	num_shift	0.04115868253794286	
Risky first	1.0	2.0	log-power-n1n2pmusd	trials	integrate/median	mean	num_shift	0.03919314876743411	
Risky first	1.0	3.0	log-power-n1n2pmusd	trials	integrate/median	mean	num_shift	0.038790870664928	
Risky first	1.0	4.0	log-power-n1n2pmusd	trials	integrate/median	mean	num_shift	0.038212125027320895	
Risky first	1.0	5.0	log-power-n1n2pmusd	trials	integrate/median	mean	num_shift	0.033988362748130566	
Risky first	1.0	6.0	log-power-n1n2pmusd	trials	integrate/median	mean	num_shift	0.032488020800541174	
Risky second	0.0	1.0	log-power-n1n2pmusd	trials	integrate/median	mean	num_shift	0.0435609533931061	
Risky second	0.0	2.0	log-power-n1n2pmusd	trials	integrate/median	mean	num_shift	0.04096802505317742	
Risky second	0.0	3.0	log-power-n1n2pmusd	trials	integrate/median	mean	num_shift	0.03754900549773725	
Risky second	0.0	4.0	log-power-n1n2pmusd	trials	integrate/median	mean	num_shift	0.03666733576806208	
Risky second	0.0	5.0	log-power-n1n2pmusd	trials	integrate/median	mean	num_shift	0.034192194772186935	
Risky second	0.0	6.0	log-power-n1n2pmusd	trials	integrate/median	mean	num_shift	0.03430585875331116	
Risky second	1.0	1.0	log-power-n1n2pmusd	trials	integrate/median	mean	num_shift	0.03920755569800046	
Risky second	1.0	2.0	log-power-n1n2pmusd	trials	integrate/median	mean	num_shift	0.03921897828267889	
Risky second	1.0	3.0	log-power-n1n2pmusd	trials	integrate/median	mean	num_shift	0.04060074929153547	
Risky second	1.0	4.0	log-power-n1n2pmusd	trials	integrate/median	mean	num_shift	0.04090140074812505	
Risky second	1.0	5.0	log-power-n1n2pmusd	trials	integrate/median	mean	num_shift	0.0422914277341885	
Risky second	1.0	6.0	log-power-n1n2pmusd	trials	integrate/median	mean	num_shift	0.04779256945337884	
Risky first	0.0	1.0	log-power-n1n2pmusd	trials	integrate/mean	median	num_shift	0.031451129599508555	
Risky first	0.0	2.0	log-power-n1n2pmusd	trials	integrate/mean	median	num_shift	0.03059211812643502	
Risky first	0.0	3.0	log-power-n1n2pmusd	trials	integrate/mean	median	num_shift	0.02936016497054588	
Risky first	0.0	4.0	log-power-n1n2pmusd	trials	integrate/mean	median	num_shift	0.02745723754864848	
Risky first	0.0	5.0	log-power-n1n2pmusd	trials	integrate/mean	median	num_shift	0.02313298002425947	
Risky first	0.0	6.0	log-power-n1n2pmusd	trials	integrate/mean	median	num_shift	0.021007978850832155	
Risky first	1.0	1.0	log-power-n1n2pmusd	trials	integrate/mean	median	num_shift	0.0340002990409063	
Risky first	1.0	2.0	log-power-n1n2pmusd	trials	integrate/mean	median	num_shift	0.02942935247200643	
Risky first	1.0	3.0	log-power-n1n2pmusd	trials	integrate/mean	median	num_shift	0.025049993943624508	
Risky first	1.0	4.0	log-power-n1n2pmusd	trials	integrate/mean	median	num_shift	0.022959810099318655	
Risky first	1.0	5.0	log-power-n1n2pmusd	trials	integrate/mean	median	num_shift	0.017304937082512083	
Risky first	1.0	6.0	log-power-n1n2pmusd	trials	integrate/mean	median	num_shift	0.014482584007542964	
Risky second	0.0	1.0	log-power-n1n2pmusd	trials	integrate/mean	median	num_shift	0.03700973400700843	
Risky second	0.0	2.0	log-power-n1n2pmusd	trials	integrate/mean	median	num_shift	0.035940730593351844	
Risky second	0.0	3.0	log-power-n1n2pmusd	trials	integrate/mean	median	num_shift	0.03273912142378079	
Risky second	0.0	4.0	log-power-n1n2pmusd	trials	integrate/mean	median	num_shift	0.03161347141718406	
Risky second	0.0	5.0	log-power-n1n2pmusd	trials	integrate/mean	median	num_shift	0.028421050989749314	
Risky second	0.0	6.0	log-power-n1n2pmusd	trials	integrate/mean	median	num_shift	0.024961760455389097	
Risky second	1.0	1.0	log-power-n1n2pmusd	trials	integrate/mean	median	num_shift	0.02390777281507557	
Risky second	1.0	2.0	log-power-n1n2pmusd	trials	integrate/mean	median	num_shift	0.022276104475370238	
Risky second	1.0	3.0	log-power-n1n2pmusd	trials	integrate/mean	median	num_shift	0.01967096512559731	
Risky second	1.0	4.0	log-power-n1n2pmusd	trials	integrate/mean	median	num_shift	0.019053039754339175	
Risky second	1.0	5.0	log-power-n1n2pmusd	trials	integrate/mean	median	num_shift	0.01771580973993068	
Risky second	1.0	6.0	log-power-n1n2pmusd	trials	integrate/mean	median	num_shift	0.019938373577352335	
Risky first	0.0	1.0	log-power-n1n2pmusd	trials	integrate/median	median	num_shift	0.032155625483000716	
Risky first	0.0	2.0	log-power-n1n2pmusd	trials	integrate/median	median	num_shift	0.029554276598689432	
Risky first	0.0	3.0	log-power-n1n2pmusd	trials	integrate/median	median	num_shift	0.02847487977778492	
Risky first	0.0	4.0	log-power-n1n2pmusd	trials	integrate/median	median	num_shift	0.02657140892002921	
Risky first	0.0	5.0	log-power-n1n2pmusd	trials	integrate/median	median	num_shift	0.022675597376333678	
Risky first	0.0	6.0	log-power-n1n2pmusd	trials	integrate/median	median	num_shift	0.020754337159309424	
Risky first	1.0	1.0	log-power-n1n2pmusd	trials	integrate/median	median	num_shift	0.03400004640527868	
Risky first	1.0	2.0	log-power-n1n2pmusd	trials	integrate/median	median	num_shift	0.02934879320221777	
Risky first	1.0	3.0	log-power-n1n2pmusd	trials	integrate/median	median	num_shift	0.023841906626976855	
Risky first	1.0	4.0	log-power-n1n2pmusd	trials	integrate/median	median	num_shift	0.022331864000006318	
Risky first	1.0	5.0	log-power-n1n2pmusd	trials	integrate/median	median	num_shift	0.016467462597864024	
Risky first	1.0	6.0	log-power-n1n2pmusd	trials	integrate/median	median	num_shift	0.014076331562260316	
Risky second	0.0	1.0	log-power-n1n2pmusd	trials	integrate/median	median	num_shift	0.03709429636463076	
Risky second	0.0	2.0	log-power-n1n2pmusd	trials	integrate/median	median	num_shift	0.03540255147625028	
Risky second	0.0	3.0	log-power-n1n2pmusd	trials	integrate/median	median	num_shift	0.03311760809758557	
Risky second	0.0	4.0	log-power-n1n2pmusd	trials	integrate/median	median	num_shift	0.03328802930355235	
Risky second	0.0	5.0	log-power-n1n2pmusd	trials	integrate/median	median	num_shift	0.028234077169094457	
Risky second	0.0	6.0	log-power-n1n2pmusd	trials	integrate/median	median	num_shift	0.024455338761376788	
Risky second	1.0	1.0	log-power-n1n2pmusd	trials	integrate/median	median	num_shift	0.02441988150365998	
Risky second	1.0	2.0	log-power-n1n2pmusd	trials	integrate/median	median	num_shift	0.02201429022420555	
Risky second	1.0	3.0	log-power-n1n2pmusd	trials	integrate/median	median	num_shift	0.018866281111752897	
Risky second	1.0	4.0	log-power-n1n2pmusd	trials	integrate/median	median	num_shift	0.01720245068901516	
Risky second	1.0	5.0	log-power-n1n2pmusd	trials	integrate/median	median	num_shift	0.016099124090238115	
Risky second	1.0	6.0	log-power-n1n2pmusd	trials	integrate/median	median	num_shift	0.020134684821491944	
Risky first	0.0	1.0	log-power-n1n2pmusd	trials	integrate/mean	mean	den_ratio	1.0880347924280438	
Risky first	0.0	2.0	log-power-n1n2pmusd	trials	integrate/mean	mean	den_ratio	1.0892823099749862	
Risky first	0.0	3.0	log-power-n1n2pmusd	trials	integrate/mean	mean	den_ratio	1.090516333850743	
Risky first	0.0	4.0	log-power-n1n2pmusd	trials	integrate/mean	mean	den_ratio	1.0933698331209707	
Risky first	0.0	5.0	log-power-n1n2pmusd	trials	integrate/mean	mean	den_ratio	1.0947045920970588	
Risky first	0.0	6.0	log-power-n1n2pmusd	trials	integrate/mean	mean	den_ratio	1.092084931713708	
Risky first	1.0	1.0	log-power-n1n2pmusd	trials	integrate/mean	mean	den_ratio	1.0752714293035537	
Risky first	1.0	2.0	log-power-n1n2pmusd	trials	integrate/mean	mean	den_ratio	1.0777886122456939	
Risky first	1.0	3.0	log-power-n1n2pmusd	trials	integrate/mean	mean	den_ratio	1.0800640893185718	
Risky first	1.0	4.0	log-power-n1n2pmusd	trials	integrate/mean	mean	den_ratio	1.083945803271546	
Risky first	1.0	5.0	log-power-n1n2pmusd	trials	integrate/mean	mean	den_ratio	1.0865562500619943	
Risky first	1.0	6.0	log-power-n1n2pmusd	trials	integrate/mean	mean	den_ratio	1.088342353918803	
Risky second	0.0	1.0	log-power-n1n2pmusd	trials	integrate/mean	mean	den_ratio	1.078913664900615	
Risky second	0.0	2.0	log-power-n1n2pmusd	trials	integrate/mean	mean	den_ratio	1.076149453537893	
Risky second	0.0	3.0	log-power-n1n2pmusd	trials	integrate/mean	mean	den_ratio	1.0725543567391642	
Risky second	0.0	4.0	log-power-n1n2pmusd	trials	integrate/mean	mean	den_ratio	1.071905008782697	
Risky second	0.0	5.0	log-power-n1n2pmusd	trials	integrate/mean	mean	den_ratio	1.0681029517391187	
Risky second	0.0	6.0	log-power-n1n2pmusd	trials	integrate/mean	mean	den_ratio	1.0586197106292008	
Risky second	1.0	1.0	log-power-n1n2pmusd	trials	integrate/mean	mean	den_ratio	1.0612663929879045	
Risky second	1.0	2.0	log-power-n1n2pmusd	trials	integrate/mean	mean	den_ratio	1.0578602710149305	
Risky second	1.0	3.0	log-power-n1n2pmusd	trials	integrate/mean	mean	den_ratio	1.0537620070028242	
Risky second	1.0	4.0	log-power-n1n2pmusd	trials	integrate/mean	mean	den_ratio	1.052412771648086	
Risky second	1.0	5.0	log-power-n1n2pmusd	trials	integrate/mean	mean	den_ratio	1.0485735502789955	
Risky second	1.0	6.0	log-power-n1n2pmusd	trials	integrate/mean	mean	den_ratio	1.0434495462156823	
Risky first	0.0	1.0	log-power-n1n2pmusd	trials	integrate/median	mean	den_ratio	1.0853208531202303	
Risky first	0.0	2.0	log-power-n1n2pmusd	trials	integrate/median	mean	den_ratio	1.0875175244198965	
Risky first	0.0	3.0	log-power-n1n2pmusd	trials	integrate/median	mean	den_ratio	1.088483347731231	
Risky first	0.0	4.0	log-power-n1n2pmusd	trials	integrate/median	mean	den_ratio	1.0917429923238329	
Risky first	0.0	5.0	log-power-n1n2pmusd	trials	integrate/median	mean	den_ratio	1.0926071036388492	
Risky first	0.0	6.0	log-power-n1n2pmusd	trials	integrate/median	mean	den_ratio	1.091376262285027	
