label	parameter	subject	mid	lo	hi	pct	p_gt0
log-power-n1n2psd.pathfinder.klw	log_n1_power_sd112	1	0.061401937486720744	-0.32768817516958365	0.43671923210616387	6.33262189745553	0.6521666666666667
log-power-n1n2psd.pathfinder.klw	log_n1_power_sd112	2	0.06311507601478872	-0.35615664504957567	0.4780974846903401	6.514940532768093	0.6520833333333333
log-power-n1n2psd.pathfinder.klw	log_n1_power_sd112	3	0.13906402138526933	-0.20666305855487999	0.7284807168514517	14.919767087536313	0.793625
log-power-n1n2psd.pathfinder.klw	log_n1_power_sd112	4	-0.0038835145021370266	-0.4659487870569699	0.30810393264638103	-0.3875983411879841	0.49033333333333334
log-power-n1n2psd.pathfinder.klw	log_n1_power_sd112	5	0.025468610345837576	-0.4455219625935085	0.3769613009910566	2.5795706392610693	0.5599166666666666
log-power-n1n2psd.pathfinder.klw	log_n1_power_sd112	6	-0.004534948895720981	-0.4449611372177182	0.2859953417813913	-0.4524681541483504	0.48991666666666667
log-power-n1n2psd.pathfinder.klw	log_n1_power_sd112	7	0.07179129686731872	-0.3402739087775799	0.5170997346392135	7.443108352970684	0.6668333333333333
log-power-n1n2psd.pathfinder.klw	log_n1_power_sd112	9	0.058466419281602816	-0.3627784883984772	0.4383129057981862	6.020938250409437	0.6394166666666666
log-power-n1n2psd.pathfinder.klw	log_n1_power_sd112	10	0.026376547633714515	-0.4709977585850897	0.3917022077038509	2.67274874995847	0.5595833333333333
log-power-n1n2psd.pathfinder.klw	log_n1_power_sd112	11	0.05471969163602208	-0.3938295698144388	0.45548121076712805	5.62444990081064	0.6290833333333333
log-power-n1n2psd.pathfinder.klw	log_n1_power_sd112	18	0.03990514223145214	-0.4079131155407885	0.4143449388278143	4.071204988732544	0.596125
log-power-n1n2psd.pathfinder.klw	log_n1_power_sd112	19	0.05842448091218142	-0.27975008852281974	0.38421340498027523	6.01649199836962	0.6498333333333334
log-power-n1n2psd.pathfinder.klw	log_n1_power_sd112	21	0.05379168969194753	-0.3188782133182827	0.38968062989766883	5.526475673128943	0.6360833333333333
log-power-n1n2psd.pathfinder.klw	log_n1_power_sd112	25	0.08943379655361218	-0.318092509887065	0.5414164667522372	9.35549338103963	0.7014583333333333
log-power-n1n2psd.pathfinder.klw	log_n1_power_sd112	26	0.14449199187885067	-0.1810598280496933	0.678053668182933	15.545244192356586	0.8135416666666667
log-power-n1n2psd.pathfinder.klw	log_n1_power_sd112	29	0.06723578585799787	-0.2616679299612205	0.3867589599503245	6.954763265243659	0.6782916666666666
log-power-n1n2psd.pathfinder.klw	log_n1_power_sd112	30	0.021353560010680454	-0.3944558927049308	0.3361603109404902	2.1583178753304306	0.5509166666666667
log-power-n1n2psd.pathfinder.klw	log_n1_power_sd112	31	0.051611588194304545	-0.37548341265198	0.42928084284668033	5.29666783869501	0.6273333333333333
log-power-n1n2psd.pathfinder.klw	log_n1_power_sd112	34	0.12035976608946852	-0.184595879101461	0.4957935507548985	12.79025596881904	0.7880416666666666
log-power-n1n2psd.pathfinder.klw	log_n1_power_sd112	35	0.17093395721427773	-0.12975238670416128	0.7510282855544173	18.64123924548841	0.8549166666666667
log-power-n1n2psd.pathfinder.klw	log_n1_power_sd112	36	-0.00871984368263945	-0.4980166096946559	0.3112405869962999	-0.8681936108439839	0.4794583333333333
log-power-n1n2psd.pathfinder.klw	log_n1_power_sd112	37	0.06086148036388286	-0.3491585599533316	0.4509437792728094	6.275169201318914	0.6449166666666667
log-power-n1n2psd.pathfinder.klw	log_n1_power_sd112	45	0.08609004809808131	-0.22111929730326546	0.4711394637816547	8.990446771083661	0.7255833333333334
log-power-n1n2psd.pathfinder.klw	log_n1_power_sd112	46	0.037340097293240476	-0.3722167149099289	0.3818540469699392	3.8045997445550754	0.5919583333333334
log-power-n1n2psd.pathfinder.klw	log_n1_power_sd112	47	0.054192886927909356	-0.3651453731559309	0.45249327103405207	5.568821097355383	0.6293333333333333
log-power-n1n2psd.pathfinder.klw	log_n1_power_sd112	50	0.18272148228965288	-0.10411458296842696	0.5858651687532862	20.04800065718733	0.8865416666666667
log-power-n1n2psd.pathfinder.klw	log_n1_power_sd112	53	-0.07522233194409858	-0.6021795244744456	0.2317907046636146	-7.246275775621358	0.34579166666666666
log-power-n1n2psd.pathfinder.klw	log_n1_power_sd112	56	-0.0037656251217794623	-0.5124807263235193	0.3269999173395496	-0.3758544046513987	0.491
log-power-n1n2psd.pathfinder.klw	log_n1_power_sd112	59	0.09179827923810005	-0.22419399222618533	0.42940489902162005	9.614368483832292	0.7345833333333334
log-power-n1n2psd.pathfinder.klw	log_n1_power_sd112	62	0.08885306568045878	-0.2989672899609142	0.576088647836875	9.29200570629499	0.7030833333333333
log-power-n1n2psd.pathfinder.klw	log_n1_power_sd112	63	0.13395825599172348	-0.19524953096123876	0.6286687827866618	14.334509084152305	0.7957083333333334
log-power-n1n2psd.pathfinder.klw	log_n1_power_sd112	67	-0.02415748906743781	-0.5218788242039029	0.2693331978143141	-2.386803246139618	0.44654166666666667
log-power-n1n2psd.pathfinder.klw	log_n1_power_sd112	69	0.02737086137486059	-0.4749799590217645	0.38499179722372795	2.7748884459182794	0.56225
log-power-n1n2psd.pathfinder.klw	log_n1_power_sd112	72	0.0738772291828681	-0.31376909486305743	0.4815997553188099	7.667461315966256	0.6714583333333334
log-power-n1n2psd.pathfinder.klw	log_n1_power_sd112	74	0.01534818590661519	-0.43411426107620016	0.346793552344122	1.546657421839845	0.536625
log-power-n1n2psd.pathfinder.klw	log_n1_power_sd112	GROUP	0.055680763879095166	-0.1286413572822543	0.24047471591791272	5.726011423963247	0.723625
log-power-n1n2psd.pathfinder.klw	log_n1_power_sd7	1	-0.20066660198557518	-0.8296141172328841	0.29454217597543864	-18.181483260321922	0.21275
log-power-n1n2psd.pathfinder.klw	log_n1_power_sd7	2	-0.17124466209226907	-0.7129085164777694	0.418019231249436	-15.738460779455664	0.25866666666666666
log-power-n1n2psd.pathfinder.klw	log_n1_power_sd7	3	-0.017248425296306154	-0.5212246178615815	0.48994119830764965	-1.7100522791350259	0.47020833333333334
log-power-n1n2psd.pathfinder.klw	log_n1_power_sd7	4	-0.022162526128994893	-0.5450764541158697	0.49629472743153547	-2.1918741628137792	0.4620416666666667
