label	parameter	subject	mid	lo	hi	pct	p_gt0
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd112	1	0.4297768237272896	-0.2866376578408479	1.4373486668713165	53.69144824247234	0.8683333333333333
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd112	2	0.20580873767541571	-0.42125122166186274	1.0126988886883745	22.851821227442322	0.7361944444444445
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd112	3	0.047795512069076125	-0.8009728354716337	1.0342190125591533	4.895613452218219	0.5472777777777778
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd112	4	-0.12601908644568463	-0.8365733600780169	0.519686340245795	-11.840197994989007	0.346125
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd112	5	-0.1643295100511583	-1.0048844994409947	0.5914668504559696	-15.153760107502604	0.3231805555555556
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd112	6	-0.3755252865554385	-1.17899665298607	0.19925332558411837	-31.307165022299532	0.10777777777777778
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd112	7	-0.08209642632886555	-0.9773426116168029	0.8261367217604482	-7.8816871893642535	0.41747222222222224
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd112	9	-0.26106147622932174	-1.2066440197435375	0.39239690178998926	-22.976643289583546	0.22545833333333334
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd112	10	0.04691563929709247	-0.8061702074438825	1.00300876562098	4.803359249973168	0.5470694444444445
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd112	11	-0.05331871295115674	-0.9904460562084106	0.9097662684392149	-5.19222003481684	0.4472638888888889
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd112	18	-0.03942237413848032	-0.9919960592762374	0.9500676762748519	-3.8655423704797407	0.46
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd112	19	0.23500093570270764	-0.20756764269236702	0.733778697246118	26.490995231200532	0.8505416666666666
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd112	21	0.11899737974533137	-0.3951832449114355	0.7118600380550637	12.63669669161826	0.6720138888888889
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd112	25	-0.11354461998501018	-1.0988148033630951	0.8317425449053295	-10.733563514802896	0.3920972222222222
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd112	26	-0.0033006791555973934	-0.8938056075673733	0.96810342558431	-0.32952379024099154	0.49627777777777776
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd112	29	-0.26692606848322453	-0.7733376063497516	0.17589830773928183	-23.42703190705125	0.1213888888888889
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd112	30	-0.5108664721393037	-1.2538133908332865	0.06523288453445542	-40.002450852341774	0.042444444444444444
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd112	31	-0.2252933335915015	-1.125883938291657	0.5666833237727115	-20.171797852029997	0.2748333333333333
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd112	34	0.12481820452930037	-0.3200206977140749	0.5972778840252829	13.29424705343415	0.70825
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd112	35	0.3220763205392311	-0.33861204675092554	1.3254423699842308	37.999009352632	0.8180833333333334
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd112	36	-0.2819832703302071	-1.1093266828568809	0.41434511050729755	-24.5713696611681	0.21041666666666667
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd112	37	-0.07510877971153482	-0.973908371280822	0.8305823500022863	-7.235742785146103	0.42606944444444445
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd112	45	0.15866623277198916	-0.18803622750668894	0.599430487477123	17.194672398625112	0.8060833333333334
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd112	46	-0.06816010704070172	-0.7616870726528796	0.6530962381685951	-6.588909612855449	0.4172361111111111
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd112	47	-0.1392286015247762	-1.0531476499331784	0.7300954189273596	-12.997088425921547	0.3614027777777778
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd112	50	0.16249275487962245	-0.18501389177061325	0.543255485099589	17.64397949698822	0.8204166666666667
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd112	53	-0.4898185139782233	-1.1196771466055873	0.016137017818159547	-38.726241259876595	0.029361111111111112
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd112	56	-0.6258806236019323	-1.63691344969206	0.11311479263119976	-46.520972784201334	0.05177777777777778
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd112	59	-0.2250493890725107	-0.7818289461276462	0.21583825346076255	-20.152321824216575	0.1658611111111111
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd112	62	-0.05238750682902224	-0.9510891594411366	0.881144617542812	-5.103893330886227	0.4477361111111111
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd112	63	0.09870541158254224	-0.6348711987778909	0.9589207638531705	10.374110231694862	0.6069583333333334
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd112	67	-0.6686701748174338	-1.420838389793214	-0.12377806991168086	-48.76104865982667	0.0065138888888888885
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd112	69	-0.11205519864926333	-1.0551954728966753	0.7796925359438877	-10.600509117303583	0.3904444444444444
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd112	72	-0.10657991659446642	-1.016063732675019	0.7765372043956144	-10.109679199247944	0.394
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd112	74	0.21940604959482496	-0.2794962133013243	0.8222487283145564	24.53368425585178	0.799125
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd112	GROUP	-0.08302656774058959	-0.29521087431817616	0.12479093096992948	-7.9673304105596285	0.21259722222222222
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd13	1	0.1706307249279077	-0.351376851200366	0.7109064070539367	18.605268845223208	0.7963194444444445
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd13	2	0.21122065376339816	-0.24161487686094726	0.7503601182912102	23.518487318497467	0.8603611111111111
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd13	3	0.1613684429006559	-0.2920200668172345	0.5973323309042198	17.511785289277412	0.8039166666666666
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd13	4	0.22093743137696223	-0.2197620515304765	0.8414711593408007	24.724538969601202	0.8740833333333333
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd13	5	0.03682217212311953	-0.5784322507894044	0.3873397842969666	3.750850649779068	0.562625
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd13	6	0.1681429945201211	-0.37849746848789567	0.6758175684307347	18.3105776195369	0.7955694444444444
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd13	7	0.18447024363485615	-0.2428689487081807	0.6812402972197492	20.25811963072674	0.8373194444444444
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd13	9	0.18079070015915183	-0.31272790557130187	0.6973698120449145	19.81643774342137	0.8169583333333333
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd13	10	0.20934520305445675	-0.15499350225436023	0.6600459743146949	23.287051574889368	0.8866388888888889
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd13	11	0.039828097686685396	-0.48362141403160036	0.35955094891964146	4.063187178989077	0.5720694444444444
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd13	18	0.20416971864779004	-0.12227390017558985	0.5764869002793379	22.6506296783005	0.9043055555555556
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd13	19	0.19410089820396467	-0.41379438021718623	0.7303115156302105	21.42187892708532	0.8159722222222222
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd13	21	0.14956259174268008	-0.31252232748938674	0.5538500635391651	16.132615796521293	0.7858472222222223
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd13	25	0.20971069235185388	-0.11964784855976819	0.5790770978308655	23.332119908242692	0.9078888888888889
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd13	26	0.1702608553315616	-0.17738104702751814	0.5191126062633078	18.561408474119805	0.8521805555555556
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd13	29	0.1720209550868622	-0.3175295047226548	0.6524347110797694	18.770272136683097	0.8111944444444444
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd13	30	0.23710716241173602	-0.11477882093574793	0.7032325412044919	26.757694709996688	0.9174444444444444
log-cspl5-n1n2.mapjitter.klw	log_n1_cspl5_sd13	31	0.13140117202563362	-0.39477152697910023	0.553668499095217	14.042519624087843	0.7374722222222222
