label	order	n_safe	ratio	quantity	lo	mid	hi
log-power-n1n2	Risky first	7.0	1.2	p_vertex	0.17648101795149856	0.226421386273318	0.27813010456008896
log-power-n1n2	Risky first	7.0	1.233392832614218	p_vertex	0.19197695992297267	0.24241564484163675	0.29341263917561816
log-power-n1n2	Risky first	7.0	1.267714899620104	p_vertex	0.20915121709821843	0.2593175253988611	0.3103720827475321
log-power-n1n2	Risky first	7.0	1.3029920591580744	p_vertex	0.22819564669586767	0.277561673132304	0.3281328065349518
log-power-n1n2	Risky first	7.0	1.339250888932342	p_vertex	0.24887911567193238	0.29728683017022073	0.3477180153665005
log-power-n1n2	Risky first	7.0	1.3765187062344757	p_vertex	0.2703560074628271	0.31826896023956863	0.3678381203651793
log-power-n1n2	Risky first	7.0	1.4148235885241658	p_vertex	0.29361217210581175	0.3404392116933071	0.3888056734640169
log-power-n1n2	Risky first	7.0	1.454194394582695	p_vertex	0.3175653773645136	0.3640410240976518	0.41064613424596874
log-power-n1n2	Risky first	7.0	1.4946607862550567	p_vertex	0.3429704055617965	0.3884724636444936	0.43427265009048277
log-power-n1n2	Risky first	7.0	1.5362532507970992	p_vertex	0.36942321887717156	0.4140806853475051	0.45833518697702574
log-power-n1n2	Risky first	7.0	1.579003123844529	p_vertex	0.3967992239654895	0.44029128908776693	0.48301878171572643
log-power-n1n2	Risky first	7.0	1.6229426130210856	p_vertex	0.4258153017970342	0.46704972549518925	0.5081768937226716
log-power-n1n2	Risky first	7.0	1.6681048222036647	p_vertex	0.4543208158701272	0.4940540669930551	0.5334410019614707
log-power-n1n2	Risky first	7.0	1.714523776462679	p_vertex	0.483103300580208	0.5211368306783534	0.5590329102114637
log-power-n1n2	Risky first	7.0	1.7622344476964418	p_vertex	0.511544625309003	0.5484478001760174	0.5848814840037266
log-power-n1n2	Risky first	7.0	1.8112727809788889	p_vertex	0.5399569394351482	0.5750257017587486	0.6103493888943309
log-power-n1n2	Risky first	7.0	1.861675721640487	p_vertex	0.5671738529077659	0.6011193146866552	0.6350697890016835
log-power-n1n2	Risky first	7.0	1.9134812431027324	p_vertex	0.5932489269281596	0.6264703994102151	0.6587786325363939
log-power-n1n2	Risky first	7.0	1.9667283754872122	p_vertex	0.6186622048731418	0.6508609588146301	0.6814319605254753
log-power-n1n2	Risky first	7.0	2.021457235020777	p_vertex	0.6429799236403052	0.674141513488973	0.7035768421955165
log-power-n1n2	Risky first	7.0	2.0777090542589844	p_vertex	0.6659306460795836	0.6958894715502781	0.7243767866923586
log-power-n1n2	Risky first	7.0	2.1355262131505808	p_vertex	0.6879176781800341	0.7164984187699677	0.7442984957750479
log-power-n1n2	Risky first	7.0	2.1949522709664246	p_vertex	0.7084849388098906	0.735714599393468	0.7626852187972116
log-power-n1n2	Risky first	7.0	2.256031999116908	p_vertex	0.7274568112018795	0.7537960724012883	0.7799852896459778
log-power-n1n2	Risky first	7.0	2.3188114148826	p_vertex	0.7449105905108111	0.7706413179051395	0.7959077160282532
log-power-n1n2	Risky first	7.0	2.3833378160835275	p_vertex	0.761176161782603	0.7863466547067792	0.8105889947712067
log-power-n1n2	Risky first	7.0	2.4496598167132055	p_vertex	0.7764961224434026	0.800875054047247	0.8243522585078658
log-power-n1n2	Risky first	7.0	2.5178273835642724	p_vertex	0.7904045916920603	0.8143328573468284	0.8369143433694844
log-power-n1n2	Risky first	7.0	2.58789187387332	p_vertex	0.8029977106653717	0.8267962746764215	0.8487686196193023
log-power-n1n2	Risky first	7.0	2.659906074013276	p_vertex	0.8150664176353077	0.8383484725975907	0.8595441215067584
log-power-n1n2	Risky first	7.0	2.7339242392624983	p_vertex	0.8265929198291554	0.8489130214466248	0.8696398539993698
log-power-n1n2	Risky first	7.0	2.8100021346805373	p_vertex	0.8372520486119648	0.8589277807601858	0.8787821922194684
log-power-n1n2	Risky first	7.0	2.8881970771213568	p_vertex	0.8471037528383428	0.8681217587123184	0.8872146763709731
log-power-n1n2	Risky first	7.0	2.9685679784156793	p_vertex	0.8564317269213365	0.8766436805183558	0.8949178180254153
log-power-n1n2	Risky first	7.0	3.051175389754982	p_vertex	0.8647678516488069	0.884462696716432	0.9022416072664698
log-power-n1n2	Risky first	7.0	3.1360815473105736	p_vertex	0.8725451439228091	0.8917197721817045	0.9091457924021162
log-power-n1n2	Risky first	7.0	3.2233504191221405	p_vertex	0.8794613086711158	0.8985423054029217	0.9152626236394494
log-power-n1n2	Risky first	7.0	3.31304775329107	p_vertex	0.886258800378956	0.9048934208087166	0.921040212018401
log-power-n1n2	Risky first	7.0	3.40524112751487	p_vertex	0.8924544391788752	0.910688415601248	0.9264191873519741
log-power-n1n2	Risky first	7.0	3.5000000000000004	p_vertex	0.8984319686995689	0.9161773939610361	0.9315128318358258
log-power-n1n2	Risky first	7.0	1.2	p_full	0.17626712941635525	0.23041319573988434	0.28655012656054984
log-power-n1n2	Risky first	7.0	1.233392832614218	p_full	0.19354565538445093	0.24713190174789534	0.3021599557872747
log-power-n1n2	Risky first	7.0	1.267714899620104	p_full	0.2119162293000925	0.2650916518732073	0.31960998975394617
log-power-n1n2	Risky first	7.0	1.3029920591580744	p_full	0.23130411050347205	0.28401058452179706	0.33669269123215306
log-power-n1n2	Risky first	7.0	1.339250888932342	p_full	0.2518186883868929	0.30402463425876647	0.35553596697686624
log-power-n1n2	Risky first	7.0	1.3765187062344757	p_full	0.27278688866257883	0.3246570135556147	0.3741343761375001
log-power-n1n2	Risky first	7.0	1.4148235885241658	p_full	0.2957967585752695	0.3458663439068034	0.39397739505259266
