trial_nr	onset	event_type	phase	response	nr_frames	prob1	prob2	n1	n2	choice	onset_abs	duration
1.0	0.016521065001143143	stim	0		58						3.4718703239996103	0.9690762829995947
1.0	0.9673908260010649	response	0	j							4.422740084999532	
1.0	0.9855973480007378	stim	0		289						4.440946606999205	5.0038047850030125
1.0	5.98940213300375	stim	0		15	0.55	1.0	33.0	20.0		9.444751392002217	0.24574152899731416
1.0	6.2351436620010645	stim	1		19	0.55	1.0	33.0	20.0		9.690492920999532	0.31616260400187457
1.0	6.551306266002939	stim	2		18	0.55	1.0	33.0	20.0		10.006655525001406	0.30037142599758226
1.0	6.851677692000521	stim	3		28	0.55	1.0	33.0	20.0		10.307026950998988	0.4968451540044043
1.0	7.348522846004926	stim	4		26	0.55	1.0	33.0	20.0		10.803872105003393	0.6028539929975523
1.0	7.951376839002478	stim	5		299	0.55	1.0	33.0	20.0		11.406726098000945	4.983432367000205
1.0	12.934809206002683	stim	6		19	0.55	1.0	33.0	20.0		16.39015846500115	0.31695260299602523
1.0	13.251761808998708	stim	7		17	0.55	1.0	33.0	20.0		16.707111067997175	0.28780340600496856
1.0	13.539565215003677	stim	8		31	0.55	1.0	33.0	20.0		16.994914474002144	0.6023343449996901
1.0	14.141899560003367	stim	9		40	0.55	1.0	33.0	20.0		17.597248819001834	0.6671506579950801
1.0	14.802707202004967	response	9	k		0.55	1.0	33.0	20.0		18.258056461003434	
1.0	14.809050217998447	choice	9		241					2.0	18.264399476996914	3.34216510400438
2.0	18.151215322002827	stim	0		15	0.55	1.0	56.0	28.0		21.606564581001294	0.2506349679970299
2.0	18.401850289999857	stim	1		18	0.55	1.0	56.0	28.0		21.857199548998324	0.2994588220026344
2.0	18.70130911200249	stim	2		18	0.55	1.0	56.0	28.0		22.156658371000958	0.30003451299853623
2.0	19.001343625001027	stim	3		30	0.55	1.0	56.0	28.0		22.456692883999494	0.5171601500042016
2.0	19.51850377500523	stim	4		19	0.55	1.0	56.0	28.0		22.973853034003696	0.599721126993245
2.0	20.118224901998474	stim	5		298	0.55	1.0	56.0	28.0		23.57357416099694	4.9663203490054
2.0	25.084545251003874	stim	6		19	0.55	1.0	56.0	28.0		28.53989451000234	0.31690385399997467
2.0	25.40144910500385	stim	7		18	0.55	1.0	56.0	28.0		28.856798364002316	0.3075625019992003
2.0	25.70901160700305	stim	8		26	0.55	1.0	56.0	28.0		29.164360866001516	0.5760872190003283
2.0	26.285098826003377	stim	9		44	0.55	1.0	56.0	28.0		29.740448085001844	0.741054466998321
2.0	27.021024718000263	response	9	j		0.55	1.0	56.0	28.0		30.47637397699873	
2.0	27.0261532930017	choice	9		240					1.0	30.481502552000165	3.2678839349973714
3.0	30.29403722799907	stim	0		15	0.55	1.0	16.0	14.0		33.74938648699754	0.24942190400179243
3.0	30.543459132000862	stim	1		18	0.55	1.0	16.0	14.0		33.99880839099933	0.30043488099909155
3.0	30.843894012999954	stim	2		18	0.55	1.0	16.0	14.0		34.29924327199842	0.2994328670029063
3.0	31.14332688000286	stim	3		30	0.55	1.0	16.0	14.0		34.59867613900133	0.4998304440014181
3.0	31.643157324004278	stim	4		36	0.55	1.0	16.0	14.0		35.098506583002745	0.6009324389960966
3.0	32.244089763000375	stim	5		300	0.55	1.0	16.0	14.0		35.69943902199884	4.999074307997944
3.0	37.24316407099832	stim	6		18	0.55	1.0	16.0	14.0		40.698513329996786	0.3005989880039124
3.0	37.54376305900223	stim	7		18	0.55	1.0	16.0	14.0		40.9991123180007	0.2993531320025795
3.0	37.84311619100481	stim	8		36	0.55	1.0	16.0	14.0		41.29846545000328	0.600525703994208
3.0	38.44364189499902	stim	9		41	0.55	1.0	16.0	14.0		41.898991153997486	0.6901203779998468
3.0	39.12919269200211	response	9	k		0.55	1.0	16.0	14.0		42.584541951000574	
3.0	39.133762272998865	choice	9		240					2.0	42.58911153199733	3.309642464002536
4.0	42.4434047370014	stim	0		15	0.55	1.0	33.0	28.0		45.89875399599987	0.2499442159969476
4.0	42.69334895299835	stim	1		18	0.55	1.0	33.0	28.0		46.148698211996816	0.3010567470046226
4.0	42.99440570000297	stim	2		18	0.55	1.0	33.0	28.0		46.44975495900144	0.2990049509971868
4.0	43.29341065100016	stim	3		30	0.55	1.0	33.0	28.0		46.748759909998626	0.5024686149990885
4.0	43.79587926599925	stim	4		36	0.55	1.0	33.0	28.0		47.251228524997714	0.5981271980053862
4.0	44.39400646400463	stim	5		300	0.55	1.0	33.0	28.0		47.8493557230031	4.999561502998404
4.0	49.39356796700304	stim	6		18	0.55	1.0	33.0	28.0		52.848917226001504	0.2997450530019705
4.0	49.69331302000501	stim	7		18	0.55	1.0	33.0	28.0		53.148662279003474	0.30044361199543346
4.0	49.99375663200044	stim	8		35	0.55	1.0	33.0	28.0		53.44910589099891	0.5879896990009001
4.0	50.57462796699838	response	8	k		0.55	1.0	33.0	28.0		54.029977225996845	
4.0	50.58174633100134	choice	8		36					2.0	54.03709558999981	0.011712544001056813
4.0	50.5934588750024	stim	9		240	0.55	1.0	33.0	28.0		54.048808134000865	4.000184167998668
5.0	54.593643043001066	stim	0		15	0.55	1.0	8.0	7.0		58.04899230199953	0.24962684100319166
5.0	54.84326988400426	stim	1		18	0.55	1.0	8.0	7.0		58.298619143002725	0.29976239599636756
5.0	55.143032280000625	stim	2		18	0.55	1.0	8.0	7.0		58.59838153899909	0.2998191160004353
5.0	55.44285139600106	stim	3		30	0.55	1.0	8.0	7.0		58.89820065499953	0.500469480000902
5.0	55.94332087600196	stim	4		36	0.55	1.0	8.0	7.0		59.39867013500043	0.6001976850020583
5.0	56.54351856100402	stim	5		300	0.55	1.0	8.0	7.0		59.99886782000249	4.999618914996972
5.0	61.54313747600099	stim	6		18	0.55	1.0	8.0	7.0		64.99848673499946	0.2999493289971724
5.0	61.843086804998165	stim	7		18	0.55	1.0	8.0	7.0		65.29843606399663	0.30009955600689864
5.0	62.143186361005064	stim	8		36	0.55	1.0	8.0	7.0		65.59853562000353	0.5998110229993472
5.0	62.74299738400441	stim	9		55	0.55	1.0	8.0	7.0		66.19834664300288	0.9240422609946108
5.0	63.66251195500081	response	9	k		0.55	1.0	8.0	7.0		67.11786121399928	
5.0	63.66703964499902	choice	9		240					2.0	67.12238890399749	3.076303216002998
6.0	66.74334286100202	stim	0		15	0.55	1.0	66.0	28.0		70.19869212000049	0.24981570299860323
6.0	66.99315856400062	stim	1		18	0.55	1.0	66.0	28.0		70.44850782299909	0.30006811500061303
6.0	67.29322667900124	stim	2		18	0.55	1.0	66.0	28.0		70.7485759379997	0.30010071900323965
6.0	67.59332739800448	stim	3		30	0.55	1.0	66.0	28.0		71.04867665700294	0.51473460199486
6.0	68.10806199999934	stim	4		17	0.55	1.0	66.0	28.0		71.5634112589978	0.5828698430050281
6.0	68.69093184300436	stim	5		301	0.55	1.0	66.0	28.0		72.14628110200283	5.00227739699767
6.0	73.69320924000203	stim	6		18	0.55	1.0	66.0	28.0		77.1485584990005	0.2996342559999903
6.0	73.99284349600202	stim	7		18	0.55	1.0	66.0	28.0		77.44819275500049	0.3001728879971779
6.0	74.2930163839992	stim	8		36	0.55	1.0	66.0	28.0		77.74836564299767	0.600116211004206
6.0	74.89313259500341	stim	9		38	0.55	1.0	66.0	28.0		78.34848185400188	0.6391303039999912
6.0	75.52795716500259	response	9	j		0.55	1.0	66.0	28.0		78.98330642400106	
6.0	75.5322628990034	choice	9		240					1.0	78.98761215800187	3.360717562994978
7.0	78.89298046199838	stim	0		15	0.55	1.0	11.0	7.0		82.34832972099684	0.2497114230063744
7.0	79.14269188500475	stim	1		18	0.55	1.0	11.0	7.0		82.59804114400322	0.30024669299746165
7.0	79.44293857800221	stim	2		18	0.55	1.0	11.0	7.0		82.89828783700068	0.3002710560031119
7.0	79.74320963400532	stim	3		30	0.55	1.0	11.0	7.0		83.19855889300379	0.499862550997932
7.0	80.24307218500326	stim	4		36	0.55	1.0	11.0	7.0		83.69842144400172	0.5997535689966753
