label	order	n_safe	ratio	quantity	lo	mid	hi
log-power-percpmu.mapjitter.klw	Risky first	7.0	1.2	p_vertex	0.1737314138218417	0.21916268823409707	0.269323269239535
log-power-percpmu.mapjitter.klw	Risky first	7.0	1.233392832614218	p_vertex	0.1892576594300821	0.23457318647717101	0.28428823775233686
log-power-percpmu.mapjitter.klw	Risky first	7.0	1.267714899620104	p_vertex	0.2058364572050142	0.2510530334023313	0.2999468083450182
log-power-percpmu.mapjitter.klw	Risky first	7.0	1.3029920591580744	p_vertex	0.22423407817752902	0.2686059751452251	0.3164388180102138
log-power-percpmu.mapjitter.klw	Risky first	7.0	1.339250888932342	p_vertex	0.243764601616245	0.2871821179785281	0.33397982731628223
log-power-percpmu.mapjitter.klw	Risky first	7.0	1.3765187062344757	p_vertex	0.2638399913844623	0.30667330738195386	0.35264469085181327
log-power-percpmu.mapjitter.klw	Risky first	7.0	1.4148235885241658	p_vertex	0.2850486390282037	0.3273358744038264	0.3718661866096316
log-power-percpmu.mapjitter.klw	Risky first	7.0	1.454194394582695	p_vertex	0.3074757101084119	0.34878467898152626	0.3919865101843405
log-power-percpmu.mapjitter.klw	Risky first	7.0	1.4946607862550567	p_vertex	0.33075846844921436	0.3710634847750397	0.41259445586034044
log-power-percpmu.mapjitter.klw	Risky first	7.0	1.5362532507970992	p_vertex	0.35478256525026874	0.3940691612186778	0.4343677257664515
log-power-percpmu.mapjitter.klw	Risky first	7.0	1.579003123844529	p_vertex	0.3792535236255532	0.4176354315813459	0.4563355448717848
log-power-percpmu.mapjitter.klw	Risky first	7.0	1.6229426130210856	p_vertex	0.4040357682236543	0.441688905764907	0.4788754225881619
log-power-percpmu.mapjitter.klw	Risky first	7.0	1.6681048222036647	p_vertex	0.42945463085412044	0.4658604309008687	0.5014539626224499
log-power-percpmu.mapjitter.klw	Risky first	7.0	1.714523776462679	p_vertex	0.45470385800385005	0.4901458859648644	0.5244206315592814
log-power-percpmu.mapjitter.klw	Risky first	7.0	1.7622344476964418	p_vertex	0.4797814379930171	0.5142972122404957	0.5472719488417545
log-power-percpmu.mapjitter.klw	Risky first	7.0	1.8112727809788889	p_vertex	0.5047069779352779	0.5382597923772987	0.569964131537822
log-power-percpmu.mapjitter.klw	Risky first	7.0	1.861675721640487	p_vertex	0.5290658511266513	0.5618807395761415	0.5925072780627136
log-power-percpmu.mapjitter.klw	Risky first	7.0	1.9134812431027324	p_vertex	0.5530135625753689	0.5849375788941469	0.6145852349040613
log-power-percpmu.mapjitter.klw	Risky first	7.0	1.9667283754872122	p_vertex	0.5763757531657347	0.6072062110327369	0.6359594580321768
log-power-percpmu.mapjitter.klw	Risky first	7.0	2.021457235020777	p_vertex	0.5988676782773573	0.6287779365111472	0.6567264549828441
log-power-percpmu.mapjitter.klw	Risky first	7.0	2.0777090542589844	p_vertex	0.6203855711931539	0.6495334708139784	0.6767870583508592
log-power-percpmu.mapjitter.klw	Risky first	7.0	2.1355262131505808	p_vertex	0.6407745610541865	0.6694154099600819	0.6958869831881932
log-power-percpmu.mapjitter.klw	Risky first	7.0	2.1949522709664246	p_vertex	0.6602816362296311	0.6883511325376253	0.7141924478268069
log-power-percpmu.mapjitter.klw	Risky first	7.0	2.256031999116908	p_vertex	0.6788782517784668	0.7062434042387877	0.7314988610506928
log-power-percpmu.mapjitter.klw	Risky first	7.0	2.3188114148826	p_vertex	0.6964834614236819	0.7232303373356375	0.7480353586195576
log-power-percpmu.mapjitter.klw	Risky first	7.0	2.3833378160835275	p_vertex	0.7129472606757078	0.7393532020399742	0.7635759049958559
log-power-percpmu.mapjitter.klw	Risky first	7.0	2.4496598167132055	p_vertex	0.7285028126147942	0.7545301459054506	0.7781882276512051
