label	order	n_safe	ratio	quantity	lo	mid	hi
log-power-percmem.mapjitter.klw	Risky first	7.0	1.2	p_vertex	0.14500278662901467	0.18702598355153688	0.23242546071298031
log-power-percmem.mapjitter.klw	Risky first	7.0	1.233392832614218	p_vertex	0.16079326794692902	0.203178614976936	0.24795256546437947
log-power-percmem.mapjitter.klw	Risky first	7.0	1.267714899620104	p_vertex	0.17808371724812386	0.22049122788471232	0.2649031024985697
log-power-percmem.mapjitter.klw	Risky first	7.0	1.3029920591580744	p_vertex	0.1971522286877798	0.23906706714452064	0.28350661937809574
log-power-percmem.mapjitter.klw	Risky first	7.0	1.339250888932342	p_vertex	0.21776549751199611	0.25932366550391406	0.30270662023009903
log-power-percmem.mapjitter.klw	Risky first	7.0	1.3765187062344757	p_vertex	0.23967336272252088	0.2806508024206829	0.3238219816768056
log-power-percmem.mapjitter.klw	Risky first	7.0	1.4148235885241658	p_vertex	0.26342531919640516	0.3035246612244551	0.34574018142560187
log-power-percmem.mapjitter.klw	Risky first	7.0	1.454194394582695	p_vertex	0.28872039056895804	0.32786655135897974	0.3692810686688636
log-power-percmem.mapjitter.klw	Risky first	7.0	1.4946607862550567	p_vertex	0.31540364365270873	0.35339553768009757	0.3937765915919192
log-power-percmem.mapjitter.klw	Risky first	7.0	1.5362532507970992	p_vertex	0.3432247161553742	0.3800930101487473	0.41981516185874024
log-power-percmem.mapjitter.klw	Risky first	7.0	1.579003123844529	p_vertex	0.3713637053014054	0.40769146745550144	0.44639872180607454
log-power-percmem.mapjitter.klw	Risky first	7.0	1.6229426130210856	p_vertex	0.4007093070877747	0.43602762105350634	0.47336935920419054
log-power-percmem.mapjitter.klw	Risky first	7.0	1.6681048222036647	p_vertex	0.430816074010176	0.4649421675546577	0.501289432840817
log-power-percmem.mapjitter.klw	Risky first	7.0	1.714523776462679	p_vertex	0.4605472598913597	0.49398857516897876	0.5293543046798209
log-power-percmem.mapjitter.klw	Risky first	7.0	1.7622344476964418	p_vertex	0.49039617886448705	0.523135953135441	0.5572405973325664
log-power-percmem.mapjitter.klw	Risky first	7.0	1.8112727809788889	p_vertex	0.5198641915314034	0.5518081969211017	0.5849122086051136
log-power-percmem.mapjitter.klw	Risky first	7.0	1.861675721640487	p_vertex	0.5491411997206745	0.5800547806054147	0.6123644633907019
log-power-percmem.mapjitter.klw	Risky first	7.0	1.9134812431027324	p_vertex	0.5773743201356535	0.6074389632946373	0.6387791475492564
log-power-percmem.mapjitter.klw	Risky first	7.0	1.9667283754872122	p_vertex	0.6045793236665765	0.6340435072998019	0.6640981963581012
log-power-percmem.mapjitter.klw	Risky first	7.0	2.021457235020777	p_vertex	0.6304488879368673	0.6593590492398801	0.6885207109296674
log-power-percmem.mapjitter.klw	Risky first	7.0	2.0777090542589844	p_vertex	0.6550427946236711	0.6833509273957291	0.7112513014845695
log-power-percmem.mapjitter.klw	Risky first	7.0	2.1355262131505808	p_vertex	0.6783113046491118	0.7059056455398287	0.732691768160025
log-power-percmem.mapjitter.klw	Risky first	7.0	2.1949522709664246	p_vertex	0.700305801865518	0.7271650429136834	0.7529995520751334
log-power-percmem.mapjitter.klw	Risky first	7.0	2.256031999116908	p_vertex	0.7208878304032343	0.7470108775251543	0.7717661941321381
log-power-percmem.mapjitter.klw	Risky first	7.0	2.3188114148826	p_vertex	0.7402583298984459	0.76555963521001	0.7893621232008042
log-power-percmem.mapjitter.klw	Risky first	7.0	2.3833378160835275	p_vertex	0.7581686978241984	0.7827682874316123	0.8059077312095535
log-power-percmem.mapjitter.klw	Risky first	7.0	2.4496598167132055	p_vertex	0.7749814680276284	0.7986892571077362	0.8210040036925859
log-power-percmem.mapjitter.klw	Risky first	7.0	2.5178273835642724	p_vertex	0.7906008790763779	0.8134724702977523	0.8348313996527073
log-power-percmem.mapjitter.klw	Risky first	7.0	2.58789187387332	p_vertex	0.8047865529407578	0.8269590038335017	0.8476027333043306
log-power-percmem.mapjitter.klw	Risky first	7.0	2.659906074013276	p_vertex	0.8179647386620731	0.8394864498692801	0.8592185709125986
log-power-percmem.mapjitter.klw	Risky first	7.0	2.7339242392624983	p_vertex	0.8301770046897036	0.8509538751906348	0.8700015701207695
log-power-percmem.mapjitter.klw	Risky first	7.0	2.8100021346805373	p_vertex	0.8414736649673071	0.8615153685015269	0.8798504687475205
log-power-percmem.mapjitter.klw	Risky first	7.0	2.8881970771213568	p_vertex	0.8517512621794098	0.8711600392420289	0.8887875361911378
log-power-percmem.mapjitter.klw	Risky first	7.0	2.9685679784156793	p_vertex	0.8612195048795712	0.880064163486729	0.8969128790185907
log-power-percmem.mapjitter.klw	Risky first	7.0	3.051175389754982	p_vertex	0.8699003849234902	0.8882005386871213	0.9044923779912666
log-power-percmem.mapjitter.klw	Risky first	7.0	3.1360815473105736	p_vertex	0.8779748014339909	0.8956998758076717	0.9113364636394901
log-power-percmem.mapjitter.klw	Risky first	7.0	3.2233504191221405	p_vertex	0.8854931753926142	0.9025660168687664	0.9176565380292365
log-power-percmem.mapjitter.klw	Risky first	7.0	3.31304775329107	p_vertex	0.8923273270717452	0.9088562174842347	0.9234711165616902
log-power-percmem.mapjitter.klw	Risky first	7.0	3.40524112751487	p_vertex	0.8987074470654793	0.9146727921441302	0.9288556265990996
log-power-percmem.mapjitter.klw	Risky first	7.0	3.5000000000000004	p_vertex	0.9046462934640572	0.920046782608064	0.9338033824758654
log-power-percmem.mapjitter.klw	Risky first	7.0	1.2	p_full	0.17494422181158908	0.21951948833235518	0.2700157371376941
log-power-percmem.mapjitter.klw	Risky first	7.0	1.233392832614218	p_full	0.19128879638686935	0.23602700042450533	0.2858456519097545
log-power-percmem.mapjitter.klw	Risky first	7.0	1.267714899620104	p_full	0.20915181761347507	0.2535696190667259	0.3021627223133187
log-power-percmem.mapjitter.klw	Risky first	7.0	1.3029920591580744	p_full	0.22853091407844148	0.2721803573693089	0.31997593361195165
log-power-percmem.mapjitter.klw	Risky first	7.0	1.339250888932342	p_full	0.24848112918593543	0.29179524403714496	0.3385998166899407
log-power-percmem.mapjitter.klw	Risky first	7.0	1.3765187062344757	p_full	0.27020286380806197	0.31269944450638054	0.3584217012245757
log-power-percmem.mapjitter.klw	Risky first	7.0	1.4148235885241658	p_full	0.29285998076252856	0.3344288500798854	0.3786212905470424
