trial_nr	onset	event_type	phase	response	nr_frames	prob1	prob2	n1	n2	choice	onset_abs	duration
1.0	0.015484357994864695	stim	0		1767						3.4298488500062376	29.51634971999738
1.0	29.51481134998903	response	0	space							32.929175842000404	
1.0	29.531834077992244	stim	0		301						32.94619857000362	5.010145057007321
1.0	32.98970507198828	response	0	space							36.404069563999656	
1.0	34.541979134999565	stim	0		15	0.55	1.0	33.0	10.0		37.95634362701094	0.24253825900086667
1.0	34.78451739400043	stim	1		18	0.55	1.0	33.0	10.0		38.198881886011804	0.29988824999600183
1.0	35.08440564399643	stim	2		18	0.55	1.0	33.0	10.0		38.498770136007806	0.300065650997567
1.0	35.384471294994	stim	3		30	0.55	1.0	33.0	10.0		38.79883578700537	0.5055209580023075
1.0	35.88999225299631	stim	4		36	0.55	1.0	33.0	10.0		39.30435674500768	0.5941000989987515
1.0	36.48409235199506	stim	5		300	0.55	1.0	33.0	10.0		39.89845684400643	5.000255350998486
1.0	41.484347702993546	stim	6		18	0.55	1.0	33.0	10.0		44.89871219500492	0.30006082099862397
1.0	41.78440852399217	stim	7		18	0.55	1.0	33.0	10.0		45.19877301600354	0.2997463189967675
1.0	42.08415484298894	stim	8		36	0.55	1.0	33.0	10.0		45.49851933500031	0.6003306130005512
1.0	42.68448545598949	stim	9		18	0.55	1.0	33.0	10.0		46.09884994800086	0.3088589100079844
1.0	42.98627683900122	response	9	j		0.55	1.0	33.0	10.0		46.400641331012594	
1.0	42.99334436599747	choice	9		240					1.0	46.407708858008846	3.6907256419945043
2.0	46.68407000799198	stim	0		15	0.55	1.0	39.0	28.0		50.09843450000335	0.2501561070093885
2.0	46.934226115001366	stim	1		18	0.55	1.0	39.0	28.0		50.34859060701274	0.3002161419863114
2.0	47.23444225698768	stim	2		18	0.55	1.0	39.0	28.0		50.64880674899905	0.2997853310080245
2.0	47.5342275879957	stim	3		30	0.55	1.0	39.0	28.0		50.948592080007074	0.5040044859924819
2.0	48.03823207398818	stim	4		33	0.55	1.0	39.0	28.0		51.452596565999556	0.612464344012551
2.0	48.650696418000734	stim	5		299	0.55	1.0	39.0	28.0		52.06506091001211	4.983731362997787
2.0	53.63442778099852	stim	6		18	0.55	1.0	39.0	28.0		57.048792273009894	0.29968469600134995
2.0	53.93411247699987	stim	7		18	0.55	1.0	39.0	28.0		57.348476969011244	0.30176775899599306
2.0	54.235880235995864	stim	8		31	0.55	1.0	39.0	28.0		57.65024472800724	0.6059928000031505
2.0	54.841873035999015	stim	9		23	0.55	1.0	39.0	28.0		58.25623752801039	0.3906650019926019
2.0	55.22713982399728	response	9	k		0.55	1.0	39.0	28.0		58.64150431600865	
2.0	55.23253803799162	choice	9		240					2.0	58.64690253000299	3.608656565003912
3.0	58.84119460299553	stim	0		15	0.55	1.0	23.0	7.0		62.2555590950069	0.25014895299682394
3.0	59.09134355599235	stim	1		18	0.55	1.0	23.0	7.0		62.505708048003726	0.29980086800060235
3.0	59.391144423992955	stim	2		18	0.55	1.0	23.0	7.0		62.80550891600433	0.30007318100251723
3.0	59.69121760499547	stim	3		29	0.55	1.0	23.0	7.0		63.105582097006845	0.5056956299958983
3.0	60.19691323499137	stim	4		28	0.55	1.0	23.0	7.0		63.611277727002744	0.5983028930058936
3.0	60.795216127997264	stim	5		299	0.55	1.0	23.0	7.0		64.20958062000864	4.995622489994275
3.0	65.79083861799154	stim	6		18	0.55	1.0	23.0	7.0		69.20520311000291	0.30002678200253285
3.0	66.09086539999407	stim	7		18	0.55	1.0	23.0	7.0		69.50522989200545	0.2998941450059647
3.0	66.39075954500004	stim	8		36	0.55	1.0	23.0	7.0		69.80512403701141	0.6000922649982385
3.0	66.99085180999828	stim	9		34	0.55	1.0	23.0	7.0		70.40521630200965	0.5912491990020499
3.0	67.57718167798885	response	9	j		0.55	1.0	23.0	7.0		70.99154617000022	
3.0	67.58210100900033	choice	9		238					1.0	70.9964655010117	3.401855150994379
4.0	70.9839561599947	stim	0		15	0.55	1.0	33.0	20.0		74.39832065200608	0.24995944599504583
4.0	71.23391560598975	stim	1		18	0.55	1.0	33.0	20.0		74.64828009800112	0.3000078949989984
4.0	71.53392350098875	stim	2		18	0.55	1.0	33.0	20.0		74.94828799300012	0.29982220100646373
4.0	71.83374570199521	stim	3		30	0.55	1.0	33.0	20.0		75.24811019400659	0.5036214360006852
4.0	72.3373671379959	stim	4		36	0.55	1.0	33.0	20.0		75.75173163000727	0.5965847890038276
4.0	72.93395192699973	stim	5		300	0.55	1.0	33.0	20.0		76.3483164190111	4.999937303990009
