label	order	n_safe	lo	mid	hi	quantity	observed	observed_sem
log-power-n1n2	Risky first	7.0	-2.4251735350613277	-0.5907285660240502	1.3424234270526039	rel_risky		
log-power-n1n2	Risky first	10.0	-1.620320014126999	-0.14869395900891147	1.2540765395341453	rel_risky		
log-power-n1n2	Risky first	14.0	-1.2040813702477304	0.8994470131475822	2.8188271376601426	rel_risky		
log-power-n1n2	Risky first	20.0	-0.4009827852696256	2.839275047622777	6.151720773674799	rel_risky		
log-power-n1n2	Risky first	28.0	0.886800702196242	5.773383111646689	11.358410321099887	rel_risky		
log-power-n1n2	Risky second	7.0	-0.5118710392308631	1.0727173881646233	2.851180921487089	rel_risky		
log-power-n1n2	Risky second	10.0	-0.9427142946961136	0.4261008083417285	1.861926195490339	rel_risky		
log-power-n1n2	Risky second	14.0	-0.8567307270355996	0.8756003823492633	2.784974092600992	rel_risky		
log-power-n1n2	Risky second	20.0	0.1372731046560993	3.1010036075262644	6.907476126008071	rel_risky		
log-power-n1n2	Risky second	28.0	2.318739444334999	7.774331930674348	15.000448872303886	rel_risky		
log-power-n1n2	Risky first	7.0	-0.26624299260516604	1.5109130246965785	4.005243274508371	rel_safe		
log-power-n1n2	Risky first	10.0	-0.6713572016085161	0.5805750205141422	2.228390528632236	rel_safe		
log-power-n1n2	Risky first	14.0	-1.4400149458556748	-0.0433654641949342	1.3799714213259104	rel_safe		
log-power-n1n2	Risky first	20.0	-2.2210310863578675	-0.34174341729010366	1.3142858212853836	rel_safe		
log-power-n1n2	Risky first	28.0	-2.4887397303735477	-0.15022925297308393	2.439302430676393	rel_safe		
log-power-n1n2	Risky second	7.0	-2.935551823684699	-0.4105200754872592	2.21485223386294	rel_safe		
log-power-n1n2	Risky second	10.0	-2.6114674641283626	-0.7283778611572829	1.0393868888155402	rel_safe		
log-power-n1n2	Risky second	14.0	-2.534016145482606	-0.814315826071994	0.8600518935162847	rel_safe		
log-power-n1n2	Risky second	20.0	-2.553185826078566	-0.502719522959812	1.5535872419585186	rel_safe		
log-power-n1n2	Risky second	28.0	-2.443803948717851	0.259385635828286	2.833160468669126	rel_safe		
log-power-n1n2	Risky first	7.0	0.9546868479290747	0.9833516854126172	1.0070676951486262	ratio_shift		
log-power-n1n2	Risky first	10.0	0.9755576216201257	0.9957823865034174	1.0124474926405527	ratio_shift		
log-power-n1n2	Risky first	14.0	0.990801544757634	1.0120738232189934	1.033237220942014	ratio_shift		
log-power-n1n2	Risky first	20.0	1.0043244000856422	1.0344917722960307	1.0687170825301897	ratio_shift		
log-power-n1n2	Risky first	28.0	1.0147868145590815	1.061412700231578	1.1162537882892651	ratio_shift		
log-power-n1n2	Risky second	7.0	0.9933674317015935	1.0240613833395849	1.0642286550038063	ratio_shift		
log-power-n1n2	Risky second	10.0	1.0003627427524535	1.0180929364776357	1.04205264573121	ratio_shift		
log-power-n1n2	Risky second	14.0	1.002068048732407	1.022254554039542	1.047529169569099	ratio_shift		
log-power-n1n2	Risky second	20.0	1.0117664560606552	1.041906597681276	1.0830084362253232	ratio_shift		
log-power-n1n2	Risky second	28.0	1.0259577715620867	1.0819859273115546	1.1503948920411387	ratio_shift		
log-power-n1n2	Risky first	7.0	0.628397992770014	0.6507595373822588	0.6765608176912803	p_vertex		
log-power-n1n2	Risky first	10.0	0.567496997996773	0.583457344344888	0.6048333382913054	p_vertex		
log-power-n1n2	Risky first	14.0	0.5058510707358252	0.5240477073306704	0.5422226754767671	p_vertex		
log-power-n1n2	Risky first	20.0	0.45199208266267893	0.4737651900940435	0.49311253662427107	p_vertex		
log-power-n1n2	Risky first	28.0	0.41106869269575125	0.4360351190595448	0.46264353342634995	p_vertex		
log-power-n1n2	Risky second	7.0	0.5498069469470437	0.5742720567535454	0.5978423885247055	p_vertex		
log-power-n1n2	Risky second	10.0	0.5774640444151278	0.5939147861461225	0.6117237639383895	p_vertex		
log-power-n1n2	Risky second	14.0	0.5758883768386514	0.5936176809252699	0.6107801979628074	p_vertex		
log-power-n1n2	Risky second	20.0	0.5582325318829007	0.578733951544694	0.5950995273209737	p_vertex		
log-power-n1n2	Risky second	28.0	0.5178621929509833	0.5476077425438399	0.573161911463197	p_vertex		
log-power-n1n2	Risky first	7.0	0.6135879011832196	0.6397184277379118	0.6612938290368656	p_ips		
log-power-n1n2	Risky first	10.0	0.5618809759668137	0.5784740351695137	0.5932366713062375	p_ips		
log-power-n1n2	Risky first	14.0	0.5052053493048508	0.5212398073019974	0.537885267813742	p_ips		
log-power-n1n2	Risky first	20.0	0.4576458313932115	0.47600624545006	0.49590696505158566	p_ips		
log-power-n1n2	Risky first	28.0	0.42399044826128574	0.4497357671850634	0.47149971584554534	p_ips		
log-power-n1n2	Risky second	7.0	0.5648948134990934	0.5907899937418473	0.6157353276437271	p_ips		
log-power-n1n2	Risky second	10.0	0.5908728470401419	0.6079504213216111	0.6257403067491326	p_ips		
log-power-n1n2	Risky second	14.0	0.591017608409807	0.6077892015985449	0.6268404974366308	p_ips		
log-power-n1n2	Risky second	20.0	0.5728327606341269	0.5931036437013858	0.6151354956594882	p_ips		
log-power-n1n2	Risky second	28.0	0.5373490479697651	0.5654474353797544	0.5905646460017658	p_ips		
log-power-n1n2	Risky first	7.0	-0.036265018564608106	-0.01232718198651736	0.00813876915568495	dp		
log-power-n1n2	Risky first	10.0	-0.023605143758368544	-0.005842362284352323	0.011783783167878212	dp		
log-power-n1n2	Risky first	14.0	-0.022528917823230722	-0.002155122958743957	0.01492066585077425	dp		
log-power-n1n2	Risky first	20.0	-0.019444034064993333	0.003763996325355655	0.027397814093451486	dp		
log-power-n1n2	Risky first	28.0	-0.016242902572656655	0.01437946640319427	0.04133956906548135	dp		
log-power-n1n2	Risky second	7.0	-0.008311625268375795	0.016700501920761487	0.04629392817582852	dp		
log-power-n1n2	Risky second	10.0	-0.0025826492787799234	0.013647583096023473	0.034211912349995495	dp		
log-power-n1n2	Risky second	14.0	-0.0036866044406817446	0.015010128358254674	0.034056558585917565	dp		
log-power-n1n2	Risky second	20.0	-0.008542473422933468	0.01591356083175908	0.04092139238206056	dp		
log-power-n1n2	Risky second	28.0	-0.015905104575944778	0.01839963231452359	0.05241291653349262	dp		
log-power-n1n2	Risky first	7.0				dp_observed	-0.003564213564213565	0.03609656059327895
log-power-n1n2	Risky first	10.0				dp_observed	0.019004329004329006	0.031872359979577984
log-power-n1n2	Risky first	14.0				dp_observed	-0.004632034632034642	0.041446960759510966
log-power-n1n2	Risky first	20.0				dp_observed	-0.027489177489177494	0.042985399933987666
log-power-n1n2	Risky first	28.0				dp_observed	0.04402597402597404	0.04149585065705767
log-power-n1n2	Risky second	7.0				dp_observed	0.09588744588744588	0.04111927498400671
log-power-n1n2	Risky second	10.0				dp_observed	0.010995670995671003	0.03478012487003009
log-power-n1n2	Risky second	14.0				dp_observed	0.07272727272727272	0.042458333277957935
log-power-n1n2	Risky second	20.0				dp_observed	0.04675324675324675	0.04130364313616211
log-power-n1n2	Risky second	28.0				dp_observed	0.03809523809523809	0.03959748120196977
