label	order	n_safe	ratio	n_risky	quantity	lo	mid	hi
log-power-n1n2	Risky first	7.0	1.2	8.4	rel_risky	-3.6980467661547642	1.2606040116155652	6.283592523143035
log-power-n1n2	Risky first	7.0	1.2547336039483463	8.783135227638425	rel_risky	-3.452066675613506	1.1416664244087904	5.806517019394004
log-power-n1n2	Risky first	7.0	1.3119636807310047	9.183745765117033	rel_risky	-3.2587098702224964	1.0268256091326708	5.342821893905772
log-power-n1n2	Risky first	7.0	1.3718040978107926	9.602628684675548	rel_risky	-3.0702111953533238	0.9081669098471397	4.911413818336164
log-power-n1n2	Risky first	7.0	1.4343739162977047	10.040617414083933	rel_risky	-2.8443579422447094	0.7888315832909762	4.51202116863314
log-power-n1n2	Risky first	7.0	1.4997976278381022	10.498583394866715	rel_risky	-2.607524930983192	0.7026288848651747	4.11630365245692
log-power-n1n2	Risky first	7.0	1.5682054023087357	10.97743781616115	rel_risky	-2.4216140557274457	0.6102687252395896	3.7190446902255316
log-power-n1n2	Risky first	7.0	1.6397333468084219	11.478133427658953	rel_risky	-2.247950459981536	0.5226796271509652	3.3065948548290587
log-power-n1n2	Risky first	7.0	1.714523776462679	12.001666435238754	rel_risky	-2.053987011445566	0.44434646722404525	2.960981387614256
log-power-n1n2	Risky first	7.0	1.792725497580122	12.549078483060853	rel_risky	-1.89206296553827	0.3597685238374396	2.591831036593761
log-power-n1n2	Risky first	7.0	1.874494103723999	13.121458726067994	rel_risky	-1.7124958918337738	0.2887323256235418	2.2973167508397387
log-power-n1n2	Risky first	7.0	1.959992285287949	13.719945997015643	rel_risky	-1.5319366153834855	0.216087052663677	2.00777381842765
log-power-n1n2	Risky first	7.0	2.0493901531919194	14.345731072343437	rel_risky	-1.3394373800574837	0.15182699018626522	1.743412410996622
log-power-n1n2	Risky first	7.0	2.142865577342292	15.000059041396046	rel_risky	-1.1919026156874366	0.09367948409014962	1.512981232954217
log-power-n1n2	Risky first	7.0	2.2406045405296235	15.684231783707364	rel_risky	-1.0471889426621313	0.05503821897254493	1.2886544090911276
log-power-n1n2	Risky first	7.0	2.342801508468136	16.399610559276955	rel_risky	-0.9018518387231089	0.02524112640643673	1.0603888264342722
log-power-n1n2	Risky first	7.0	2.4496598167132055	17.14761871699244	rel_risky	-0.8137500248404531	0.009920357633128617	0.8481465970334297
log-power-n1n2	Risky first	7.0	2.5613920752266717	17.929744526586703	rel_risky	-0.7477307809155339	0.001132707734835179	0.6883169663697551
log-power-n1n2	Risky first	7.0	2.678220591394913	18.747544139764393	rel_risky	-0.703052747538846	-0.0017515413132528483	0.5660024731504113
log-power-n1n2	Risky first	7.0	2.8003778123413423	19.602644686389397	rel_risky	-0.757101961672511	-0.005383136201503198	0.5898347853351146
log-power-n1n2	Risky first	7.0	2.9281067874133657	20.49674751189356	rel_risky	-0.8420426254840089	-0.008375993108927862	0.6806400619100673
log-power-n1n2	Risky first	7.0	3.0616616517639894	21.431631562347924	rel_risky	-0.9669993940965017	-0.009561967043850986	0.8355523401377498
log-power-n1n2	Risky first	7.0	3.2013081319902303	22.40915692393161	rel_risky	-1.1045617936168848	-0.012202842620485774	0.9934880892335813
log-power-n1n2	Risky first	7.0	3.347324074834376	23.431268523840632	rel_risky	-1.236250652910976	-0.005281035641744838	1.18569433701937
