curve	region	mean	lo	hi	p_gt0
n1 (first)	7-28 CHF	0.008056892838187217	-0.03791763105823418	0.03525557445520707	0.754
n1 (first)	28-112 CHF	-0.023766842744649477	-0.11360829125963427	0.021684331111125374	0.064
n2 (second)	7-28 CHF	0.0030803930031913724	-0.0398066699001663	0.02174889024765399	0.755
n2 (second)	28-112 CHF	-0.025905455985971087	-0.1541196441310278	0.03142741113164957	0.064
memory	7-28 CHF	0.0	0.0	0.0	0.0
memory	28-112 CHF	0.0	0.0	0.0	0.0
perceptual	7-28 CHF	0.0030803930031913724	-0.0398066699001663	0.02174889024765399	0.755
perceptual	28-112 CHF	-0.025905455985971087	-0.1541196441310278	0.03142741113164957	0.064
