curve	stim	payoff	median	lo	hi
n1 (first)	ips	7.0	0.2537204204790443	0.2156562740447113	0.3036649523589392
n1 (first)	ips	7.515760138376831	0.2530512892159003	0.21646057438575042	0.3014241949115384
n1 (first)	ips	8.069521493944878	0.25260807415423425	0.217022469949828	0.29974596815823934
n1 (first)	ips	8.664083997137995	0.2522014673419414	0.21749451936607922	0.297627224465978
n1 (first)	ips	9.302453877319765	0.25195394343717586	0.21834444492194055	0.2956752533311238
n1 (first)	ips	9.987858862892699	0.25158100115862736	0.219423749492436	0.29379634140883404
n1 (first)	ips	10.723764501351813	0.2512514121953497	0.2200009784941932	0.2917765198737453
n1 (first)	ips	11.513891681800072	0.2509972899080191	0.22050579399306303	0.2897980423120748
n1 (first)	ips	12.362235448523078	0.2510230652304148	0.22145851493823238	0.28788596643854153
n1 (first)	ips	13.2730852007484	0.25071644150170924	0.22160655566560736	0.2867100943599355
n1 (first)	ips	14.251046380723466	0.2503066247426118	0.22184314914437508	0.28542781266699824
n1 (first)	ips	15.30106375977155	0.24998958380399305	0.22243729224005587	0.2846726163556892
n1 (first)	ips	16.42844644006477	0.24984411958225095	0.2229059309859828	0.2836739450416989
n1 (first)	ips	17.638894698528226	0.24950067811537693	0.22323754649740088	0.282791223877966
n1 (first)	ips	18.93852880860355	0.24918071676548675	0.2237104403688033	0.2815824535074175
n1 (first)	ips	20.33391998560055	0.24897018552526962	0.22403059364211092	0.2801563054034319
n1 (first)	ips	21.83212361210294	0.24859500612325813	0.22434451320521395	0.27926750355453794
n1 (first)	ips	23.440714911422702	0.248306013786592	0.2245750956795116	0.2783299814211908
n1 (first)	ips	25.16782724947516	0.24806022156497637	0.22449287074391783	0.27756901650284
n1 (first)	ips	27.02219325873709	0.24799329119033564	0.2244574547889745	0.2774188296156359
n1 (first)	ips	29.013188992218765	0.24798296285440768	0.22386260059936725	0.27665828200839016
n1 (first)	ips	31.15088133070163	0.24817085975791886	0.22387530666149927	0.2764412122495618
