curve	region	mean	lo	hi	p_gt0
n1 (first)	7-28 CHF	-0.005638499516861218	-0.02926172685005557	0.01776301069505698	0.3225
n1 (first)	28-112 CHF	-0.033210139642637145	-0.06847456388610523	-0.004185366326824694	0.0125
n2 (second)	7-28 CHF	0.034809675628964684	0.009135597956531273	0.060458233983604746	0.9965
n2 (second)	28-112 CHF	-0.016263375406958328	-0.046771067928295676	0.013501455495186976	0.1345
