curve	stim	payoff	median	lo	hi
n1 (first)	ips	7.0	0.22113008224819936	0.18221174121539363	0.2815775637345777
n1 (first)	ips	7.515760138376831	0.22540385284587955	0.18833534220590484	0.2793647254469343
n1 (first)	ips	8.069521493944878	0.23016213083589349	0.19366212818912718	0.27887831908109895
n1 (first)	ips	8.664083997137995	0.23483836241935063	0.19825391300409884	0.2805279059644014
n1 (first)	ips	9.302453877319765	0.23838406127804668	0.202016093123134	0.28418295388203735
n1 (first)	ips	9.987858862892699	0.24166474662411774	0.2048446961332412	0.2876764536199193
n1 (first)	ips	10.723764501351813	0.24398788861007992	0.20676773547622984	0.28975875064234563
n1 (first)	ips	11.513891681800072	0.2451643899058466	0.20860517102493656	0.2905268114562162
n1 (first)	ips	12.362235448523078	0.24565111080219612	0.20983028750700877	0.28919250265200147
n1 (first)	ips	13.2730852007484	0.24539378265563133	0.21070416128105338	0.28468702423424097
n1 (first)	ips	14.251046380723466	0.24424970508750232	0.21037222531651018	0.27989139508802496
n1 (first)	ips	15.30106375977155	0.24269123064361597	0.20996997207709261	0.27837090647364693
n1 (first)	ips	16.42844644006477	0.24114493369266238	0.2089802848481396	0.2771187211465427
n1 (first)	ips	17.638894698528226	0.23999171706275196	0.2071602462832504	0.2764347905580979
n1 (first)	ips	18.93852880860355	0.2387498911171596	0.20563054291905147	0.27516870195142856
n1 (first)	ips	20.33391998560055	0.23748963344956925	0.2037821235339875	0.27405087271253536
n1 (first)	ips	21.83212361210294	0.2355948709296819	0.2020386683756239	0.27265304594310213
n1 (first)	ips	23.440714911422702	0.23383104716116926	0.20076171565475728	0.2704169360994615
n1 (first)	ips	25.16782724947516	0.2318997976724242	0.20022085204700363	0.267968317138063
n1 (first)	ips	27.02219325873709	0.2300795968053917	0.2000878925559959	0.26492834647342717
n1 (first)	ips	29.013188992218765	0.22819711852683083	0.1998299503750111	0.2614276681616786
n1 (first)	ips	31.15088133070163	0.22657103791171407	0.1984939272162063	0.25870650405162793
n1 (first)	ips	33.44607888294205	0.22523419135321668	0.1974686155569471	0.25672552095560075
n1 (first)	ips	35.91038663620328	0.2242966144171215	0.19675650249053767	0.25522576419612303
n1 (first)	ips	38.55626463343955	0.22342733499296352	0.1956929280138142	0.2548745248972555
n1 (first)	ips	41.39709097381619	0.22259453306726912	0.1942632882052944	0.25494044851244896
n1 (first)	ips	44.44722945510958	0.2219697890242177	0.19359296599517373	0.2550388750581275
n1 (first)	ips	47.722102200000165	0.22169188880839646	0.19306922638887922	0.25467936587032136
n1 (first)	ips	51.23826763347236	0.2213694232869582	0.1927242937678688	0.25539601003430995
