curve	region	mean	lo	hi	p_gt0
n1 (first)	7-28 CHF	0.008748766203588236	-0.02240976933749786	0.03720108013467561	0.7325
n1 (first)	28-112 CHF	-0.02186218516166139	-0.05532827257856342	0.00454630106907176	0.0595
n2 (second)	7-28 CHF	0.0	0.0	0.0	0.0
n2 (second)	28-112 CHF	0.0	0.0	0.0	0.0
