curve	region	mean	lo	hi	p_gt0
n1 (first)	7-28 CHF	0.015376330044870946	-0.006063211765247274	0.035696538685808125	0.9195
n1 (first)	28-112 CHF	-0.009394148563321943	-0.026359423105561008	0.007761010835781318	0.1335
n2 (second)	7-28 CHF	0.013103513883008176	-0.00227970753442071	0.02868912384436283	0.947
n2 (second)	28-112 CHF	-0.006714363429438971	-0.020622824251055636	0.007821152485855595	0.1655
memory	7-28 CHF	0.0	0.0	0.0	0.0
memory	28-112 CHF	0.0	0.0	0.0	0.0
perceptual	7-28 CHF	0.013103513883008176	-0.00227970753442071	0.02868912384436283	0.947
perceptual	28-112 CHF	-0.006714363429438971	-0.020622824251055636	0.007821152485855595	0.1655
