curve	region	mean	lo	hi	p_gt0
n1 (first)	7-28 CHF	0.005212695673594112	-0.02697057871144769	0.03365120638947535	0.6525
n1 (first)	28-112 CHF	-0.009339485503083694	-0.033056429182012466	0.008744145739378463	0.188
n2 (second)	7-28 CHF	0.004466504291798095	-0.014368350056328584	0.021615444129781388	0.7045
n2 (second)	28-112 CHF	-0.010028972703642502	-0.029615191535392837	0.007802621756815795	0.1275
memory	7-28 CHF	-0.0007348193971332728	-0.06541850164178985	0.0731781598403058	0.4815
memory	28-112 CHF	0.0070259478535770305	-0.045030013447739756	0.056827159005097154	0.607
perceptual	7-28 CHF	0.004466504291798095	-0.014368350056328584	0.021615444129781388	0.7045
perceptual	28-112 CHF	-0.010028972703642502	-0.029615191535392837	0.007802621756815795	0.1275
