model	color	marker	prior_space	family	param	mean	lo	hi
PMC Weber shared	mediumblue	o	log	noise	σ_memory (n=20)	0.060146328765572785	0.038312738821475276	0.08408590856884475
PMC Weber shared	mediumblue	o	log	noise	σ_perceptual (n=20)	0.17452526701141588	0.1549171473076036	0.19579971683134395
PMC Weber shared	mediumblue	o	log	prior	safe prior median	11.624565122727093	6.706575863226666	18.586216399849782
PMC Weber shared	mediumblue	o	log	prior	risky prior median	19.814117571588863	15.630961329402885	24.52852619333247
PMC Weber shared	mediumblue	o	log	prior	safe prior σ †	0.6521897434762979	0.4419092315789203	0.9596620710622347
PMC Weber shared	mediumblue	o	log	prior	risky prior σ †	0.4068277262755605	0.3128685250853352	0.5304612073210125
DDM Weber shared	tab:green	o	log	noise	σ_memory (n=20)	0.10594498560022485	0.057984630720342045	0.1411683298358707
DDM Weber shared	tab:green	o	log	noise	σ_perceptual (n=20)	0.23422199810313055	0.1998823839283836	0.25182061957224416
DDM Weber shared	tab:green	o	log	prior	safe prior median	21.432753132026217	8.31378972460609	32.00370212664298
DDM Weber shared	tab:green	o	log	prior	risky prior median	20.838684928403676	16.251165787824988	23.72481457877154
DDM Weber shared	tab:green	o	log	prior	safe prior σ †	0.904132648000354	0.7069536459458546	1.1606230373909192
DDM Weber shared	tab:green	o	log	prior	risky prior σ †	0.6863586616588198	0.4705298457653075	0.9073586350554692
DDM Weber shared	tab:green	o	log	ssm	a  (threshold)	0.6079835634880988	0.5592445921425458	0.6557694052557106
DDM Weber shared	tab:green	o	log	ssm	t0  (NDT, s)	0.33455030987998957	0.2913962222180791	0.3644675077678381
RDM Weber shared	tab:orange	o	log	noise	σ_memory (n=20)	0.0872891489560471	0.05415370931967164	0.12649336808287828
RDM Weber shared	tab:orange	o	log	noise	σ_perceptual (n=20)	0.9801106938815337	0.7605293047499383	1.232947269677333
RDM Weber shared	tab:orange	o	log	prior	safe prior median	9.127789413147841	7.459317597449447	10.769899726659178
RDM Weber shared	tab:orange	o	log	prior	risky prior median	16.571575161826228	12.618849780385668	20.698483842498867
RDM Weber shared	tab:orange	o	log	prior	safe prior σ †	0.89193215122573	0.7243137508519937	1.0768264748265264
RDM Weber shared	tab:orange	o	log	prior	risky prior σ †	0.858049912137154	0.6984332556757976	1.0332494203827765
RDM Weber shared	tab:orange	o	log	ssm	a  (threshold)	0.8108177929241571	0.6311767839392063	1.006335854852213
RDM Weber shared	tab:orange	o	log	ssm	t0  (NDT, s)	0.12302049040252269	0.08274160415849371	0.1687065191907234
RDM Weber shared	tab:orange	o	log	ssm	w_0  (urgency / baseline)	0.6426202788546029	0.511279713640328	0.7882362337459202
RDM Weber shared	tab:orange	o	log	ssm	w_d  (drift on Δ utility)	1.8957298362195676	1.5064467218665263	2.3530356417240834
RDM Weber shared	tab:orange	o	log	ssm	w_s  (drift on total stake)	0.07198040515619165	0.03933713303660132	0.10783513507540646
DDM Weber indep	tab:green	s	log	noise	σ_n1  (indep)	0.28122459570742275	0.2484598923473158	0.31988270136522107
DDM Weber indep	tab:green	s	log	noise	σ_n2  (indep)	0.2383534179473711	0.19945930857884883	0.25063008258029107
DDM Weber indep	tab:green	s	log	prior	safe prior median	21.790303759143505	11.326029248550487	25.564879735548832
DDM Weber indep	tab:green	s	log	prior	risky prior median	25.090049962196304	19.61388979305377	27.22439999225733
DDM Weber indep	tab:green	s	log	prior	safe prior σ †	0.8789118319883388	0.7692323474019573	1.099367261819996
DDM Weber indep	tab:green	s	log	prior	risky prior σ †	0.5395807942459073	0.4972130385626237	0.6395978372422815
