order	stake	vertex_mean	ips_mean	vertex_lo	vertex_hi	ips_lo	ips_hi	p_ips_less
Risky second (safe first)	low	3.0243041408336313	2.3333651379930123	2.733089564212247	3.3074479727569197	2.065011651687359	2.6051031981469004	0.99975
Risky second (safe first)	high	1.7386615139957693	1.590265268565847	1.485687309461802	1.998948393268402	1.325194393195326	1.8528821189891382	0.796
Risky first	low	2.8336260797143584	2.602557858781216	2.553199252619002	3.119672811174387	2.3256966142733493	2.880887926920222	0.889
Risky first	high	1.846727058620043	1.967498001444005	1.5863639359368285	2.1100179680931244	1.7005771169377513	2.2354973045421724	0.247875
