order	stake	rung	observed	observed_sem	n_sub	frac	n_trials	x_centred
Risky first	high	1	0.10273972602739725	0.021719517797306444	73	1.6130363932645302	263	-0.5197191033491451
Risky first	high	2	0.1815068493150685	0.026379497735824983	73	1.799310344827586	290	-0.4104340149858404
Risky first	high	3	0.2534246575342466	0.03305304357151065	73	2.0697290640394086	290	-0.2704197529345974
Risky first	high	4	0.39840182648401823	0.03119431345459629	73	2.3811276287164613	394	-0.13026329565095784
Risky first	high	5	0.5228310502283104	0.033103448238415455	73	2.7432175622542596	436	0.01129405954306728
Risky first	high	6	0.6218036529680365	0.03256690795594423	73	3.2155973451327435	452	0.1701756751422645
Risky first	low	1	0.26200260926288327	0.024052929217115483	73	1.5177350427350427	468	-0.2604727584429317
Risky first	low	2	0.3781474233529028	0.030547165456376334	73	1.7660755336617406	435	-0.10893200621904764
Risky first	low	3	0.46552511415525116	0.02798878903708709	73	2.0380841895923103	431	0.03431836532615806
Risky first	low	4	0.6680365296803653	0.029722192749273322	73	2.3485801660113585	327	0.17611908235788898
Risky first	low	5	0.800228310502283	0.02823724482777856	73	2.724812030075188	285	0.3247075674180214
Risky first	low	6	0.8148148148148148	0.033949629299103584	72	3.152912087912088	260	0.4706346196001546
Risky second	high	1	0.1997716894977169	0.03163563118847265	73	1.6142857142857143	261	-0.3858878003037904
Risky second	high	2	0.24315068493150685	0.026698665670151823	73	1.797750865051903	289	-0.27824401278054856
Risky second	high	3	0.3835616438356164	0.03856202758039036	73	2.0673115079365076	288	-0.13853140228266525
Risky second	high	4	0.5278538812785388	0.034917721768731945	73	2.383051457358762	397	0.0036014144369489465
Risky second	high	5	0.6196347031963471	0.03051807315273758	73	2.743926925608953	434	0.14460970193328382
Risky second	high	6	0.6769243313763862	0.03244814199045571	73	3.2122743110547987	451	0.3021988174185267
Risky second	low	1	0.19008480104370515	0.02126197661728951	73	1.5202636419374618	466	-0.30788976940156776
Risky second	low	2	0.2858447488584475	0.028579879129289668	73	1.761131088591043	437	-0.16081727126015521
Risky second	low	3	0.49063926940639263	0.03083103009033177	73	2.035142203334423	437	-0.016207842620779234
Risky second	low	4	0.5863013698630136	0.03308881406586605	73	2.3494945054945053	325	0.12742666311064
Risky second	low	5	0.747716894977169	0.03097012771564767	73	2.7245112781954886	285	0.2755155267169902
Risky second	low	6	0.8252314814814814	0.031194404651115084	72	3.1607006020799124	261	0.424020174681514
