order	n_safe	ratio	p_vertex	cause	leverage	effect	noise_vertex	noise_ips	ratio_vertex	ratio_ips
Risky first	7.0	1.0	0.9536198682032593	1.0600289916955656	0.10983480117711093	-0.04432306538303932	0.7549017590930323	0.7699688402499811	0.7501024873749066	0.7951303833603579
Risky first	7.913043478260869	1.0	0.9466703009241713	1.0505392891430858	0.12320094348750449	-0.040523159277959686	0.7670132352046714	0.772397232607366	0.7701005251268273	0.8090208582354541
Risky first	8.826086956521738	1.0	0.9404363801008065	1.0424189106616903	0.1342826314143804	-0.03536096924135346	0.7733268687729509	0.7710282970728224	0.7851967635497302	0.8185039549145946
Risky first	9.73913043478261	1.0	0.9362490950324099	1.035825691510075	0.14141201045989918	-0.029754032099457706	0.7749168243419606	0.7668470048209922	0.7960792033812178	0.8245992913391396
Risky first	10.652173913043478	1.0	0.9343717860560296	1.030629406163036	0.14479876400020913	-0.024398389939288778	0.7729869500875477	0.7607314777347153	0.8036308408082198	0.8282455762364769
Risky first	11.565217391304348	1.0	0.9343491065400905	1.0265854976093352	0.14540271484480435	-0.019606925565318956	0.7686262964215745	0.7533809318503318	0.8087184544242897	0.8302186369610118
Risky first	12.478260869565217	1.0	0.9355053674413223	1.0234427514834665	0.1442188015102954	-0.015450902190203064	0.7627011565854023	0.7453105536820811	0.8120781685502582	0.8311155152407306
Risky first	13.391304347826086	1.0	0.9372526323770184	1.0209887108594913	0.14203714624313024	-0.011906719211261185	0.7558455541618364	0.7368798625488018	0.814283221021024	0.8313739761047696
Risky first	14.304347826086957	1.0	0.93919180168158	1.0190586846570098	0.1394128443219376	-0.008928448855287319	0.7484979287852787	0.7283296449508203	0.8157566535120978	0.8313039023282425
Risky first	15.217391304347826	1.0	0.9410995293974955	1.017529729163223	0.13670113274459264	-0.006470208445158221	0.7409487817403808	0.7198153198474	0.8167998392878321	0.8311181192511118
Risky first	16.130434782608695	1.0	0.9428760978058278	1.0163110334548817	0.13410843817378712	-0.0044883607813086535	0.7333831459266176	0.7114330260645123	0.817621715743579	0.8309579709025103
Risky first	17.043478260869563	1.0	0.9444928953364855	1.015335224970678	0.13174185486993345	-0.0029391607794524433	0.7259133467423138	0.7032385858012413	0.8183631123547837	0.8309128947904484
Risky first	17.956521739130434	1.0	0.9459533793376304	1.0145517616887632	0.1296494847903946	-0.0017770556877300114	0.7186025237164705	0.6952607353504757	0.8191151958942109	0.831034765020508
Risky first	18.869565217391305	1.0	0.9472690529694774	1.013922310788162	0.12784889881797828	-0.0009543056916233583	0.711480853898521	0.687510123531806	0.8199327854923654	0.8313481445573935
Risky first	19.782608695652172	1.0	0.9484474281646044	1.0134176704082394	0.12634417263626843	-0.0004214512216944577	0.7045564633634139	0.679985323307194	0.8208436994228427	0.8318575096383783
Risky first	20.695652173913043	1.0	0.9494882086696131	1.0130157835522173	0.12513366333305706	-0.0001282477400235127	0.6978226361326847	0.6726767932251781	0.8218552145668737	0.8325523041509373
Risky first	21.608695652173914	1.0	0.9503845701596737	1.0127004775420896	0.12421110473860994	-2.4936567414424182e-05	0.6912625137563959	0.6655694626130454	0.8229585088357941	0.8334104748953347
Risky first	22.52173913043478	1.0	0.9511272439222495	1.0124606522614732	0.12356233194678164	-6.380684035722783e-05	0.6848521366342042	0.6586444154531305	0.8241317497775664	0.8344009689291841
Risky first	23.434782608695652	1.0	0.9517096780259263	1.0122897118727567	0.12315965238937537	-0.00020092620044220855	0.6785624236320913	0.6518800041220179	0.8253423269002171	0.8354855462942113
Risky first	24.34782608695652	1.0	0.9521330700633931	1.0121847513273894	0.12295966696862341	-0.0003997171318079751	0.6723641848660333	0.6452550075316802	0.8265519626358182	0.8366232927597013
