order	kind	n	r	lo	hi	p_gt0
Risky second	pearson	35	-0.11759685952644368	-0.31505131936340974	0.1612315914427213	0.27216666666666667
Risky second	spearman	35	-0.044257703081232495	-0.30336834733893553	0.2058893557422968	0.2971666666666667
Risky first	pearson	35	-0.0023367201262016837	-0.2449472055819488	0.14052454212395465	0.495
Risky first	spearman	35	-0.00784313725490196	-0.3162535014005602	0.13333333333333333	0.48033333333333333
