label	space	form	placement	channel	parameter	subject	sigma_ips	sigma_vertex
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd13	5	0.3953180867288578	0.3961859581092191
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd13	6	0.36805783191718555	0.31219506535141583
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd13	7	0.38472469592302044	0.3171915696424795
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd13	9	0.3625547885766325	0.30150200705980745
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd13	10	0.37276592699551614	0.2986557544197193
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd13	11	0.358391033916705	0.35516980631573514
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd13	18	0.3715422057534725	0.3008585860013224
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd13	19	0.3882279146490869	0.3203874674980287
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd13	21	0.3790723446033349	0.3291101748893215
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd13	25	0.3645288230210669	0.2935402083106798
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd13	26	0.3525617937658259	0.2975685677254867
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd13	29	0.3756428055413989	0.3162217165836254
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd13	30	0.3424090537166377	0.2654486755138933
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd13	31	0.3709028318950587	0.3305986849350007
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd13	34	0.3871148384368848	0.31879653294119553
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd13	35	0.3694951469447916	0.29333354150941415
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd13	36	0.3755632837967364	0.3243784796825808
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd13	37	0.3984768690377129	0.35732071054181713
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd13	45	0.37025961849591515	0.3028041456397291
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd13	46	0.37735038456485515	0.35285735210853586
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd13	47	0.36908821433804007	0.33940208560988366
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd13	50	0.3686249196040168	0.26449353493069966
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd13	53	0.3813972392299443	0.3188055113753624
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd13	56	0.368740849122055	0.3414056774661954
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd13	59	0.3646599310401781	0.2741218765174238
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd13	62	0.3568677538957869	0.24559995271971546
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd13	63	0.35984548867222094	0.2955004194106439
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd13	67	0.3750399636838404	0.3572316137253339
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd13	69	0.38535661698514434	0.34945108084713555
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd13	72	0.3614132388589567	0.2502177657165301
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd13	74	0.3792282315748645	0.36221531922872136
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd20	1	0.3496289742523169	0.31697857298181503
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd20	2	0.3447494323902906	0.306261501873539
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd20	3	0.35012166140984535	0.3121952132654541
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd20	4	0.3343696285935956	0.30657913240459445
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd20	5	0.3330314982079071	0.30552715538969716
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd20	6	0.3238363765221989	0.2970468360816319
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd20	7	0.33092931242600343	0.2958885669650464
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd20	9	0.31366007038418664	0.28360227230253104
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd20	10	0.3489118958012872	0.32961157047320727
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd20	11	0.33932640122859936	0.30899801547739736
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd20	18	0.34113907439516955	0.3034397684149537
