subject	null_wholebrain	null_npc12r	frac_gt0_npc12r	q95_npc12r
1	-0.017655399	-0.028267588	0.0	-0.004859169479459524
2	-0.016187085	-0.015560976	0.0	-0.003896868228912355
3	-0.022373915	-0.027271949	0.0	-0.0037770808441564448
4	-0.016013546	-0.015577375	0.0	-0.003208235907368364
5	-0.020447334	-0.023620363	0.0	-0.004612799454480411
6	-0.021181814	-0.025656467	0.0	-0.006799973943270744
7	-0.019745005	-0.02380452	0.0	-0.004553274181671445
9	-0.022106668	-0.022932585	0.0	-0.004514102078974248
10	-0.01951778	-0.02108413	0.0	-0.005941660259850323
11	-0.016502898	-0.016180394	0.0	-0.0034807711839675913
18	-0.019465782	-0.015804676	0.0	-0.0036197424400597838
19	-0.019322945	-0.020661393	0.0	-0.004072238923981786
21	-0.017682206	-0.016861944	0.0	-0.003880363702774048
25	-0.022577941	-0.017553974	0.0	-0.005728622130118318
26	-0.018613322	-0.016208317	0.0	-0.003753823041915895
29	-0.016898168	-0.01507381	0.0	-0.003156214952468872
30	-0.0187823	-0.01383287	0.0	-0.0035320322494953858
31	-0.022514455	-0.01934152	0.0	-0.004568799189291895
34	-0.019256324	-0.020351265	0.0	-0.0040497222915291875
35	-0.017379653	-0.018078044	0.0	-0.003934900043532252
36	-0.023005143	-0.019095456	0.0	-0.003386648418381811
37	-0.018668879	-0.015611582	0.0	-0.002846733736805619
45	-0.02043635	-0.016351119	0.0	-0.004006150341592729
46	-0.016719649	-0.01005624	0.0	-0.0024388819932937653
47	-0.016649704	-0.016336508	0.0	-0.003090119315311315
50	-0.018744292	-0.01445878	0.0	-0.0031676928978413336
53	-0.017806651	-0.01519865	0.0	-0.0032382290344685318
56	-0.020332964	-0.018729694	0.0	-0.004191092774271969
59	-0.020136662	-0.022671325	0.0	-0.005228976393118505
62	-0.018209346	-0.013997793	0.0	-0.003729196405038238
63	-0.01686453	-0.01847985	0.0	-0.004996148589998488
67	-0.022918018	-0.016990036	0.0	-0.003674651263281703
69	-0.018336449	-0.018597458	0.0	-0.005214879754930735
72	-0.020690655	-0.01694207	0.0	-0.0025200844393111765
74	-0.043629598	-0.017339481	0.0	-0.004386963322758679
